,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,INCY200320C00055000,2020-02-26 10:33AM EST,55.0,23.1,20.4,24.2,2.5,+12.14%,1,1,75.0,22
1,INCY200320C00060000,2019-12-04 2:53PM EST,60.0,35.5,16.9,17.4,0.0,-,2,0,63.67,22
2,INCY200320C00065000,2020-02-26 10:35AM EST,65.0,13.4,11.0,13.9,-2.7,-16.77%,1,0,83.01,22
3,INCY200320C00067500,2020-02-13 11:32AM EST,67.5,10.54,9.9,11.0,0.0,-,3,0,52.98,22
4,INCY200320C00070000,2020-02-26 9:59AM EST,70.0,8.3,7.7,8.2,-2.79,-25.16%,11,0,47.71,22
5,INCY200320C00072500,2020-02-25 2:07PM EST,72.5,5.9,5.6,6.1,0.0,-,6,73,43.19,22
6,INCY200320C00075000,2020-02-24 11:44AM EST,75.0,4.6,4.0,4.3,0.0,-,52,0,40.36,22
7,INCY200320C00077500,2020-02-26 11:07AM EST,77.5,3.25,2.6,2.95,0.3,+10.17%,1,305,39.8,22
8,INCY200320C00080000,2020-02-26 1:18PM EST,80.0,1.73,1.7,1.8,-0.37,-17.62%,35,0,37.74,22
9,INCY200320C00082500,2020-02-26 11:25AM EST,82.5,1.2,1.0,1.1,0.12,+11.11%,8,563,37.7,22
10,INCY200320C00085000,2020-02-26 9:37AM EST,85.0,0.75,0.45,0.65,0.15,+25.00%,3,1027,37.89,22
11,INCY200320C00087500,2020-02-25 3:38PM EST,87.5,0.32,0.2,0.4,0.0,-,19,310,38.97,22
12,INCY200320C00090000,2020-02-24 2:32PM EST,90.0,0.17,0.15,0.25,0.0,-,104,0,40.14,22
13,INCY200320C00092500,2020-02-21 3:11PM EST,92.5,0.22,0.0,0.15,0.0,-,2,0,41.02,22
14,INCY200320C00095000,2020-02-25 12:39PM EST,95.0,0.1,0.0,0.15,0.03,+42.86%,2,481,45.7,22
15,INCY200320C00097500,2020-02-26 10:30AM EST,97.5,0.1,0.05,0.1,0.0,-,30,297,46.88,22
16,INCY200320C00100000,2020-02-24 3:27PM EST,100.0,0.05,0.0,0.35,0.0,-,3,218,56.06,22
17,INCY200320C00105000,2020-01-30 3:41PM EST,105.0,0.15,0.0,0.1,0.0,-,1,1945,53.13,22
18,INCY200320C00110000,2020-01-03 11:14AM EST,110.0,0.05,0.05,0.15,0.0,-,20,0,66.02,22
19,INCY200320C00115000,2020-01-14 11:56AM EST,115.0,0.05,0.0,0.15,0.0,-,1,108,69.92,22
20,INCY200320C00120000,2020-01-03 2:00PM EST,120.0,0.05,0.0,0.1,0.0,-,1,0,72.27,22
21,INCY200320C00125000,2019-12-16 12:14AM EST,125.0,0.32,0.0,0.2,0.0,-,-,0,85.16,22
0,INCY200417C00065000,2020-02-18 12:00AM EST,65.0,10.5,12.5,13.1,0.0,-,-,0,45.14,50
1,INCY200417C00070000,2020-02-20 11:55AM EST,70.0,12.4,8.5,8.9,0.0,-,40,34,40.55,50
2,INCY200417C00072500,2020-02-18 12:00AM EST,72.5,7.1,6.7,7.1,0.0,-,-,0,39.33,50
3,INCY200417C00075000,2020-02-25 3:36PM EST,75.0,5.4,5.1,5.5,0.0,-,1,26,38.18,50
4,INCY200417C00077500,2020-02-26 1:33PM EST,77.5,4.2,3.8,4.2,-0.1,-2.33%,2,0,37.81,50
5,INCY200417C00080000,2020-02-25 3:39PM EST,80.0,2.9,2.8,3.0,0.0,-,38,0,36.34,50
6,INCY200417C00082500,2020-02-24 1:55PM EST,82.5,2.25,1.9,2.15,0.0,-,14,33,36.02,50
7,INCY200417C00085000,2020-02-26 11:04AM EST,85.0,1.4,1.3,1.45,0.05,+3.70%,14,122,35.23,50
8,INCY200417C00087500,2020-02-24 1:31PM EST,87.5,1.05,1.05,1.2,0.0,-,-,-,37.74,50
9,INCY200417C00090000,2020-02-24 3:48PM EST,90.0,0.8,0.25,0.7,0.0,-,40,151,35.72,50
10,INCY200417C00095000,2020-02-24 11:02AM EST,95.0,0.3,0.0,0.35,0.0,-,1,4,36.91,50
1,INCY200619C00060000,2020-02-12 3:18PM EST,60.0,17.0,17.5,20.2,0.0,-,1,0,60.79,113
2,INCY200619C00065000,2020-02-19 10:36AM EST,65.0,15.8,13.8,14.7,0.0,-,1,0,44.59,113
3,INCY200619C00067500,2020-02-03 12:08AM EST,67.5,9.2,11.8,12.7,0.0,-,-,0,42.51,113
4,INCY200619C00070000,2020-02-26 1:19PM EST,70.0,10.6,10.2,11.0,-3.18,-23.08%,10,50,41.86,113
5,INCY200619C00072500,2020-02-19 10:20AM EST,72.5,12.35,8.4,10.0,0.0,-,1,6,44.75,113
6,INCY200619C00075000,2020-02-26 12:53PM EST,75.0,7.67,7.1,8.0,0.07,+0.92%,15,82,40.6,113
7,INCY200619C00077500,2020-02-25 2:43PM EST,77.5,6.1,5.8,6.3,0.0,-,50,196,37.6,113
8,INCY200619C00080000,2020-02-26 10:25AM EST,80.0,5.4,4.6,5.1,0.58,+12.03%,29,0,36.71,113
9,INCY200619C00082500,2020-02-20 10:54AM EST,82.5,4.4,3.7,4.1,0.36,+8.91%,8,0,36.12,113
10,INCY200619C00085000,2020-02-26 12:53PM EST,85.0,3.21,2.75,3.3,-0.09,-2.73%,22,167,35.9,113
11,INCY200619C00087500,2020-02-25 1:25PM EST,87.5,2.34,2.3,2.55,0.0,-,4,57,35.16,113
