,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,INFO200320P00070000,2020-02-26 10:38AM EST,70.0,0.2,0.25,0.4,-0.35,-63.64%,2,0,26.66,22
1,INFO200320P00075000,2020-02-26 11:36AM EST,75.0,1.15,1.55,1.75,-0.84,-42.21%,41,14,23.07,22
2,INFO200320P00080000,2020-02-21 2:59PM EST,80.0,3.2,4.5,5.1,0.0,-,3,202,18.16,22
3,INFO200320P00085000,2020-02-13 2:11PM EST,85.0,4.36,9.2,11.1,0.0,-,2,1,54.59,22
0,INFO200417P00055000,2019-09-15 11:10PM EST,55.0,1.09,0.6,0.95,0.0,-,-,2,65.19,50
1,INFO200417P00060000,2019-12-03 11:26AM EST,60.0,0.71,0.2,0.35,0.0,-,1,0,41.16,50
2,INFO200417P00065000,2020-01-03 1:34PM EST,65.0,0.39,0.0,0.25,0.0,-,4,69,26.86,50
3,INFO200417P00070000,2020-02-26 1:08PM EST,70.0,0.85,0.95,1.05,0.0,-,3,484,26.59,50
4,INFO200417P00075000,2020-02-25 1:47PM EST,75.0,2.0,2.55,2.75,-0.95,-32.20%,6,535,24.54,50
5,INFO200417P00080000,2020-02-24 9:48AM EST,80.0,3.5,5.5,5.7,0.0,-,1,294,21.14,50
6,INFO200417P00085000,2020-02-19 12:23PM EST,85.0,4.3,9.2,10.0,0.0,-,1,12,16.41,50
0,INFO200717P00065000,2020-02-26 9:30AM EST,65.0,1.03,0.95,1.1,0.21,+25.61%,1,183,25.35,141
1,INFO200717P00070000,2020-02-07 12:32PM EST,70.0,0.95,2.05,2.15,0.0,-,20,49,23.22,141
2,INFO200717P00075000,2020-02-26 9:30AM EST,75.0,3.2,3.7,4.1,1.48,+86.05%,2,142,22.02,141
3,INFO200717P00080000,2020-02-25 9:30AM EST,80.0,4.95,6.3,6.8,0.0,-,1,48,19.76,141
4,INFO200717P00085000,2020-02-12 2:47PM EST,85.0,6.33,10.1,10.8,0.0,-,6,26,20.03,141
0,INFO201016P00050000,2020-02-25 12:54PM EST,50.0,0.28,0.0,4.2,0.0,-,5,5,51.18,232
1,INFO201016P00055000,2020-02-25 1:08PM EST,55.0,0.47,0.35,1.0,0.0,-,-,-,33.06,232
2,INFO201016P00060000,2020-02-25 12:51PM EST,60.0,0.76,0.7,1.3,0.0,-,-,-,28.36,232
3,INFO201016P00065000,2020-02-25 12:52PM EST,65.0,1.35,0.75,1.9,0.0,-,-,-,24.82,232
4,INFO201016P00070000,2020-02-26 12:54PM EST,70.0,2.68,2.65,3.0,0.31,+13.08%,23,1,22.19,232
