,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,INTU200228C00230000,2020-02-21 11:37AM EST,230.0,68.95,48.30,51.6,0.0,-,1,1,130.86,1
1,INTU200228C00250000,2020-02-24 3:42PM EST,250.0,37.49,38.30,40.5,0.0,-,-,2,226.95,1
2,INTU200228C00255000,2020-02-24 12:29PM EST,255.0,31.85,23.70,27.7,0.0,-,1,1,88.89,1
3,INTU200228C00260000,2020-02-25 11:33AM EST,260.0,29.1,18.90,20.3,0.0,-,3,2,67.68,1
4,INTU200228C00262500,2020-02-19 9:35AM EST,262.5,44.1,16.70,19.2,0.0,-,1,0,63.92,1
5,INTU200228C00265000,2020-02-24 2:23PM EST,265.0,21.93,14.40,16.0,0.0,-,1,4,52.69,1
6,INTU200228C00267500,2020-02-24 3:33PM EST,267.5,24.75,12.20,13.1,0.0,-,2,12,52.54,1
7,INTU200228C00270000,2020-02-26 12:43PM EST,270.0,14.73,10.00,10.9,-9.85,-40.07%,2,6,49.34,1
8,INTU200228C00272500,2020-02-21 3:24PM EST,272.5,25.32,8.00,8.9,0.0,-,10,14,47.46,1
9,INTU200228C00275000,2020-02-25 3:21PM EST,275.0,12.0,6.20,7.0,0.0,-,3,18,45.12,1
10,INTU200228C00277500,2020-02-25 9:55AM EST,277.5,8.7,4.50,5.3,-10.51,-54.71%,2,9,43.05,1
11,INTU200228C00280000,2020-02-26 12:43PM EST,280.0,6.08,3.20,3.6,-2.12,-25.85%,9,44,38.92,1
12,INTU200228C00282500,2020-02-25 9:35AM EST,282.5,8.4,2.15,2.4,2.37,+39.30%,1,19,37.23,1
13,INTU200228C00285000,2020-02-26 1:18PM EST,285.0,2.15,1.35,1.55,-1.85,-46.25%,23,59,36.5,1
14,INTU200228C00287500,2020-02-26 1:17PM EST,287.5,1.45,0.70,0.95,-1.54,-51.51%,523,556,35.94,1
15,INTU200228C00290000,2020-02-26 12:55PM EST,290.0,0.95,0.35,0.6,-1.28,-57.40%,71,545,36.45,1
16,INTU200228C00292500,2020-02-26 1:15PM EST,292.5,0.45,0.25,0.3,-1.04,-69.80%,19,93,35.16,1
17,INTU200228C00295000,2020-02-26 1:14PM EST,295.0,0.2,0.05,0.3,-0.97,-82.91%,21,265,39.99,1
18,INTU200228C00297500,2020-02-25 3:47PM EST,297.5,0.65,0.10,0.25,0.07,+12.07%,12,209,42.97,1
19,INTU200228C00300000,2020-02-26 1:25PM EST,300.0,0.05,0.00,0.1,-0.39,-88.64%,50,318,40.23,1
20,INTU200228C00302500,2020-02-26 11:47AM EST,302.5,0.15,0.00,0.25,-0.15,-50.00%,17,115,51.76,1
21,INTU200228C00305000,2020-02-26 1:42PM EST,305.0,0.12,0.10,0.2,-0.02,-14.29%,26,214,51.17,1
22,INTU200228C00307500,2020-02-25 2:40PM EST,307.5,0.01,0.00,0.2,-0.13,-92.86%,1,146,51.56,1
