,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,IPG200320P00020000,2020-02-25 11:55AM EST,20.0,0.05,0.0,0.1,0.0,-,4,14,41.99,22
1,IPG200320P00021000,2020-02-21 1:46PM EST,21.0,0.08,0.05,0.2,0.0,-,8,11,38.67,22
2,IPG200320P00022000,2020-02-24 2:20PM EST,22.0,0.2,0.25,0.4,0.0,-,24,43,35.94,22
3,IPG200320P00023000,2020-02-25 3:43PM EST,23.0,0.75,0.7,0.8,0.0,-,66,62,35.45,22
4,IPG200320P00024000,2020-02-25 1:45PM EST,24.0,1.1,1.3,1.45,-0.26,-19.12%,1,137,37.84,22
5,IPG200320P00025000,2020-02-24 12:12PM EST,25.0,1.87,2.1,2.05,-0.38,-16.89%,8,21,28.52,22
6,IPG200320P00029000,2020-01-30 11:06PM EST,29.0,6.0,5.8,6.3,0.0,-,-,1,59.96,22
7,IPG200320P00032000,2020-02-03 12:10AM EST,32.0,9.2,8.8,9.4,0.0,-,-,1,84.77,22
0,IPG200417P00014000,2019-10-18 1:22PM EST,14.0,0.1,0.0,0.5,0.0,-,-,20,96.29,50
1,IPG200417P00015000,2019-10-03 8:42AM EST,15.0,0.3,0.05,0.4,0.0,-,-,3,83.01,50
2,IPG200417P00016000,2019-10-21 10:10AM EST,16.0,0.35,0.0,0.35,0.0,-,10,0,68.56,50
3,IPG200417P00017000,2019-10-21 12:37PM EST,17.0,0.45,0.1,0.25,0.0,-,11,15,59.38,50
4,IPG200417P00018000,2019-11-04 9:35AM EST,18.0,0.31,0.15,0.25,0.0,-,1,41,52.34,50
5,IPG200417P00019000,2020-01-08 1:23PM EST,19.0,0.2,0.1,0.3,0.0,-,10,13,49.41,50
6,IPG200417P00020000,2020-02-05 9:33AM EST,20.0,0.25,0.0,0.1,0.0,-,1,101,28.52,50
7,IPG200417P00021000,2020-02-21 1:05PM EST,21.0,0.08,0.25,0.35,0.0,-,2,1179,32.72,50
8,IPG200417P00022000,2020-02-14 1:57PM EST,22.0,0.5,0.5,0.6,0.0,-,1,134,30.96,50
9,IPG200417P00023000,2020-02-25 1:34PM EST,23.0,0.9,0.9,1.05,0.0,-,5,82,31.3,50
10,IPG200417P00024000,2020-02-24 2:47PM EST,24.0,0.9,1.5,1.65,0.0,-,4,1021,31.74,50
11,IPG200417P00025000,2020-02-24 3:42PM EST,25.0,2.3,2.15,2.4,0.0,-,7,5,33.11,50
0,IPG200515P00016000,2019-10-23 2:46PM EST,16.0,0.25,0.1,0.3,0.0,-,-,2,57.03,78
1,IPG200515P00017000,2019-11-06 3:28PM EST,17.0,0.27,0.0,0.75,0.0,-,-,0,59.28,78
2,IPG200515P00018000,2019-11-06 2:28PM EST,18.0,0.39,0.25,0.35,0.0,-,1,0,49.9,78
3,IPG200515P00019000,2019-11-08 10:54AM EST,19.0,0.55,0.25,0.4,0.0,-,1,4,44.04,78
4,IPG200515P00020000,2020-02-13 3:45PM EST,20.0,0.15,0.3,0.4,0.0,-,3,738,36.04,78
5,IPG200515P00021000,2020-01-17 1:01PM EST,21.0,0.35,0.2,0.3,0.0,-,33,33,24.76,78
6,IPG200515P00022000,2020-02-14 11:09AM EST,22.0,0.35,0.75,0.85,0.0,-,20,26,31.3,78
7,IPG200515P00023000,2020-01-21 11:29AM EST,23.0,1.0,0.0,0.0,0.0,-,-,0,0.39,78
