,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,IRM200320C00027500,2020-01-30 1:02PM EST,27.5,4.42,5.7,6.0,0.0,-,-,1,66.02,22
1,IRM200320C00030000,2020-02-25 3:50PM EST,30.0,3.1,3.0,3.2,0.0,-,34,0,35.35,22
2,IRM200320C00032500,2020-02-25 3:44PM EST,32.5,1.25,0.95,1.05,0.19,+17.92%,25,0,23.44,22
3,IRM200320C00035000,2020-02-26 11:19AM EST,35.0,0.15,0.05,0.15,0.0,-,66,0,22.27,22
4,IRM200320C00037500,2020-02-21 12:41PM EST,37.5,0.05,0.0,0.05,0.0,-,1,0,29.69,22
1,IRM200417C00022500,2020-01-22 3:33PM EST,22.5,9.51,11.7,13.0,0.0,-,10,15,137.7,50
2,IRM200417C00025000,2020-02-18 10:10AM EST,25.0,8.7,7.8,8.9,0.0,-,10,0,61.04,50
3,IRM200417C00027500,2020-02-24 10:16AM EST,27.5,6.5,5.4,5.8,0.0,-,10,120,42.77,50
4,IRM200417C00030000,2020-02-26 10:14AM EST,30.0,3.4,3.0,3.3,0.2,+6.25%,12,849,27.44,50
5,IRM200417C00032500,2020-02-26 1:40PM EST,32.5,1.19,1.15,1.25,0.01,+0.85%,90,3621,20.07,50
6,IRM200417C00035000,2020-02-26 11:50AM EST,35.0,0.27,0.2,0.3,0.02,+8.00%,65,1882,19.58,50
7,IRM200417C00037500,2020-02-25 10:00AM EST,37.5,0.03,0.0,0.1,0.0,-,10,439,23.34,50
8,IRM200417C00040000,2020-02-25 10:17AM EST,40.0,0.05,0.0,0.25,0.0,-,1,16,39.55,50
9,IRM200417C00042500,2019-11-27 11:11AM EST,42.5,0.05,0.0,0.05,0.0,-,-,10,34.77,50
0,IRM200717C00025000,2020-02-20 9:48AM EST,25.0,9.08,7.9,8.2,0.0,-,10,26,32.37,141
1,IRM200717C00027500,2020-01-17 10:07AM EST,27.5,4.48,6.4,6.6,0.0,-,16,21,41.75,141
2,IRM200717C00030000,2020-02-20 12:55PM EST,30.0,4.4,3.2,3.6,0.0,-,1,233,21.92,141
3,IRM200717C00032500,2020-02-25 2:17PM EST,32.5,1.65,1.6,1.75,-0.15,-8.33%,1,1119,18.38,141
4,IRM200717C00035000,2020-02-26 11:14AM EST,35.0,0.75,0.55,0.75,0.15,+25.00%,2,1577,18.38,141
5,IRM200717C00037500,2020-02-25 2:58PM EST,37.5,0.2,0.1,0.25,0.0,-,1,0,18.02,141
6,IRM200717C00040000,2020-02-18 12:14AM EST,40.0,0.03,0.0,0.1,0.0,-,-,0,19.24,141
7,IRM200717C00042500,2019-11-18 10:39AM EST,42.5,4.8,0.0,0.05,0.0,-,-,1,21.0,141
0,IRM201016C00027500,2020-02-25 6:54PM EST,27.5,5.7,5.6,5.9,0.0,-,-,4,22.12,232
1,IRM201016C00035000,2020-02-24 2:24PM EST,35.0,1.12,0.9,1.15,0.0,-,-,-,18.45,232
2,IRM201016C00037500,2020-02-24 10:37AM EST,37.5,0.45,0.3,0.4,0.0,-,-,3,16.41,232
0,IRM210115C00020000,2020-02-20 10:13AM EST,20.0,13.94,12.9,13.2,0.0,-,2,0,34.52,323
1,IRM210115C00022500,2020-01-15 3:02PM EST,22.5,8.5,10.5,10.8,0.0,-,3,3,30.27,323
2,IRM210115C00025000,2020-02-06 10:21AM EST,25.0,7.13,7.8,8.4,0.0,-,5,26,25.44,323
3,IRM210115C00027500,2020-02-25 2:40PM EST,27.5,5.8,5.6,6.0,0.2,+3.57%,5,0,20.22,323
4,IRM210115C00030000,2020-02-21 9:57AM EST,30.0,4.67,3.5,3.8,0.0,-,2,0,16.58,323
5,IRM210115C00032500,2020-02-26 12:34PM EST,32.5,2.2,2.05,2.4,-0.39,-15.06%,10,0,17.49,323
6,IRM210115C00035000,2020-02-26 1:23PM EST,35.0,1.33,1.05,1.35,0.15,+12.71%,18,0,17.35,323
7,IRM210115C00037500,2020-02-24 10:38AM EST,37.5,0.65,0.45,0.7,0.0,-,4,557,17.26,323
8,IRM210115C00040000,2020-02-26 11:19AM EST,40.0,0.3,0.1,0.35,0.11,+57.89%,1,444,17.38,323
9,IRM210115C00042500,2020-02-21 2:34PM EST,42.5,0.15,0.0,0.2,0.0,-,1,21,18.26,323
10,IRM210115C00045000,2019-06-10 1:11PM EST,45.0,0.15,0.0,0.35,0.0,-,10,11,24.22,323
11,IRM210115C00047500,2019-08-01 10:24AM EST,47.5,0.05,0.0,0.2,0.0,-,10,127,23.98,323
12,IRM210115C00050000,2019-09-06 9:18AM EST,50.0,0.05,0.0,0.15,0.0,-,30,77,25.05,323
0,IRM220121C00017500,2020-02-11 11:28AM EST,17.5,14.53,15.2,15.9,0.0,-,-,2,33.4,694
