,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,JCI200228P00036000,2020-02-06 12:40PM EST,36.0,0.03,0.0,0.12,0.0,-,-,0,64.84,1
1,JCI200228P00038000,2020-02-12 1:49PM EST,38.0,0.03,0.08,0.12,0.0,-,3,3,40.23,1
2,JCI200228P00039000,2020-02-12 2:31PM EST,39.0,0.03,0.27,0.29,0.0,-,14,0,32.42,1
3,JCI200228P00039500,2020-02-25 2:49PM EST,39.5,0.48,0.27,0.29,0.0,-,-,-,16.21,1
4,JCI200228P00040000,2020-02-24 3:28PM EST,40.0,0.48,0.73,0.78,-0.21,-30.43%,1,0,28.13,1
5,JCI200228P00040500,2020-02-25 11:56AM EST,40.5,0.98,1.12,1.17,0.0,-,38,3,26.56,1
6,JCI200228P00041000,2020-02-24 1:04PM EST,41.0,1.34,1.6,1.67,0.0,-,14,69,34.57,1
7,JCI200228P00041500,2020-02-25 2:51PM EST,41.5,1.83,2.02,2.12,0.0,-,3,2,29.69,1
8,JCI200228P00042000,2020-02-24 1:31PM EST,42.0,2.23,2.53,2.61,0.0,-,2,121,25.0,1
9,JCI200228P00042500,2020-02-24 3:45PM EST,42.5,2.71,2.8,3.4,0.0,-,1,0,87.3,1
10,JCI200228P00043000,2020-02-24 3:49PM EST,43.0,3.2,3.4,3.65,0.0,-,1,30,57.03,1
11,JCI200228P00043500,2020-02-25 6:51PM EST,43.5,3.7,4.0,4.35,0.0,-,-,-,69.53,1
13,JCI200228P00044500,2020-02-20 9:55AM EST,44.5,4.7,4.65,5.2,0.0,-,6,29,87.5,1
0,JCI200306P00037000,2020-02-25 6:51PM EST,37.0,0.21,0.11,0.13,0.0,-,-,-,33.01,8
1,JCI200306P00038000,2020-02-25 6:51PM EST,38.0,0.37,0.31,0.36,0.0,-,-,1,34.77,8
2,JCI200306P00039000,2020-02-12 10:09AM EST,39.0,0.48,0.61,0.66,0.32,+200.00%,4,38,32.52,8
3,JCI200306P00040000,2020-01-30 2:28PM EST,40.0,1.05,1.03,1.1,0.0,-,-,0,28.86,8
4,JCI200306P00041000,2020-01-30 2:41PM EST,41.0,1.6,1.27,1.79,0.0,-,-,0,26.95,8
5,JCI200306P00042000,2020-02-24 11:25AM EST,42.0,0.91,2.33,2.75,0.0,-,10,0,33.59,8
6,JCI200306P00044000,2020-02-18 10:27AM EST,44.0,2.0,4.3,4.65,0.0,-,-,0,37.89,8
0,JCI200313P00040000,2020-02-25 1:54PM EST,40.0,1.07,1.25,1.37,0.07,+7.00%,16,0,30.32,15
1,JCI200313P00041000,2020-02-26 9:43AM EST,41.0,1.61,1.74,1.97,-0.32,-16.58%,105,0,27.69,15
2,JCI200313P00042000,2020-02-25 1:58PM EST,42.0,2.32,1.79,2.99,0.0,-,-,-,36.72,15
3,JCI200313P00043000,2020-02-25 10:16AM EST,43.0,2.45,3.4,4.05,0.0,-,54,0,46.73,15
4,JCI200313P00044000,2020-02-25 12:20PM EST,44.0,3.85,2.11,6.25,0.0,-,-,-,96.88,15
0,JCI200320P00033000,2020-02-11 3:15PM EST,33.0,0.05,-,0.14,0.0,-,-,2,47.27,22
1,JCI200320P00036000,2020-02-13 9:30AM EST,36.0,0.11,0.20,0.28,0.0,-,-,12,34.96,22
2,JCI200320P00037000,2020-02-14 2:22PM EST,37.0,0.06,0.36,0.39,0.0,-,7,0,31.59,22
