,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,JKHY200320P00100000,2019-08-07 10:56AM EST,100.0,0.8,0.0,0.75,0.0,-,-,0,98.63,22
1,JKHY200320P00115000,2019-08-22 12:03PM EST,115.0,1.4,0.65,1.15,0.0,-,-,0,87.3,22
2,JKHY200320P00120000,2019-11-26 9:45AM EST,120.0,0.45,0.0,0.95,0.0,-,2,10,68.16,22
3,JKHY200320P00125000,2020-01-02 9:31AM EST,125.0,0.4,0.0,5.0,0.0,-,1,12,92.63,22
4,JKHY200320P00130000,2020-02-13 3:54PM EST,130.0,0.01,0.0,4.3,0.0,-,1,18,78.13,22
5,JKHY200320P00135000,2020-02-13 3:54PM EST,135.0,0.06,0.0,4.7,0.0,-,1,24,70.29,22
6,JKHY200320P00140000,2020-02-11 2:52PM EST,140.0,0.15,0.0,5.0,0.0,-,3,0,61.65,22
7,JKHY200320P00145000,2020-02-06 10:49AM EST,145.0,0.28,0.4,0.7,0.0,-,1,21,32.96,22
8,JKHY200320P00150000,2020-02-07 3:28PM EST,150.0,0.45,0.95,1.25,0.0,-,1,0,30.37,22
9,JKHY200320P00155000,2020-02-26 1:33PM EST,155.0,2.0,1.75,2.3,0.75,+60.00%,4,0,28.48,22
10,JKHY200320P00160000,2020-02-24 10:07AM EST,160.0,3.2,3.2,4.4,0.0,-,2,0,28.89,22
11,JKHY200320P00165000,2020-02-21 11:16AM EST,165.0,2.8,5.8,7.2,0.0,-,1,55,28.46,22
12,JKHY200320P00170000,2020-02-25 3:46PM EST,170.0,7.89,9.3,11.4,0.0,-,4,41,32.81,22
13,JKHY200320P00175000,2020-02-21 11:16AM EST,175.0,5.7,12.5,16.1,0.0,-,3,0,38.66,22
0,JKHY200417P00150000,2020-02-24 1:24PM EST,150.0,1.0,1.15,3.7,0.0,-,-,-,33.92,50
1,JKHY200417P00160000,2020-02-24 10:48AM EST,160.0,2.75,5.0,5.8,0.0,-,-,3,25.44,50
2,JKHY200417P00165000,2020-02-24 10:47AM EST,165.0,4.47,7.0,8.4,0.0,-,-,3,24.49,50
0,JKHY200619P00120000,2019-12-16 12:01AM EST,120.0,1.3,0.0,5.0,0.0,-,-,0,60.27,113
1,JKHY200619P00125000,2019-12-23 3:33PM EST,125.0,1.6,0.4,0.95,0.0,-,5,5,32.13,113
2,JKHY200619P00130000,2020-02-11 3:57PM EST,130.0,2.45,0.9,1.5,0.0,-,10,0,31.92,113
3,JKHY200619P00135000,2020-02-11 3:57PM EST,135.0,2.95,1.2,1.7,0.0,-,15,0,28.78,113
4,JKHY200619P00140000,2020-02-19 11:02AM EST,140.0,0.75,1.8,2.2,0.0,-,1,0,26.83,113
5,JKHY200619P00145000,2020-02-07 12:27PM EST,145.0,1.95,2.75,3.6,0.0,-,1,0,27.65,113
6,JKHY200619P00150000,2020-02-21 3:08PM EST,150.0,1.97,3.6,4.2,0.0,-,10,0,24.46,113
7,JKHY200619P00155000,2020-01-06 9:37AM EST,155.0,12.9,2.85,4.4,0.0,-,10,10,19.46,113
8,JKHY200619P00160000,2020-02-21 3:08PM EST,160.0,5.5,7.0,8.6,0.0,-,1,0,24.93,113
9,JKHY200619P00165000,2020-02-05 10:45AM EST,165.0,8.49,9.5,11.2,0.0,-,-,3,24.38,113
10,JKHY200619P00170000,2020-02-18 12:03AM EST,170.0,9.2,12.8,15.3,0.0,-,-,0,26.95,113
0,JKHY200918P00140000,2020-02-12 12:06PM EST,140.0,2.1,3.3,4.4,0.0,-,-,15,26.76,204
1,JKHY200918P00150000,2020-02-13 10:02AM EST,150.0,3.4,5.5,7.1,0.0,-,-,42,25.13,204
2,JKHY200918P00160000,2020-02-19 3:54PM EST,160.0,5.2,9.2,11.2,0.0,-,-,3,24.06,204
3,JKHY200918P00165000,2020-02-24 1:36PM EST,165.0,9.2,11.2,14.4,0.0,-,-,1,24.89,204
4,JKHY200918P00170000,2020-02-24 11:42AM EST,170.0,11.7,14.5,16.8,0.0,-,-,12,23.37,204
