,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,JNPR200228C00022500,2020-02-13 12:26PM EST,22.5,2.3,0.05,0.26,0.0,-,2,0,44.14,1
1,JNPR200228C00023000,2020-02-26 1:20PM EST,23.0,0.01,0.01,1.29,-0.22,-95.65%,3,16,117.97,1
2,JNPR200228C00023500,2020-02-25 9:52AM EST,23.5,0.02,0.0,0.06,0.0,-,441,841,49.61,1
3,JNPR200228C00024000,2020-02-24 1:15PM EST,24.0,0.13,0.0,0.1,0.0,-,11,443,60.16,1
4,JNPR200228C00024500,2020-02-24 1:02PM EST,24.5,0.1,0.0,0.01,0.0,-,23,321,53.13,1
5,JNPR200228C00025000,2020-02-21 3:29PM EST,25.0,0.13,0.0,0.09,0.0,-,25,0,81.25,1
6,JNPR200228C00025500,2020-02-21 3:08PM EST,25.5,0.05,0.0,0.12,0.0,-,15,0,98.44,1
7,JNPR200228C00026000,2020-02-24 11:04AM EST,26.0,0.03,0.0,0.02,0.0,-,2,55,79.69,1
8,JNPR200228C00027000,2020-02-18 12:14AM EST,27.0,0.04,0.0,2.11,0.0,-,-,0,316.8,1
0,JNPR200306C00021000,2020-02-11 10:25AM EST,21.0,3.5,1.02,1.4,0.0,-,1,5,36.33,8
1,JNPR200306C00022000,2020-02-21 2:06PM EST,22.0,2.16,0.38,0.56,0.0,-,1,0,27.25,8
2,JNPR200306C00022500,2020-02-25 3:05PM EST,22.5,0.5,0.24,0.35,0.0,-,4,10,30.27,8
3,JNPR200306C00023000,2020-02-12 2:46PM EST,23.0,0.27,0.09,0.23,-0.48,-64.00%,1,0,33.99,8
4,JNPR200306C00023500,2020-02-25 11:43AM EST,23.5,0.09,0.04,0.16,-0.09,-50.00%,1,0,37.89,8
5,JNPR200306C00024000,2020-02-26 1:24PM EST,24.0,0.04,0.01,0.07,-0.04,-50.00%,160,185,35.94,8
6,JNPR200306C00024500,2020-02-21 2:03PM EST,24.5,0.13,0.00,0.08,0.0,-,10,0,44.34,8
7,JNPR200306C00025000,2020-02-24 12:05PM EST,25.0,0.08,0.00,0.12,0.0,-,12,1904,56.84,8
8,JNPR200306C00025500,2020-02-18 2:55PM EST,25.5,0.1,0.00,0.07,0.0,-,3,0,55.47,8
9,JNPR200306C00026000,2020-02-20 1:58PM EST,26.0,0.07,0.00,0.06,0.0,-,27,252,51.56,8
10,JNPR200306C00026500,2020-02-24 9:34AM EST,26.5,0.05,0.00,0.07,0.0,-,2,0,58.59,8
11,JNPR200306C00027500,2020-02-18 12:14AM EST,27.5,0.04,-,0.09,0.0,-,-,0,82.42,8
0,JNPR200313C00023000,2020-02-20 12:40PM EST,23.0,1.32,0.14,0.68,0.0,-,3,3,51.07,15
1,JNPR200313C00023500,2020-02-10 12:37PM EST,23.5,0.95,0.06,0.51,0.0,-,5,0,50.78,15
2,JNPR200313C00024000,2020-02-20 10:39AM EST,24.0,0.54,0.0,0.17,0.0,-,1,0,36.52,15
3,JNPR200313C00025000,2020-02-13 10:17AM EST,25.0,0.38,0.0,0.34,0.0,-,-,9,61.82,15
4,JNPR200313C00025500,2020-02-12 10:16AM EST,25.5,0.4,0.0,0.39,0.0,-,-,10,56.25,15
5,JNPR200313C00026000,2020-02-20 11:07AM EST,26.0,0.07,0.01,0.49,0.0,-,4,0,66.6,15
6,JNPR200313C00026500,2020-02-19 10:06AM EST,26.5,0.02,0.0,0.47,0.0,-,-,0,70.51,15
1,JNPR200320C00021000,2020-02-10 2:28PM EST,21.0,1.66,1.16,1.51,0.0,-,4,5,30.66,22
2,JNPR200320C00021500,2020-02-25 3:01PM EST,21.5,1.27,1.07,1.23,0.0,-,-,-,34.47,22
3,JNPR200320C00022000,2020-02-26 12:22PM EST,22.0,0.61,0.63,0.69,-1.47,-70.67%,43,0,23.54,22
4,JNPR200320C00023000,2020-02-26 1:27PM EST,23.0,0.39,0.27,0.3,-0.07,-15.22%,45,1265,25.39,22
5,JNPR200320C00023500,2020-02-25 12:03PM EST,23.5,0.34,0.16,0.23,0.0,-,1,2,28.52,22
6,JNPR200320C00024000,2020-02-26 1:23PM EST,24.0,0.14,0.10,0.12,-0.1,-41.67%,91,1229,27.15,22
7,JNPR200320C00024500,2020-02-26 1:23PM EST,24.5,0.09,0.06,0.09,-0.02,-18.18%,42,118,29.49,22
8,JNPR200320C00025000,2020-02-26 10:18AM EST,25.0,0.05,0.03,0.07,-0.04,-44.44%,15,1259,31.84,22
9,JNPR200320C00025500,2020-02-24 2:48PM EST,25.5,0.11,-,0.08,0.0,-,-,-,37.11,22
10,JNPR200320C00026000,2020-02-24 12:30PM EST,26.0,0.07,0.00,0.07,0.0,-,10,241,39.84,22
11,JNPR200320C00027000,2020-02-21 1:49PM EST,27.0,0.09,0.00,0.1,0.0,-,50,210,50.78,22
12,JNPR200320C00028000,2020-02-20 12:42PM EST,28.0,0.04,0.00,0.1,0.0,-,50,59,50.39,22
13,JNPR200320C00030000,2020-02-21 1:48PM EST,30.0,0.05,0.00,0.05,0.0,-,50,50,55.47,22
0,JNPR200327C00022000,2020-02-26 1:00PM EST,22.0,0.76,0.69,1.74,-1.19,-61.03%,1,6,61.87,29
1,JNPR200327C00023000,2020-02-10 3:57PM EST,23.0,1.48,0.22,0.62,0.0,-,7,0,35.45,29
2,JNPR200327C00023500,2020-02-26 12:59PM EST,23.5,0.26,0.14,0.62,-0.12,-31.58%,2,5,42.19,29
3,JNPR200327C00024000,2020-02-24 11:50AM EST,24.0,0.62,0.16,0.39,0.0,-,-,-,38.18,29
4,JNPR200327C00024500,2020-02-18 11:21AM EST,24.5,0.47,0.0,0.95,0.0,-,9,9,68.16,29
5,JNPR200327C00025000,2020-02-18 12:32PM EST,25.0,0.36,0.03,0.99,0.0,-,12,27,54.3,29
6,JNPR200327C00025500,2020-02-11 12:29PM EST,25.5,0.38,0.0,0.3,0.0,-,-,2,48.05,29
7,JNPR200327C00026500,2020-02-12 12:23PM EST,26.5,0.2,0.01,0.07,0.0,-,-,15,38.28,29
8,JNPR200327C00027000,2020-02-20 1:45PM EST,27.0,0.09,0.0,0.12,0.0,-,15,315,46.68,29
0,JNPR200403C00022000,2020-02-18 12:40PM EST,22.0,2.22,0.73,1.58,0.0,-,16,0,50.2,36
1,JNPR200403C00023500,2020-02-20 1:22PM EST,23.5,1.26,0.25,0.79,0.0,-,-,5,44.39,36
2,JNPR200403C00024000,2020-02-24 11:15AM EST,24.0,0.65,0.15,0.43,0.0,-,28,28,36.13,36
3,JNPR200403C00024500,2020-02-21 11:08AM EST,24.5,0.75,0.13,0.46,0.0,-,9,0,42.29,36
4,JNPR200403C00025000,2020-02-21 3:45PM EST,25.0,0.59,0.0,0.34,0.0,-,9,14,41.41,36
5,JNPR200403C00025500,2020-02-20 12:52PM EST,25.5,0.66,0.0,0.36,0.0,-,-,1,46.48,36
6,JNPR200403C00026500,2020-02-18 10:28AM EST,26.5,0.15,0.0,0.68,0.0,-,2,2,53.13,36
7,JNPR200403C00027500,2020-02-20 12:52PM EST,27.5,0.21,0.0,0.74,0.0,-,-,1,61.82,36
0,JNPR200417C00018000,2020-02-07 10:37AM EST,18.0,5.45,4.0,4.3,0.0,-,20,4,12.5,50
1,JNPR200417C00019000,2019-10-13 11:00PM EST,19.0,4.95,4.95,7.8,0.0,-,-,0,148.05,50
2,JNPR200417C00020000,2020-02-26 11:35AM EST,20.0,2.5,2.2,2.54,-0.19,-7.06%,12,27,31.25,50
3,JNPR200417C00021000,2020-02-19 11:11AM EST,21.0,3.0,1.45,1.81,0.0,-,10,0,31.69,50
4,JNPR200417C00022000,2020-02-26 12:58PM EST,22.0,0.91,0.88,1.19,-0.31,-25.41%,22,0,30.96,50
5,JNPR200417C00023000,2020-02-26 11:58AM EST,23.0,0.51,0.47,0.58,-0.18,-26.09%,22,0,25.98,50
6,JNPR200417C00024000,2020-02-26 1:14PM EST,24.0,0.31,0.3,0.4,-0.12,-27.91%,33,554,29.74,50
7,JNPR200417C00025000,2020-02-26 1:23PM EST,25.0,0.2,0.12,0.24,-0.05,-20.00%,6,772,30.96,50
8,JNPR200417C00026000,2020-02-25 2:27PM EST,26.0,0.13,0.06,0.15,0.0,-,8,0,32.62,50
9,JNPR200417C00027000,2020-02-20 2:47PM EST,27.0,0.2,0.06,0.13,0.0,-,10,0,36.72,50
10,JNPR200417C00028000,2020-02-19 12:17PM EST,28.0,0.06,0.04,0.1,0.0,-,1,827,39.26,50
11,JNPR200417C00029000,2020-02-26 12:39PM EST,29.0,0.04,0.0,0.08,0.01,+33.33%,4,172,41.8,50
12,JNPR200417C00030000,2020-02-13 10:16AM EST,30.0,0.04,0.0,0.09,0.0,-,1,211,47.07,50
13,JNPR200417C00031000,2020-01-31 9:55AM EST,31.0,0.03,0.02,0.07,0.0,-,50,0,48.63,50
14,JNPR200417C00032000,2019-12-16 2:47PM EST,32.0,0.08,0.0,0.12,0.0,-,10,0,50.98,50
15,JNPR200417C00034000,2020-01-27 10:13AM EST,34.0,0.03,0.0,0.08,0.0,-,2,0,54.3,50
