,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,JPM200228C00115000,2020-01-29 3:47PM EST,115.0,13.45,11.25,12.05,-6.91,-33.94%,1,10,54.69,1
1,JPM200228C00120000,2020-02-26 12:09PM EST,120.0,7.12,6.6,6.85,-0.28,-3.78%,3,0,46.88,1
2,JPM200228C00121000,2020-02-25 3:59PM EST,121.0,6.05,7.25,7.55,0.0,-,-,-,89.36,1
3,JPM200228C00122000,2020-02-20 12:38PM EST,122.0,6.15,4.9,5.05,0.0,-,35,0,43.51,1
4,JPM200228C00123000,2020-02-25 2:07PM EST,123.0,5.1,4.05,4.15,0.8,+18.60%,26,31,40.28,1
5,JPM200228C00124000,2020-02-26 1:37PM EST,124.0,3.55,3.15,3.25,0.17,+5.03%,24,230,36.18,1
6,JPM200228C00125000,2020-02-26 1:17PM EST,125.0,3.25,2.59,2.66,0.2,+6.56%,21,0,38.48,1
7,JPM200228C00126000,2020-02-26 1:35PM EST,126.0,2.14,1.91,1.99,-0.24,-10.08%,110,0,36.77,1
8,JPM200228C00127000,2020-02-26 1:14PM EST,127.0,1.83,1.4,1.46,0.0,-,206,0,36.13,1
9,JPM200228C00128000,2020-02-26 1:42PM EST,128.0,0.97,0.95,1.0,-0.41,-29.71%,441,200,34.91,1
10,JPM200228C00129000,2020-02-26 1:33PM EST,129.0,0.77,0.62,0.66,-0.16,-17.20%,398,414,34.23,1
11,JPM200228C00130000,2020-02-26 1:23PM EST,130.0,0.5,0.36,0.4,-0.1,-16.67%,631,0,33.2,1
12,JPM200228C00131000,2020-02-26 1:24PM EST,131.0,0.31,0.19,0.21,-0.18,-36.73%,296,453,31.64,1
13,JPM200228C00132000,2020-02-26 12:59PM EST,132.0,0.23,0.12,0.13,-0.08,-25.81%,651,817,32.32,1
14,JPM200228C00133000,2020-02-26 1:12PM EST,133.0,0.11,0.07,0.09,-0.12,-52.17%,308,686,33.79,1
15,JPM200228C00134000,2020-02-26 1:11PM EST,134.0,0.06,0.04,0.05,-0.09,-60.00%,425,595,33.99,1
16,JPM200228C00135000,2020-02-26 11:51AM EST,135.0,0.05,0.0,0.04,-0.05,-50.00%,227,0,36.13,1
