,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KEYS200320P00070000,2020-02-25 2:47PM EST,70.0,0.05,-,0.2,0.0,-,-,-,63.67,22
1,KEYS200320P00075000,2020-02-25 3:15PM EST,75.0,0.08,0.00,0.1,0.01,+14.29%,1,174,44.73,22
2,KEYS200320P00080000,2020-02-25 3:27PM EST,80.0,0.12,0.15,0.5,-0.28,-70.00%,4,0,47.56,22
3,KEYS200320P00085000,2020-02-26 12:54PM EST,85.0,0.5,0.70,0.85,-0.45,-47.37%,19,1969,39.75,22
4,KEYS200320P00087500,2020-02-25 11:07AM EST,87.5,0.9,1.10,1.4,-0.78,-46.43%,93,0,39.45,22
5,KEYS200320P00090000,2020-02-26 12:33PM EST,90.0,1.4,1.90,2.05,-0.7,-33.33%,96,0,37.72,22
6,KEYS200320P00092500,2020-02-26 11:24AM EST,92.5,1.59,2.80,3.2,-1.55,-49.36%,36,0,38.82,22
7,KEYS200320P00095000,2020-02-26 1:04PM EST,95.0,3.23,4.00,4.5,-0.51,-13.64%,41,369,38.57,22
8,KEYS200320P00097500,2020-02-26 11:19AM EST,97.5,3.77,5.50,5.9,-1.63,-30.19%,14,0,36.55,22
9,KEYS200320P00100000,2020-02-25 2:54PM EST,100.0,7.4,7.40,7.9,0.0,-,21,108,38.7,22
10,KEYS200320P00105000,2020-02-25 2:54PM EST,105.0,11.3,11.00,12.0,0.0,-,16,79,37.5,22
11,KEYS200320P00110000,2020-02-25 2:57PM EST,110.0,15.8,15.40,17.2,0.0,-,4,0,51.95,22
0,KEYS200417P00070000,2020-02-24 3:58PM EST,70.0,0.15,0.0,0.45,0.0,-,1,2,51.03,50
1,KEYS200417P00075000,2020-02-24 1:23PM EST,75.0,0.75,0.25,0.6,0.0,-,-,275,44.14,50
2,KEYS200417P00080000,2020-02-26 9:48AM EST,80.0,0.66,0.5,0.65,0.21,+46.67%,10,-,34.79,50
3,KEYS200417P00085000,2020-02-26 9:48AM EST,85.0,1.28,1.1,1.2,-0.32,-20.00%,1,-,30.84,50
4,KEYS200417P00090000,2020-02-26 11:10AM EST,90.0,2.15,3.0,3.2,-1.1,-33.85%,87,1,34.47,50
5,KEYS200417P00092500,2020-02-25 3:14PM EST,92.5,4.25,2.95,3.2,0.0,-,-,-,26.38,50
6,KEYS200417P00095000,2020-02-26 10:47AM EST,95.0,3.9,5.3,5.6,-1.7,-30.36%,80,3,34.06,50
