,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KEY200228C00018500,2020-02-25 3:57PM EST,18.5,0.17,0.02,0.06,0.0,-,35,29,46.88,1
1,KEY200228C00019000,2020-02-25 11:29AM EST,19.0,0.03,0.01,0.03,-0.09,-75.00%,1,150,53.91,1
2,KEY200228C00019500,2020-02-26 11:27AM EST,19.5,0.03,0.0,0.03,-0.02,-40.00%,40,0,59.38,1
3,KEY200228C00020000,2020-02-25 9:36AM EST,20.0,0.02,0.0,0.02,0.0,-,9,709,67.19,1
4,KEY200228C00020500,2020-02-24 11:05AM EST,20.5,0.02,0.0,0.01,0.0,-,7,0,71.88,1
0,KEY200306C00018000,2020-02-26 12:00PM EST,18.0,0.34,0.25,0.28,-0.14,-29.17%,22,22,35.35,8
1,KEY200306C00018500,2020-02-26 11:33AM EST,18.5,0.18,0.11,0.13,-0.22,-55.00%,50,0,34.77,8
2,KEY200306C00019000,2020-02-24 3:50PM EST,19.0,0.26,0.04,0.07,0.0,-,5,0,37.5,8
3,KEY200306C00019500,2020-02-24 10:54AM EST,19.5,0.03,0.01,0.03,-0.04,-57.14%,15,0,37.89,8
4,KEY200306C00020000,2020-02-24 12:50PM EST,20.0,0.06,0.02,0.03,0.0,-,1,44,45.31,8
5,KEY200306C00020500,2020-01-28 10:16AM EST,20.5,0.08,0.0,0.09,0.0,-,8,0,57.03,8
6,KEY200306C00021000,2020-02-05 2:44PM EST,21.0,0.1,0.0,0.02,0.0,-,5,0,54.69,8
0,KEY200313C00018500,2020-02-05 1:48PM EST,18.5,0.22,0.16,0.21,-0.48,-68.57%,6,0,32.81,15
1,KEY200313C00019000,2020-02-25 1:03PM EST,19.0,0.2,0.07,0.11,0.0,-,9,12,32.81,15
2,KEY200313C00019500,2020-02-21 3:07PM EST,19.5,0.39,0.02,0.07,0.0,-,40,41,35.35,15
3,KEY200313C00020000,2020-02-24 3:02PM EST,20.0,0.05,0.0,0.05,0.0,-,4,329,38.67,15
4,KEY200313C00020500,2020-02-26 12:39PM EST,20.5,0.02,0.0,0.04,-0.06,-75.00%,8,385,42.19,15
5,KEY200313C00021000,2020-02-05 2:29PM EST,21.0,0.12,0.0,0.13,0.0,-,-,2,52.73,15
1,KEY200320C00013000,2019-08-28 11:16AM EST,13.0,3.5,3.55,5.45,0.0,-,3,2,154.49,22
2,KEY200320C00015000,2019-12-02 9:59AM EST,15.0,4.55,4.9,5.0,0.0,-,2,0,207.62,22
3,KEY200320C00016000,2020-02-07 2:08PM EST,16.0,3.56,1.71,2.08,0.0,-,2,0,58.2,22
4,KEY200320C00017000,2020-02-24 2:23PM EST,17.0,2.0,0.91,1.07,0.0,-,1,0,36.91,22
5,KEY200320C00018000,2020-02-26 1:38PM EST,18.0,0.41,0.38,0.43,-0.23,-35.94%,19,1049,30.86,22
6,KEY200320C00018500,2020-02-25 6:57PM EST,18.5,0.51,0.35,0.39,0.0,-,-,-,38.67,22
7,KEY200320C00019000,2020-02-25 12:54PM EST,19.0,0.2,0.11,0.14,-0.04,-16.67%,3,0,30.08,22
8,KEY200320C00019500,2020-02-25 9:33AM EST,19.5,0.22,0.05,0.09,0.0,-,4,33,32.03,22
9,KEY200320C00020000,2020-02-26 12:08PM EST,20.0,0.04,0.03,0.05,-0.03,-42.86%,324,4453,32.42,22
10,KEY200320C00020500,2020-02-26 12:59PM EST,20.5,0.02,0.0,0.12,-0.03,-60.00%,1,2,46.48,22
11,KEY200320C00021000,2020-02-26 1:23PM EST,21.0,0.02,0.0,0.04,0.0,-,59,0,40.23,22
12,KEY200320C00022000,2020-02-14 3:55PM EST,22.0,0.02,0.01,0.03,0.0,-,4,0,46.09,22
13,KEY200320C00023000,2020-02-24 3:50PM EST,23.0,0.01,0.0,0.05,0.0,-,1,18,51.56,22
0,KEY200327C00018000,2020-02-20 11:06AM EST,18.0,2.1,0.44,0.52,0.0,-,2,0,31.54,29
1,KEY200327C00018500,2020-02-26 10:20AM EST,18.5,0.46,0.25,0.32,-1.03,-69.13%,1,2,30.37,29
2,KEY200327C00019000,2020-02-24 2:27PM EST,19.0,0.56,0.14,0.19,0.0,-,-,50,29.88,29
3,KEY200327C00019500,2020-02-20 9:37AM EST,19.5,0.61,0.07,0.12,0.0,-,1,46,30.66,29
4,KEY200327C00020000,2020-02-20 2:18PM EST,20.0,0.44,0.03,0.07,0.0,-,8,58,31.06,29
5,KEY200327C00020500,2020-02-18 12:02AM EST,20.5,0.2,0.0,0.06,0.0,-,-,0,34.18,29
6,KEY200327C00021000,2020-02-13 9:36AM EST,21.0,0.1,0.0,0.17,0.0,-,-,0,50.2,29
0,KEY200403C00019000,2020-02-24 1:27PM EST,19.0,0.55,0.18,0.24,0.0,-,1,9,29.88,36
1,KEY200403C00019500,2020-02-20 9:34AM EST,19.5,0.65,0.1,0.15,0.0,-,-,20,29.88,36
2,KEY200403C00020000,2020-02-19 5:20PM EST,20.0,0.37,0.05,0.1,0.0,-,-,0,30.86,36
3,KEY200403C00020500,2020-02-20 10:49AM EST,20.5,0.3,0.02,0.07,0.0,-,-,11,32.03,36
4,KEY200403C00021000,2020-02-20 3:31PM EST,21.0,0.17,0.0,0.24,0.0,-,100,103,50.59,36
5,KEY200403C00024500,2020-02-21 1:36PM EST,24.5,0.03,0.0,0.07,0.0,-,5,5,51.95,36
0,KEY200417C00018000,2020-02-25 1:33PM EST,18.0,0.89,0.62,0.66,0.0,-,32,0,29.64,50
1,KEY200417C00019000,2020-02-25 3:27PM EST,19.0,0.41,0.24,0.32,0.0,-,5,5,29.2,50
2,KEY200417C00020000,2020-02-25 9:42AM EST,20.0,0.27,0.14,0.16,0.0,-,-,-,30.37,50
3,KEY200417C00021000,2020-02-24 1:34PM EST,21.0,0.11,0.03,0.09,0.0,-,-,-,32.62,50
4,KEY200417C00022000,2020-02-24 9:50AM EST,22.0,0.13,-,0.17,0.0,-,-,-,45.7,50
0,KEY200619C00015000,2020-01-22 3:02PM EST,15.0,4.63,4.45,4.9,0.0,-,-,0,86.62,113
1,KEY200619C00016000,2020-01-27 12:42PM EST,16.0,3.14,2.03,2.23,0.0,-,-,11,31.45,113
2,KEY200619C00017000,2020-01-23 12:48PM EST,17.0,2.8,2.73,2.84,0.0,-,4,0,62.4,113
3,KEY200619C00018000,2020-02-25 1:42PM EST,18.0,1.09,0.83,0.91,0.0,-,9,0,26.27,113
4,KEY200619C00019000,2020-02-24 12:02PM EST,19.0,0.92,0.45,0.53,0.0,-,1,0,25.59,113
5,KEY200619C00020000,2020-02-26 11:54AM EST,20.0,0.26,0.2,0.26,-0.16,-38.10%,56,0,24.22,113
6,KEY200619C00021000,2020-02-26 10:36AM EST,21.0,0.15,0.08,0.17,-0.07,-31.82%,11,1371,26.07,113
7,KEY200619C00022000,2020-02-25 11:56AM EST,22.0,0.11,0.04,0.08,0.0,-,16,0,25.49,113
8,KEY200619C00023000,2020-01-28 12:59PM EST,23.0,0.07,0.02,0.2,0.0,-,12,77,36.62,113
9,KEY200619C00024000,2020-02-10 9:31AM EST,24.0,0.04,0.01,0.05,0.0,-,4,0,30.08,113
10,KEY200619C00025000,2019-11-18 11:33AM EST,25.0,0.18,0.08,0.14,0.0,-,-,5,40.82,113
11,KEY200619C00026000,2019-11-04 1:19PM EST,26.0,0.15,0.0,0.0,0.0,-,5,5,12.5,113
0,KEY200918C00018000,2020-02-21 10:01AM EST,18.0,2.27,1.06,1.19,0.0,-,6,0,24.88,204
1,KEY200918C00019000,2020-02-21 12:05PM EST,19.0,1.58,0.67,0.8,0.0,-,1,24,24.54,204
2,KEY200918C00020000,2020-02-24 10:08AM EST,20.0,0.71,0.36,0.49,0.0,-,1,107,23.66,204
3,KEY200918C00021000,2020-02-24 11:44AM EST,21.0,0.5,0.24,0.3,0.0,-,19,112,23.44,204
4,KEY200918C00022000,2020-02-24 11:55AM EST,22.0,0.28,0.08,0.18,0.0,-,6,114,23.34,204
5,KEY200918C00023000,2020-02-05 2:17PM EST,23.0,0.23,0.06,0.11,0.0,-,5,0,23.54,204
6,KEY200918C00024000,2020-02-18 1:23PM EST,24.0,0.08,0.0,0.34,0.0,-,5,0,35.3,204
7,KEY200918C00026000,2020-02-18 1:23PM EST,26.0,0.05,0.0,0.18,0.0,-,-,5,34.96,204
8,KEY200918C00027000,2020-01-21 2:39PM EST,27.0,0.11,0.0,0.0,0.0,-,-,0,12.5,204
1,KEY210115C00010000,2019-11-29 12:20PM EST,10.0,9.51,9.55,10.15,0.0,-,18,0,104.35,323
2,KEY210115C00013000,2020-02-07 10:30AM EST,13.0,6.48,4.55,5.05,0.0,-,10,0,31.3,323
3,KEY210115C00015000,2020-02-25 1:08PM EST,15.0,3.68,3.1,3.35,0.0,-,4,0,26.98,323
4,KEY210115C00017000,2020-02-26 12:06PM EST,17.0,2.0,1.84,2.02,-0.27,-11.89%,20,0,25.15,323
5,KEY210115C00020000,2020-02-24 3:41PM EST,20.0,0.96,0.6,0.79,0.0,-,8,0,23.95,323
6,KEY210115C00022000,2020-02-26 12:10PM EST,22.0,0.36,0.3,0.4,-0.04,-10.00%,190,2251,23.98,323
7,KEY210115C00025000,2020-02-25 12:50PM EST,25.0,0.14,0.06,0.14,0.0,-,10,203,24.32,323
8,KEY210115C00027000,2019-12-24 10:52AM EST,27.0,0.2,0.02,0.15,0.0,-,3,78,28.61,323
9,KEY210115C00030000,2020-01-22 3:59PM EST,30.0,0.05,0.0,0.35,0.0,-,100,250,40.97,323
0,KEY220121C00015000,2020-02-25 10:30AM EST,15.0,4.1,3.3,4.6,0.0,-,10,179,34.3,694
1,KEY220121C00017000,2020-02-25 9:48AM EST,17.0,2.8,1.86,2.97,0.0,-,1,8,27.34,694
2,KEY220121C00020000,2020-02-26 12:14PM EST,20.0,1.35,0.91,2.38,-0.1,-6.90%,2,125,33.08,694
3,KEY220121C00022000,2020-02-18 3:55PM EST,22.0,1.17,0.68,1.49,0.0,-,1,0,29.44,694
4,KEY220121C00025000,2020-02-24 1:18PM EST,25.0,0.55,0.26,0.71,0.0,-,2,0,26.51,694
5,KEY220121C00027000,2019-12-20 11:06AM EST,27.0,0.75,0.3,0.69,0.0,-,5,6,29.57,694
6,KEY220121C00030000,2020-02-10 9:42AM EST,30.0,0.15,0.02,0.62,0.0,-,1,0,32.79,694
7,KEY220121C00035000,2020-02-24 1:36PM EST,35.0,0.07,0.05,0.1,0.0,-,21,695,26.07,694
