,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KEY200228P00016500,2020-02-25 3:57PM EST,16.5,0.07,0.01,0.1,0.0,-,-,-,64.06,1
1,KEY200228P00017000,2020-01-15 3:55PM EST,17.0,0.1,0.0,0.06,0.0,-,-,3,44.92,1
2,KEY200228P00017500,2020-02-26 11:51AM EST,17.5,0.1,0.17,0.2,0.06,+150.00%,10,1,45.31,1
3,KEY200228P00018000,2020-02-25 1:20PM EST,18.0,0.25,0.42,0.46,-0.05,-16.67%,31,0,44.14,1
4,KEY200228P00018500,2020-02-26 12:19PM EST,18.5,0.7,0.79,0.85,0.22,+45.83%,1,107,44.53,1
5,KEY200228P00019000,2020-02-24 12:50PM EST,19.0,0.33,1.14,1.49,0.0,-,4,89,96.48,1
7,KEY200228P00020000,2020-02-24 2:54PM EST,20.0,0.97,2.13,2.39,0.0,-,1,7,107.03,1
8,KEY200228P00020500,2020-02-24 12:22PM EST,20.5,1.54,2.57,2.95,0.0,-,30,0,140.63,1
0,KEY200306P00016000,2020-02-25 12:15PM EST,16.0,0.04,0.04,0.17,0.0,-,-,-,55.08,8
1,KEY200306P00017000,2020-02-25 2:50PM EST,17.0,0.2,0.26,0.3,-0.02,-9.09%,1,1,50.78,8
2,KEY200306P00017500,2020-02-26 1:11PM EST,17.5,0.37,0.44,0.47,0.34,"+1,133.33%",11,0,48.24,8
3,KEY200306P00018000,2020-02-25 3:32PM EST,18.0,0.61,0.72,0.76,0.0,-,150,141,50.2,8
4,KEY200306P00018500,2020-02-25 2:40PM EST,18.5,0.93,1.06,1.13,0.1,+12.05%,1,0,50.78,8
5,KEY200306P00019000,2020-02-21 11:40AM EST,19.0,0.51,1.31,1.55,0.0,-,3,0,58.79,8
6,KEY200306P00019500,2020-02-21 11:39AM EST,19.5,0.92,1.86,2.06,0.0,-,10,0,58.79,8
7,KEY200306P00020000,2020-02-21 3:35PM EST,20.0,0.72,2.32,2.6,0.0,-,5,0,68.36,8
0,KEY200313P00017000,2020-02-25 1:13PM EST,17.0,0.18,0.22,0.25,0.0,-,-,-,35.55,15
1,KEY200313P00017500,2020-01-31 1:12PM EST,17.5,0.27,0.52,0.59,0.0,-,5,0,45.51,15
2,KEY200313P00018000,2020-02-25 11:25AM EST,18.0,0.4,0.77,0.85,0.0,-,86,112,45.31,15
3,KEY200313P00018500,2020-02-25 10:37AM EST,18.5,0.58,1.12,1.17,0.0,-,50,0,45.31,15
4,KEY200313P00019000,2020-02-13 3:46PM EST,19.0,0.27,1.43,1.61,0.0,-,3,4,51.07,15
5,KEY200313P00019500,2020-02-14 2:59PM EST,19.5,0.45,1.8,2.17,0.0,-,20,345,64.94,15
6,KEY200313P00020000,2020-02-18 12:52PM EST,20.0,0.87,2.27,2.67,0.0,-,20,20,55.27,15
0,KEY200320P00009000,2019-08-08 10:37AM EST,9.0,0.09,0.0,0.19,0.0,-,-,6,157.03,22
1,KEY200320P00010000,2019-08-08 10:39AM EST,10.0,0.12,0.0,0.22,0.0,-,-,2,139.45,22
2,KEY200320P00011000,2019-12-23 10:08AM EST,11.0,0.02,0.0,0.05,0.0,-,35,35,91.41,22
3,KEY200320P00012000,2019-09-15 11:01PM EST,12.0,0.14,0.09,0.14,0.0,-,-,20,102.34,22
4,KEY200320P00013000,2019-11-14 3:29PM EST,13.0,0.1,0.0,0.23,0.0,-,15,0,84.77,22
5,KEY200320P00014000,2019-11-21 12:00PM EST,14.0,0.11,0.01,0.07,0.0,-,72,142,53.91,22
6,KEY200320P00015000,2020-02-18 11:52AM EST,15.0,0.02,0.07,0.11,0.0,-,20,0,51.95,22
7,KEY200320P00016000,2020-02-25 12:09PM EST,16.0,0.17,0.14,0.19,0.04,+30.77%,8,0,43.95,22
8,KEY200320P00017000,2020-02-26 11:26AM EST,17.0,0.27,0.39,0.42,-0.03,-10.00%,7,0,40.63,22
9,KEY200320P00017500,2020-02-25 3:11PM EST,17.5,0.47,0.4,0.43,0.0,-,-,-,29.3,22
10,KEY200320P00018000,2020-02-25 3:40PM EST,18.0,0.63,0.84,0.9,-0.11,-14.86%,15,0,40.82,22
11,KEY200320P00018500,2020-02-24 2:29PM EST,18.5,0.45,1.09,1.28,0.0,-,-,17,44.63,22
12,KEY200320P00019000,2020-02-25 9:53AM EST,19.0,1.2,1.57,1.62,0.48,+66.67%,12,848,43.65,22
13,KEY200320P00019500,2020-02-25 10:10AM EST,19.5,1.01,2.02,2.08,0.0,-,10,10,48.44,22
14,KEY200320P00020000,2020-02-25 11:33AM EST,20.0,2.05,2.43,2.55,0.0,-,6,332,53.13,22
15,KEY200320P00021000,2020-02-20 12:15PM EST,21.0,1.27,3.4,3.55,0.0,-,87,108,58.59,22
16,KEY200320P00023000,2020-02-25 2:01PM EST,23.0,5.03,5.3,5.6,0.0,-,30,24,75.59,22
0,KEY200327P00012500,2020-02-18 12:03AM EST,12.5,0.03,-,0.21,0.0,-,-,0,95.9,29
1,KEY200327P00017500,2020-02-25 6:57PM EST,17.5,0.23,0.45,0.5,0.0,-,-,-,29.3,29
2,KEY200327P00018000,2020-02-20 3:46PM EST,18.0,0.1,0.81,0.98,0.0,-,-,3,39.84,29
3,KEY200327P00018500,2020-02-24 10:08AM EST,18.5,0.45,1.10,1.28,0.0,-,5,0,39.26,29
4,KEY200327P00019000,2020-02-21 3:49PM EST,19.0,0.38,1.47,1.73,0.0,-,1,1,44.53,29
5,KEY200327P00019500,2020-02-25 11:06AM EST,19.5,1.36,1.89,2.12,0.0,-,20,38,45.12,29
0,KEY200403P00017000,2020-02-25 11:35AM EST,17.0,0.26,0.5,0.56,0.0,-,10,15,38.97,36
1,KEY200403P00018000,2020-02-24 12:54PM EST,18.0,0.39,0.86,1.01,0.0,-,30,0,37.31,36
2,KEY200403P00018500,2020-02-25 11:35AM EST,18.5,0.76,1.27,1.33,0.0,-,10,0,37.79,36
3,KEY200403P00019000,2020-02-18 12:03AM EST,19.0,0.44,1.48,1.65,0.0,-,-,0,36.23,36
0,KEY200417P00016000,2020-02-26 10:05AM EST,16.0,0.25,0.24,0.27,0.07,+38.89%,20,-,34.38,50
1,KEY200417P00017000,2020-02-24 10:31AM EST,17.0,0.22,0.42,0.5,0.0,-,-,-,30.86,50
2,KEY200417P00018000,2020-02-26 9:30AM EST,18.0,0.85,0.83,0.86,-0.08,-8.60%,-,-,26.27,50
0,KEY200619P00010000,2019-10-31 10:19AM EST,10.0,0.09,0.0,0.26,0.0,-,-,0,66.02,113
1,KEY200619P00011000,2019-10-31 10:19AM EST,11.0,0.12,0.01,0.3,0.0,-,5,5,58.98,113
2,KEY200619P00012000,2019-11-12 3:40PM EST,12.0,0.15,0.0,0.2,0.0,-,2,0,53.52,113
3,KEY200619P00013000,2019-11-18 12:14AM EST,13.0,0.19,0.1,0.12,0.0,-,-,5,39.16,113
4,KEY200619P00014000,2020-02-25 1:40PM EST,14.0,0.18,0.15,0.27,0.0,-,10,46,40.14,113
5,KEY200619P00015000,2020-02-24 9:43AM EST,15.0,0.2,0.32,0.4,0.0,-,3,100,36.82,113
6,KEY200619P00016000,2020-02-25 1:34PM EST,16.0,0.46,0.53,0.64,0.0,-,6,97,35.16,113
7,KEY200619P00017000,2020-02-25 1:57PM EST,17.0,0.75,0.87,0.96,0.0,-,1,351,33.11,113
8,KEY200619P00018000,2020-02-25 1:42PM EST,18.0,1.16,1.31,1.44,0.0,-,13,0,32.32,113
9,KEY200619P00019000,2020-02-24 11:12AM EST,19.0,1.17,1.9,2.09,0.0,-,2,638,32.86,113
10,KEY200619P00020000,2020-02-25 3:33PM EST,20.0,2.6,2.65,2.86,0.0,-,20,91,34.08,113
11,KEY200619P00021000,2020-01-27 12:42PM EST,21.0,2.5,3.5,3.85,0.0,-,-,30,40.09,113
12,KEY200619P00023000,2020-01-31 11:47AM EST,23.0,4.45,5.25,5.75,0.0,-,20,0,47.41,113
0,KEY200918P00013000,2020-01-21 2:39PM EST,13.0,0.17,0.0,0.0,0.0,-,-,0,12.5,204
1,KEY200918P00014000,2020-02-18 1:23PM EST,14.0,0.16,0.35,0.41,0.0,-,5,0,34.77,204
2,KEY200918P00015000,2020-02-10 3:22PM EST,15.0,0.25,0.53,0.61,0.0,-,4,0,33.15,204
3,KEY200918P00016000,2020-02-18 1:23PM EST,16.0,0.38,0.79,1.02,0.0,-,5,0,34.64,204
4,KEY200918P00017000,2020-02-06 9:51AM EST,17.0,0.5,1.16,1.31,0.0,-,6,0,31.64,204
5,KEY200918P00018000,2020-02-24 9:30AM EST,18.0,1.1,1.66,1.79,0.0,-,3,395,30.76,204
6,KEY200918P00019000,2020-02-14 12:18PM EST,19.0,1.54,2.28,2.48,0.0,-,18,0,32.11,204
7,KEY200918P00020000,2020-02-21 11:32AM EST,20.0,1.74,2.97,3.15,0.0,-,21,42,31.54,204
8,KEY200918P00021000,2020-02-18 12:03AM EST,21.0,2.35,3.8,4.0,0.0,-,60,60,33.35,204
0,KEY210115P00008000,2020-01-06 12:10PM EST,8.0,0.1,0.0,0.13,0.0,-,2,250,52.34,323
1,KEY210115P00010000,2020-02-25 9:47AM EST,10.0,0.13,0.08,0.35,0.0,-,2,868,50.49,323
2,KEY210115P00013000,2020-02-24 9:50AM EST,13.0,0.38,0.39,0.55,0.0,-,1,1022,37.26,323
3,KEY210115P00015000,2020-02-26 12:23PM EST,15.0,0.9,0.81,1.01,0.1,+12.50%,10,4369,34.2,323
4,KEY210115P00017000,2020-02-24 1:22PM EST,17.0,1.55,1.53,1.72,0.0,-,42,0,31.59,323
5,KEY210115P00020000,2020-02-18 1:23PM EST,20.0,2.24,3.4,3.6,0.0,-,10,0,32.23,323
6,KEY210115P00022000,2020-02-10 2:21PM EST,22.0,3.42,5.0,5.2,0.0,-,9,0,33.59,323
7,KEY210115P00025000,2020-02-13 10:33AM EST,25.0,6.0,7.5,8.1,0.0,-,8,552,40.82,323
8,KEY210115P00027000,2019-06-19 2:29PM EST,27.0,10.8,9.5,10.7,0.0,-,50,99,56.79,323
9,KEY210115P00030000,2019-06-07 10:03AM EST,30.0,13.25,11.55,13.25,0.0,-,10,15,55.32,323
10,KEY210115P00035000,2019-06-07 10:03AM EST,35.0,18.1,14.9,17.85,0.0,-,-,107,55.08,323
0,KEY220121P00003000,2019-10-13 11:03PM EST,3.0,0.17,-,0.0,0.0,-,-,0,25.0,694
1,KEY220121P00005000,2019-11-20 1:20PM EST,5.0,0.12,0.00,0.2,0.0,-,-,1,51.95,694
2,KEY220121P00008000,2020-02-24 10:41AM EST,8.0,0.2,0.00,0.23,-0.03,-13.04%,5,0,40.63,694
3,KEY220121P00010000,2020-02-26 1:35PM EST,10.0,0.43,0.32,0.8,0.13,+43.33%,40,0,45.51,694
4,KEY220121P00013000,2020-01-28 3:53PM EST,13.0,0.7,0.86,1.22,0.0,-,11,0,36.21,694
5,KEY220121P00015000,2020-02-24 1:47PM EST,15.0,1.4,1.32,2.05,0.0,-,8,0,36.28,694
6,KEY220121P00017000,2020-01-13 10:31AM EST,17.0,1.92,1.34,1.86,0.0,-,12,0,23.1,694
7,KEY220121P00020000,2019-12-24 11:27AM EST,20.0,3.1,2.30,3.85,0.0,-,10,21,24.66,694
8,KEY220121P00025000,2020-02-13 10:31AM EST,25.0,6.75,8.10,10.05,0.0,-,-,70,49.72,694
