,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KHC200228C00024000,2020-02-19 12:47PM EST,24.0,3.35,1.56,1.64,0.0,-,8,0,67.58,1
1,KHC200228C00024500,2020-02-18 9:37AM EST,24.5,1.29,1.09,1.16,-0.22,-14.57%,3,0,55.47,1
2,KHC200228C00025000,2020-02-26 11:03AM EST,25.0,0.97,0.63,0.69,-0.06,-5.83%,1,0,45.51,1
3,KHC200228C00025500,2020-02-26 1:19PM EST,25.5,0.35,0.33,0.36,-0.46,-56.79%,257,0,40.82,1
4,KHC200228C00026000,2020-02-26 1:40PM EST,26.0,0.15,0.14,0.16,-0.23,-60.53%,248,82,39.45,1
5,KHC200228C00026500,2020-02-26 12:59PM EST,26.5,0.07,0.05,0.07,-0.16,-69.57%,51,151,41.02,1
6,KHC200228C00027000,2020-02-26 12:37PM EST,27.0,0.04,0.03,0.05,-0.04,-50.00%,461,1420,48.44,1
7,KHC200228C00027500,2020-02-26 12:24PM EST,27.5,0.01,0.0,0.03,-0.03,-75.00%,94,1150,53.13,1
8,KHC200228C00028000,2020-02-25 11:38AM EST,28.0,0.02,0.0,0.02,0.0,-,6,1712,51.56,1
9,KHC200228C00028500,2020-02-26 10:39AM EST,28.5,0.01,0.01,0.03,0.0,-,4,6387,67.19,1
10,KHC200228C00029000,2020-02-21 2:15PM EST,29.0,0.05,0.0,0.04,0.0,-,1,395,75.0,1
11,KHC200228C00029500,2020-02-25 9:42AM EST,29.5,0.01,0.0,0.03,0.0,-,1,328,79.69,1
12,KHC200228C00030000,2020-02-24 11:06AM EST,30.0,0.02,0.0,0.03,0.0,-,2,0,87.5,1
13,KHC200228C00030500,2020-02-24 10:07AM EST,30.5,0.01,0.0,0.01,0.0,-,1,192,81.25,1
14,KHC200228C00031000,2020-02-18 12:39PM EST,31.0,0.01,0.0,0.03,0.0,-,3,318,101.56,1
15,KHC200228C00031500,2020-02-21 2:02PM EST,31.5,0.01,0.0,0.05,0.0,-,20,436,117.19,1
16,KHC200228C00032000,2020-02-20 1:20PM EST,32.0,0.05,0.0,0.03,0.0,-,1,0,115.63,1
17,KHC200228C00032500,2020-02-25 9:53AM EST,32.5,0.03,0.0,0.02,0.0,-,1,527,115.63,1
18,KHC200228C00033000,2020-02-21 12:09PM EST,33.0,0.02,0.0,0.03,0.0,-,2,328,128.13,1
19,KHC200228C00033500,2020-02-25 9:53AM EST,33.5,0.02,0.0,0.01,0.0,-,1,0,118.75,1
20,KHC200228C00034000,2020-02-14 2:47PM EST,34.0,0.01,0.0,0.04,0.0,-,1,161,146.88,1
21,KHC200228C00034500,2020-02-24 1:27PM EST,34.5,0.01,0.0,0.01,0.0,-,10,84,128.13,1
22,KHC200228C00035000,2020-02-13 3:55PM EST,35.0,0.03,0.0,0.01,0.0,-,15,217,131.25,1
23,KHC200228C00035500,2020-02-12 2:07PM EST,35.5,0.13,0.0,0.03,0.0,-,1,0,159.38,1
24,KHC200228C00036000,2020-02-13 1:04PM EST,36.0,0.04,0.0,0.03,0.0,-,-,71,162.5,1
25,KHC200228C00037000,2020-01-29 11:37AM EST,37.0,0.01,0.0,0.04,0.0,-,1,6,181.25,1
0,KHC200306C00024000,2020-01-30 11:49AM EST,24.0,5.7,1.66,1.82,0.0,-,-,0,55.37,8
1,KHC200306C00024500,2020-02-26 12:17PM EST,24.5,1.43,1.22,1.31,-1.5,-51.19%,2,0,44.04,8
2,KHC200306C00025000,2020-02-24 3:17PM EST,25.0,1.02,0.82,1.01,-0.28,-21.54%,7,0,45.22,8
3,KHC200306C00025500,2020-02-26 11:41AM EST,25.5,0.75,0.54,0.6,-0.48,-39.02%,11,5,36.62,8
4,KHC200306C00026000,2020-02-26 11:50AM EST,26.0,0.46,0.33,0.37,-0.25,-35.21%,370,0,35.25,8
5,KHC200306C00026500,2020-02-26 1:01PM EST,26.5,0.25,0.18,0.25,-0.23,-47.92%,28,86,37.21,8
6,KHC200306C00027000,2020-02-26 12:32PM EST,27.0,0.16,0.10,0.13,-0.11,-40.74%,104,0,35.55,8
7,KHC200306C00027500,2020-02-26 11:41AM EST,27.5,0.07,0.05,0.1,-0.08,-53.33%,4,0,39.26,8
8,KHC200306C00028000,2020-02-25 12:13PM EST,28.0,0.09,0.03,0.07,0.0,-,14,0,41.41,8
9,KHC200306C00028500,2020-02-26 11:02AM EST,28.5,0.03,0.00,0.04,-0.03,-50.00%,26,0,41.8,8
10,KHC200306C00029000,2020-02-24 3:20PM EST,29.0,0.07,0.00,0.12,0.0,-,29,0,50.78,8
11,KHC200306C00029500,2020-02-21 12:10PM EST,29.5,0.06,0.00,0.05,0.0,-,2,0,53.91,8
12,KHC200306C00030000,2020-02-25 2:25PM EST,30.0,0.03,0.01,0.04,0.0,-,44,195,51.56,8
13,KHC200306C00030500,2020-02-13 11:32AM EST,30.5,0.09,0.00,0.03,0.0,-,5,222,51.56,8
14,KHC200306C00031000,2020-02-13 1:33PM EST,31.0,0.08,0.00,0.15,0.0,-,9,0,73.05,8
