,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KMB200228P00129000,2020-01-21 12:29PM EST,129.0,0.29,0.0,0.0,0.0,-,-,0,12.5,1
1,KMB200228P00130000,2020-02-18 10:00AM EST,130.0,0.03,0.0,0.5,0.0,-,3,0,60.16,1
2,KMB200228P00131000,2020-02-25 9:58AM EST,131.0,0.01,0.0,0.1,0.0,-,2,0,35.94,1
3,KMB200228P00132000,2020-02-11 10:29AM EST,132.0,0.08,0.0,0.1,0.0,-,1,2,31.74,1
4,KMB200228P00133000,2020-01-23 11:14AM EST,133.0,0.45,0.0,0.0,0.0,-,-,0,12.5,1
5,KMB200228P00134000,2020-02-26 1:36PM EST,134.0,0.12,0.05,0.2,-0.05,-29.41%,72,44,27.83,1
6,KMB200228P00135000,2020-02-26 12:55PM EST,135.0,0.15,0.15,0.3,0.02,+15.38%,20,4,26.12,1
7,KMB200228P00136000,2020-02-26 11:09AM EST,136.0,0.22,0.3,0.5,-0.03,-12.00%,10,0,25.64,1
8,KMB200228P00137000,2020-02-26 10:21AM EST,137.0,0.25,0.55,0.7,-0.06,-19.35%,10,0,23.1,1
9,KMB200228P00138000,2020-02-25 3:23PM EST,138.0,1.1,0.85,1.1,0.0,-,1,0,22.53,1
10,KMB200228P00139000,2020-02-26 1:42PM EST,139.0,1.39,1.35,1.55,0.22,+18.80%,40,69,20.07,1
11,KMB200228P00140000,2020-02-26 12:34PM EST,140.0,1.67,1.9,2.15,-0.13,-7.22%,40,0,16.65,1
12,KMB200228P00141000,2020-02-26 9:59AM EST,141.0,1.94,2.6,2.95,-0.1,-4.90%,1,83,6.25,1
16,KMB200228P00145000,2020-02-25 2:44PM EST,145.0,5.8,5.7,7.1,0.0,-,10,0,36.91,1
17,KMB200228P00146000,2020-02-19 12:51PM EST,146.0,2.7,5.8,8.4,0.0,-,-,3,54.49,1
18,KMB200228P00148000,2020-02-19 12:51PM EST,148.0,4.32,8.1,10.2,0.0,-,-,1,54.3,1
0,KMB200306P00125000,2020-02-18 12:04AM EST,125.0,0.1,-,0.6,0.0,-,-,0,49.76,8
1,KMB200306P00130000,2020-02-20 11:14AM EST,130.0,0.12,0.25,0.4,0.0,-,8,0,30.81,8
2,KMB200306P00131000,2020-01-31 3:57PM EST,131.0,0.41,0.35,0.5,0.0,-,1,1,30.01,8
3,KMB200306P00132000,2020-02-25 10:02AM EST,132.0,0.3,0.45,0.65,0.0,-,1,3,29.66,8
4,KMB200306P00134000,2020-02-20 3:54PM EST,134.0,0.15,0.80,1.05,0.0,-,10,0,28.81,8
5,KMB200306P00135000,2020-02-25 2:33PM EST,135.0,1.1,1.05,1.3,0.0,-,2,0,28.17,8
6,KMB200306P00136000,2020-02-25 12:02PM EST,136.0,0.64,1.40,1.65,0.0,-,22,2,28.13,8
7,KMB200306P00137000,2020-02-20 3:54PM EST,137.0,0.47,1.80,2.05,0.0,-,10,0,27.98,8
8,KMB200306P00138000,2020-02-25 3:48PM EST,138.0,2.02,2.25,2.5,0.0,-,23,0,27.71,8
9,KMB200306P00139000,2020-02-25 2:45PM EST,139.0,2.6,2.70,3.1,0.0,-,10,44,28.39,8
10,KMB200306P00140000,2020-02-26 1:07PM EST,140.0,3.16,3.30,4.0,0.39,+14.08%,10,24,31.84,8
11,KMB200306P00141000,2020-02-26 12:42PM EST,141.0,3.6,3.90,4.6,1.2,+50.00%,2,84,31.35,8
12,KMB200306P00142000,2020-02-25 2:34PM EST,142.0,4.52,4.80,5.2,-0.43,-8.69%,10,0,30.2,8
13,KMB200306P00143000,2020-02-26 1:41PM EST,143.0,5.92,5.60,6.1,0.61,+11.49%,53,1653,32.3,8
14,KMB200306P00144000,2020-02-26 1:41PM EST,144.0,6.87,6.50,7.0,0.7,+11.35%,53,1590,34.13,8
15,KMB200306P00145000,2020-02-24 1:50PM EST,145.0,5.45,6.20,8.8,0.0,-,2,0,48.15,8
16,KMB200306P00146000,2020-02-10 12:06AM EST,146.0,6.41,7.00,8.4,0.0,-,1,0,29.83,8
0,KMB200313P00130000,2020-02-05 12:28PM EST,130.0,0.25,0.5,0.65,0.0,-,-,2,27.54,15
1,KMB200313P00131000,2020-02-03 11:30AM EST,131.0,0.23,0.65,0.85,0.0,-,1,3,27.81,15
2,KMB200313P00133000,2020-02-19 11:46AM EST,133.0,0.22,1.0,1.25,0.0,-,-,0,27.03,15
3,KMB200313P00134000,2020-02-18 12:04AM EST,134.0,1.02,1.2,1.45,0.77,+308.00%,4,0,26.12,15
4,KMB200313P00135000,2020-02-26 9:54AM EST,135.0,1.27,1.5,1.8,0.56,+78.87%,4,6,26.28,15
5,KMB200313P00136000,2020-02-05 12:28PM EST,136.0,0.95,1.85,2.15,0.0,-,-,4,26.0,15
6,KMB200313P00138000,2020-02-20 10:05AM EST,138.0,0.85,2.7,3.0,0.0,-,1,12,25.46,15
7,KMB200313P00139000,2020-02-20 12:15PM EST,139.0,1.36,3.2,3.6,0.0,-,-,0,26.01,15
8,KMB200313P00140000,2020-02-20 12:15PM EST,140.0,2.79,3.7,4.2,1.06,+61.27%,1,2,26.15,15
9,KMB200313P00141000,2020-02-07 1:54PM EST,141.0,1.82,4.4,4.9,0.0,-,1,2,26.75,15
10,KMB200313P00142000,2020-02-25 2:56PM EST,142.0,3.95,5.1,5.9,-0.71,-15.24%,1,11,29.74,15
11,KMB200313P00143000,2020-02-19 2:19PM EST,143.0,3.17,5.5,5.9,0.0,-,5,0,22.68,15
12,KMB200313P00144000,2020-02-20 11:34AM EST,144.0,3.84,6.6,7.2,0.0,-,25,28,28.32,15
13,KMB200313P00145000,2020-02-07 9:43AM EST,145.0,3.47,7.4,8.5,0.0,-,1,1,33.89,15
0,KMB200320P00105000,2020-01-31 3:19PM EST,105.0,0.05,0.0,0.05,0.0,-,28,0,46.09,22
1,KMB200320P00115000,2020-02-07 10:58AM EST,115.0,0.01,0.0,0.15,0.0,-,1,1,38.23,22
2,KMB200320P00125000,2020-02-11 11:57AM EST,125.0,0.2,0.2,0.35,0.0,-,2,0,27.83,22
3,KMB200320P00130000,2020-02-26 11:46AM EST,130.0,0.5,0.7,0.85,-0.2,-28.57%,22,0,25.51,22
4,KMB200320P00135000,2020-02-26 11:47AM EST,135.0,1.29,1.85,2.05,-0.48,-27.12%,22,0,24.05,22
5,KMB200320P00140000,2020-02-25 3:24PM EST,140.0,3.6,4.2,4.5,-0.58,-13.88%,1,0,24.17,22
6,KMB200320P00141000,2020-02-24 3:26PM EST,141.0,3.7,4.6,5.1,0.5,+15.62%,1,11,24.0,22
7,KMB200320P00142000,2020-02-25 9:41AM EST,142.0,4.12,3.8,4.3,0.0,-,-,-,11.26,22
8,KMB200320P00145000,2020-02-25 11:34AM EST,145.0,7.2,7.4,8.2,0.0,-,3,0,25.87,22
0,KMB200327P00130000,2020-02-25 2:13PM EST,130.0,0.75,0.85,1.0,0.0,-,6,0,23.88,29
1,KMB200327P00131000,2020-02-18 10:45AM EST,131.0,0.38,1.1,1.35,0.0,-,-,2,24.98,29
2,KMB200327P00134000,2020-02-25 2:07PM EST,134.0,1.75,1.8,2.15,0.17,+10.76%,4,7,24.29,29
3,KMB200327P00135000,2020-02-21 11:34AM EST,135.0,0.95,2.15,2.45,0.0,-,1,0,23.83,29
4,KMB200327P00136000,2020-02-18 10:45AM EST,136.0,1.5,2.5,2.85,0.0,-,-,0,23.78,29
5,KMB200327P00137000,2020-02-24 1:16PM EST,137.0,2.25,2.95,3.3,0.0,-,1,2,23.79,29
6,KMB200327P00138000,2020-02-25 2:13PM EST,138.0,2.62,3.5,3.7,-0.3,-10.27%,1,0,23.22,29
7,KMB200327P00139000,2020-02-11 1:33PM EST,139.0,3.38,3.9,4.3,1.83,+118.06%,1,1,23.65,29
8,KMB200327P00140000,2020-02-24 10:52AM EST,140.0,2.9,4.4,5.4,0.0,-,6,4,26.95,29
9,KMB200327P00141000,2020-02-13 10:25AM EST,141.0,2.2,5.0,6.1,0.0,-,-,6,27.58,29
10,KMB200327P00142000,2020-02-12 1:10PM EST,142.0,2.75,5.4,6.0,0.0,-,-,2,22.71,29
11,KMB200327P00143000,2020-02-24 11:03AM EST,143.0,4.3,6.3,6.9,0.0,-,3,0,24.13,29
12,KMB200327P00144000,2020-02-19 12:10PM EST,144.0,3.57,7.1,7.5,0.0,-,-,10,23.24,29
0,KMB200403P00132000,2020-02-20 1:41PM EST,132.0,0.65,1.55,1.85,0.0,-,-,1,24.17,36
1,KMB200403P00134000,2020-02-19 1:59PM EST,134.0,0.7,2.1,2.45,0.0,-,-,2,23.8,36
2,KMB200403P00136000,2020-02-25 12:49PM EST,136.0,2.17,2.8,3.2,0.0,-,5,3,23.51,36
3,KMB200403P00137000,2020-02-25 2:33PM EST,137.0,3.1,3.2,3.6,0.0,-,14,17,23.19,36
4,KMB200403P00139000,2020-02-24 9:30AM EST,139.0,3.2,3.0,3.3,0.0,-,-,-,15.71,36
5,KMB200403P00141000,2020-02-20 3:59PM EST,141.0,2.95,5.3,5.8,0.0,-,-,0,23.17,36
6,KMB200403P00142000,2020-02-18 3:45PM EST,142.0,2.88,5.9,6.3,0.0,-,1,0,22.32,36
7,KMB200403P00143000,2020-02-25 11:34AM EST,143.0,5.1,6.6,7.4,0.0,-,1,0,24.88,36
8,KMB200403P00144000,2020-02-18 2:11PM EST,144.0,3.85,7.3,8.1,0.0,-,1,0,24.89,36
9,KMB200403P00152500,2020-02-21 12:30PM EST,152.5,12.05,13.0,17.4,0.0,-,2,2,44.13,36
0,KMB200417P00080000,2019-12-05 10:00AM EST,80.0,0.05,0.0,0.0,0.0,-,1,0,25.0,50
1,KMB200417P00090000,2019-09-05 2:27PM EST,90.0,0.43,0.0,0.45,0.0,-,-,2,57.72,50
2,KMB200417P00095000,2020-01-22 2:39PM EST,95.0,0.05,0.0,0.05,0.0,-,1,0,41.41,50
3,KMB200417P00100000,2020-01-31 3:19PM EST,100.0,0.04,0.0,0.1,0.0,-,2,0,39.84,50
4,KMB200417P00105000,2020-02-24 11:19AM EST,105.0,0.04,0.0,0.15,0.0,-,1,78,36.67,50
5,KMB200417P00110000,2020-02-19 3:09PM EST,110.0,0.06,0.0,0.15,0.0,-,1,0,31.25,50
6,KMB200417P00115000,2020-02-18 10:55AM EST,115.0,0.1,0.1,0.35,0.0,-,10,0,30.57,50
7,KMB200417P00120000,2020-02-19 2:21PM EST,120.0,0.3,0.35,0.5,0.0,-,10,208,26.91,50
8,KMB200417P00125000,2020-02-20 12:03PM EST,125.0,0.75,0.75,0.9,0.18,+31.58%,3,719,24.71,50
9,KMB200417P00130000,2020-02-25 3:44PM EST,130.0,1.55,1.55,1.75,0.0,-,29,0,23.43,50
10,KMB200417P00135000,2020-02-26 11:47AM EST,135.0,2.55,2.95,3.2,-0.21,-7.61%,57,0,22.21,50
11,KMB200417P00140000,2020-02-25 11:59AM EST,140.0,4.95,5.1,5.5,0.15,+3.12%,2,0,21.3,50
12,KMB200417P00145000,2020-02-25 9:30AM EST,145.0,7.0,8.5,8.9,0.0,-,10,328,21.68,50
13,KMB200417P00150000,2020-01-28 10:50AM EST,150.0,8.2,12.6,13.6,0.0,-,3,36,26.58,50
0,KMB200717P00095000,2019-11-22 9:48AM EST,95.0,0.7,0.05,0.75,0.0,-,5,5,38.97,141
1,KMB200717P00100000,2019-11-20 10:18AM EST,100.0,0.92,0.2,0.9,0.0,-,-,14,36.04,141
2,KMB200717P00105000,2019-12-06 2:42PM EST,105.0,0.85,0.2,0.85,0.0,-,3,3,31.2,141
3,KMB200717P00110000,2020-02-11 11:53AM EST,110.0,0.32,0.6,0.75,0.0,-,3,5,26.15,141
4,KMB200717P00115000,2020-02-24 2:30PM EST,115.0,1.01,0.95,1.2,-0.09,-8.18%,1,0,25.2,141
5,KMB200717P00120000,2020-02-03 9:30AM EST,120.0,1.05,1.3,1.45,0.0,-,5,0,22.21,141
6,KMB200717P00125000,2020-02-26 1:12PM EST,125.0,2.55,2.6,2.8,1.2,+88.89%,12,1226,23.3,141
7,KMB200717P00130000,2020-02-26 1:06PM EST,130.0,3.8,4.0,4.3,0.8,+26.67%,2,47,23.03,141
