,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KMX200228C00083000,2020-01-13 3:09PM EST,83.0,9.0,13.9,16.0,0.0,-,-,1,311.43,1
1,KMX200228C00087000,2020-01-13 2:53PM EST,87.0,5.33,10.1,12.2,0.0,-,-,100,261.04,1
2,KMX200228C00089500,2020-02-25 3:49PM EST,89.5,4.37,2.95,3.1,0.0,-,1,1,47.41,1
3,KMX200228C00090500,2020-02-20 3:34PM EST,90.5,2.9,2.25,2.35,-8.5,-74.56%,2,0,45.31,1
4,KMX200228C00091000,2020-02-20 3:34PM EST,91.0,6.45,1.85,2.05,0.0,-,1,0,45.61,1
5,KMX200228C00091500,2020-01-15 1:34PM EST,91.5,4.14,6.3,7.8,0.0,-,10,0,205.47,1
6,KMX200228C00092000,2020-01-17 1:29PM EST,92.0,6.7,6.0,7.7,0.0,-,1,2,206.49,1
7,KMX200228C00092500,2020-01-24 9:48AM EST,92.5,6.38,0.0,0.0,0.0,-,6,0,1.56,1
8,KMX200228C00093500,2020-02-21 1:41PM EST,93.5,1.8,0.7,0.8,-0.6,-25.00%,2,0,42.77,1
9,KMX200228C00094000,2020-02-11 3:37PM EST,94.0,1.55,0.55,0.65,-3.85,-71.30%,3,0,42.82,1
10,KMX200228C00095000,2020-02-26 11:53AM EST,95.0,0.5,0.3,0.45,-0.6,-54.55%,11,0,44.39,1
11,KMX200228C00095500,2020-02-21 3:15PM EST,95.5,0.79,0.25,0.3,-2.51,-76.06%,1,0,41.8,1
12,KMX200228C00096000,2020-02-26 1:33PM EST,96.0,0.34,0.2,0.35,-0.36,-51.43%,3,0,47.95,1
13,KMX200228C00096500,2020-02-25 3:32PM EST,96.5,0.5,0.1,0.2,0.0,-,8,15,43.36,1
14,KMX200228C00097000,2020-02-25 10:57AM EST,97.0,1.0,0.1,0.2,0.0,-,20,0,46.68,1
15,KMX200228C00097500,2020-02-25 10:37AM EST,97.5,0.84,0.05,0.15,0.0,-,10,27,46.29,1
16,KMX200228C00098000,2020-02-24 3:33PM EST,98.0,1.45,0.05,0.15,0.0,-,2,0,49.41,1
17,KMX200228C00098500,2020-02-25 10:26AM EST,98.5,0.23,0.0,0.1,0.0,-,3,26,47.85,1
18,KMX200228C00099000,2020-02-26 11:34AM EST,99.0,0.1,0.1,0.1,-1.05,-91.30%,48,0,50.59,1
19,KMX200228C00099500,2020-02-25 11:42AM EST,99.5,0.17,0.0,0.1,0.0,-,12,10,53.13,1
20,KMX200228C00100000,2020-02-25 2:19PM EST,100.0,0.15,0.05,0.1,0.0,-,4,107,52.73,1
21,KMX200228C00101000,2020-02-26 1:33PM EST,101.0,0.1,0.0,0.1,0.0,-,3,52,53.91,1
22,KMX200228C00102000,2020-02-26 11:18AM EST,102.0,0.1,0.0,0.1,0.02,+25.00%,1,0,58.59,1
23,KMX200228C00103000,2020-02-24 3:38PM EST,103.0,0.16,0.0,0.2,0.0,-,19,0,71.09,1
24,KMX200228C00104000,2020-02-24 3:07PM EST,104.0,0.16,0.0,0.2,0.0,-,4,0,75.98,1
25,KMX200228C00105000,2020-02-24 10:15AM EST,105.0,0.1,0.0,0.1,0.0,-,1,0,71.88,1
26,KMX200228C00106000,2020-02-21 1:40PM EST,106.0,0.2,0.0,0.05,0.0,-,3,255,68.75,1
27,KMX200228C00107000,2020-02-20 12:44PM EST,107.0,0.3,0.0,0.05,0.0,-,-,0,72.66,1
28,KMX200228C00108000,2020-02-21 12:17PM EST,108.0,0.11,0.0,0.05,0.0,-,3,4,76.56,1
29,KMX200228C00109000,2020-02-20 10:58AM EST,109.0,0.15,0.0,0.15,0.0,-,-,1,94.14,1
30,KMX200228C00110000,2020-01-28 12:35PM EST,110.0,0.28,0.0,0.2,0.0,-,-,0,103.13,1
31,KMX200228C00112000,2020-02-26 11:18AM EST,112.0,0.05,0.0,0.05,-0.14,-73.68%,1,1,91.41,1
0,KMX200306C00090000,2020-02-25 3:49PM EST,90.0,4.67,5.1,5.3,0.0,-,-,-,67.72,8
1,KMX200306C00092000,2020-02-19 3:56PM EST,92.0,8.35,2.3,2.45,0.0,-,-,1,39.58,8
2,KMX200306C00094000,2020-02-25 3:36PM EST,94.0,2.2,1.35,1.5,0.0,-,107,0,37.94,8
3,KMX200306C00094500,2020-02-13 2:16PM EST,94.5,5.75,1.25,1.35,0.0,-,-,-,38.33,8
4,KMX200306C00095000,2020-02-26 1:04PM EST,95.0,1.44,1.05,1.2,-1.27,-46.86%,2,4,38.48,8
5,KMX200306C00095500,2020-02-11 12:52PM EST,95.5,3.1,0.9,1.05,0.0,-,28,28,38.38,8
6,KMX200306C00096000,2020-02-04 2:48PM EST,96.0,3.6,0.8,0.9,0.0,-,-,0,37.96,8
7,KMX200306C00096500,2020-02-11 9:56AM EST,96.5,4.24,0.7,0.85,0.0,-,8,3,39.36,8
8,KMX200306C00097500,2020-02-05 11:52AM EST,97.5,1.17,0.45,0.6,0.0,-,2,0,38.23,8
9,KMX200306C00098000,2020-02-24 2:57PM EST,98.0,2.68,0.35,0.5,0.0,-,93,89,37.79,8
10,KMX200306C00098500,2020-02-25 12:04PM EST,98.5,1.06,0.3,0.5,0.0,-,1,11,39.75,8
11,KMX200306C00099000,2020-02-24 10:39AM EST,99.0,1.95,0.25,0.4,0.0,-,8,8,38.82,8
12,KMX200306C00099500,2020-02-10 12:07AM EST,99.5,1.9,0.25,0.4,0.0,-,-,0,40.67,8
13,KMX200306C00100000,2020-02-26 1:04PM EST,100.0,0.3,0.2,0.3,-0.2,-40.00%,3,45,39.16,8
14,KMX200306C00101000,2020-02-20 1:10PM EST,101.0,2.95,0.1,0.25,0.0,-,17,30,40.53,8
