,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KMX200228P00085000,2020-01-17 9:30AM EST,85.0,0.35,0.0,0.3,0.0,-,3,3,59.38,1
1,KMX200228P00087000,2020-01-24 9:41AM EST,87.0,0.32,0.0,0.2,0.0,-,-,0,49.02,1
2,KMX200228P00089000,2020-02-18 12:38PM EST,89.0,0.25,0.1,0.5,0.0,-,2,0,47.56,1
3,KMX200228P00090000,2020-02-10 9:54AM EST,90.0,0.27,0.25,0.45,-0.29,-51.79%,1,0,36.04,1
4,KMX200228P00090500,2020-02-10 9:42AM EST,90.5,0.55,0.6,0.7,0.0,-,5,19,39.65,1
5,KMX200228P00092000,2020-02-25 3:22PM EST,92.0,0.95,0.4,0.45,0.0,-,-,0,13.23,1
6,KMX200228P00092500,2020-02-21 3:59PM EST,92.5,0.01,1.4,1.55,0.0,-,4,0,38.18,1
7,KMX200228P00093000,2020-02-24 1:55PM EST,93.0,1.3,1.7,1.9,0.25,+23.81%,4,12,39.7,1
8,KMX200228P00093500,2020-02-26 12:09PM EST,93.5,1.6,2.05,2.35,-0.1,-5.88%,3,2,43.75,1
9,KMX200228P00094000,2020-02-26 12:02PM EST,94.0,1.5,2.4,2.6,0.05,+3.45%,3,3,40.38,1
10,KMX200228P00095000,2020-02-26 1:29PM EST,95.0,2.55,3.1,3.8,0.9,+54.55%,43,239,56.93,1
11,KMX200228P00095500,2020-02-24 12:19PM EST,95.5,2.45,3.5,3.7,0.0,-,2,0,35.45,1
13,KMX200228P00096500,2020-02-26 1:17PM EST,96.5,3.7,4.4,4.7,2.91,+368.35%,5,16,42.19,1
14,KMX200228P00097000,2020-02-26 9:43AM EST,97.0,2.81,4.8,5.1,-0.99,-26.05%,40,59,37.31,1
15,KMX200228P00097500,2020-02-24 3:54PM EST,97.5,3.29,4.5,5.9,1.73,+110.90%,1,6,60.35,1
16,KMX200228P00098000,2020-02-21 3:56PM EST,98.0,3.9,5.3,6.2,3.45,+766.67%,2,17,51.66,1
17,KMX200228P00098500,2020-02-24 10:48AM EST,98.5,1.8,5.4,7.2,0.0,-,11,0,81.84,1
19,KMX200228P00099500,2020-02-19 3:08PM EST,99.5,1.2,6.2,7.9,0.0,-,-,5,73.93,1
21,KMX200228P00101000,2020-02-24 1:05PM EST,101.0,3.9,7.2,9.4,0.0,-,2,7,83.5,1
22,KMX200228P00102000,2020-02-20 2:30PM EST,102.0,1.55,7.9,11.7,0.0,-,-,99,149.41,1
23,KMX200228P00103000,2020-02-21 11:29AM EST,103.0,5.0,9.0,12.8,0.0,-,3,0,160.94,1
0,KMX200306P00090000,2020-02-26 12:51PM EST,90.0,1.04,1.35,1.45,0.77,+285.19%,9,5,39.06,8
1,KMX200306P00091000,2020-02-24 3:18PM EST,91.0,0.3,1.7,1.85,0.0,-,5,5,38.97,8
2,KMX200306P00092000,2020-02-25 3:58PM EST,92.0,2.0,1.2,1.3,0.0,-,-,-,22.12,8
3,KMX200306P00093000,2020-02-24 11:18AM EST,93.0,0.55,2.7,2.85,0.0,-,-,3,38.75,8
4,KMX200306P00093500,2020-02-25 3:22PM EST,93.5,2.45,1.75,1.9,0.0,-,-,-,17.09,8
5,KMX200306P00094000,2020-02-25 3:10PM EST,94.0,2.38,3.2,3.5,0.0,-,108,147,39.5,8
6,KMX200306P00095000,2020-02-04 3:16PM EST,95.0,2.75,4.0,4.2,0.75,+37.50%,1,0,40.14,8
7,KMX200306P00096000,2020-02-26 12:28PM EST,96.0,4.1,4.6,4.8,0.0,-,1,5,37.77,8
8,KMX200306P00097000,2020-02-24 3:35PM EST,97.0,4.6,5.5,5.7,0.0,-,26,0,40.38,8
