,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,KO200228P00048000,2020-01-24 1:05PM EST,48.0,0.04,0.0,0.02,0.0,-,10,0,82.81,1
1,KO200228P00048500,2020-01-10 2:18PM EST,48.5,0.08,0.0,0.02,0.0,-,3,3,78.13,1
2,KO200228P00049500,2020-01-10 3:06PM EST,49.5,0.1,0.0,0.02,0.0,-,3,3,70.31,1
3,KO200228P00050000,2020-02-05 1:01PM EST,50.0,0.01,0.0,0.03,0.0,-,1,3,70.31,1
4,KO200228P00051000,2020-02-25 3:50PM EST,51.0,0.01,0.0,0.03,0.0,-,2,16,60.94,1
5,KO200228P00051500,2020-01-21 12:43PM EST,51.5,0.09,0.0,0.0,0.0,-,-,0,25.0,1
6,KO200228P00052000,2020-02-21 11:38AM EST,52.0,0.02,0.0,0.04,0.0,-,1,4,55.47,1
7,KO200228P00052500,2020-02-21 10:58AM EST,52.5,0.01,0.0,0.03,0.0,-,11,13,54.3,1
8,KO200228P00053000,2020-02-11 10:18AM EST,53.0,0.02,0.0,0.03,0.01,+100.00%,1,0,49.61,1
9,KO200228P00053500,2020-02-25 3:42PM EST,53.5,0.04,0.0,0.03,0.0,-,20,227,44.92,1
10,KO200228P00054000,2020-02-05 1:01PM EST,54.0,0.08,0.0,0.03,0.0,-,1,54,40.23,1
11,KO200228P00054500,2020-02-26 9:52AM EST,54.5,0.03,0.03,0.04,-0.02,-40.00%,5,1599,37.5,1
12,KO200228P00055000,2020-02-26 1:35PM EST,55.0,0.05,0.04,0.05,-0.03,-37.50%,51,0,34.18,1
13,KO200228P00055500,2020-02-26 1:12PM EST,55.5,0.05,0.06,0.07,-0.03,-37.50%,52,0,31.45,1
14,KO200228P00056000,2020-02-26 12:32PM EST,56.0,0.06,0.08,0.09,-0.1,-62.50%,54,0,27.74,1
15,KO200228P00056500,2020-02-26 11:53AM EST,56.5,0.12,0.13,0.14,-0.1,-45.45%,632,0,25.39,1
16,KO200228P00057000,2020-02-26 1:34PM EST,57.0,0.21,0.2,0.21,-0.1,-32.26%,425,328,22.17,1
17,KO200228P00057500,2020-02-26 12:08PM EST,57.5,0.25,0.34,0.36,-0.2,-44.44%,120,0,20.41,1
18,KO200228P00058000,2020-02-26 1:44PM EST,58.0,0.59,0.58,0.6,-0.13,-18.06%,167,0,18.65,1
19,KO200228P00058500,2020-02-26 12:46PM EST,58.5,0.67,0.9,0.93,-0.26,-27.96%,81,508,15.82,1
20,KO200228P00059000,2020-02-26 12:28PM EST,59.0,1.15,1.3,1.4,-0.08,-6.50%,228,659,18.36,1
22,KO200228P00060000,2020-02-26 9:34AM EST,60.0,2.05,2.21,2.42,-0.2,-8.89%,6,634,30.86,1
23,KO200228P00060500,2020-02-25 9:40AM EST,60.5,2.64,2.68,2.89,0.55,+26.32%,2,280,30.47,1
24,KO200228P00061000,2020-02-25 1:17PM EST,61.0,2.81,3.15,3.45,0.0,-,33,205,44.34,1
26,KO200228P00062000,2020-02-25 11:10AM EST,62.0,2.64,4.2,4.4,0.0,-,10,30,44.92,1
27,KO200228P00062500,2020-02-24 3:11PM EST,62.5,3.55,4.55,4.9,0.0,-,5,0,48.83,1
30,KO200228P00067000,2020-02-19 9:30AM EST,67.0,7.45,8.2,10.05,0.0,-,2,0,159.08,1
0,KO200306P00051000,2020-01-30 11:10PM EST,51.0,0.09,0.0,0.05,0.0,-,-,0,40.63,8
1,KO200306P00052000,2020-01-29 1:58PM EST,52.0,0.02,0.04,0.06,0.0,-,2,14,36.33,8
2,KO200306P00053000,2020-02-25 2:24PM EST,53.0,0.11,0.07,0.08,0.02,+22.22%,31,0,32.81,8
3,KO200306P00053500,2020-02-26 1:16PM EST,53.5,0.08,0.08,0.1,-0.03,-27.27%,6,0,31.45,8
4,KO200306P00054000,2020-02-26 12:28PM EST,54.0,0.1,0.1,0.12,0.05,+100.00%,34,0,29.69,8
5,KO200306P00054500,2020-02-25 2:30PM EST,54.5,0.12,0.13,0.14,-0.06,-33.33%,1,151,27.74,8
6,KO200306P00055000,2020-02-26 1:42PM EST,55.0,0.17,0.16,0.17,-0.06,-26.09%,72,166,25.88,8
7,KO200306P00055500,2020-02-26 12:11PM EST,55.5,0.2,0.21,0.22,-0.12,-37.50%,23,0,24.51,8
8,KO200306P00056000,2020-02-26 11:19AM EST,56.0,0.26,0.28,0.29,-0.11,-29.73%,83,87,23.24,8
9,KO200306P00056500,2020-02-26 1:34PM EST,56.5,0.37,0.38,0.39,-0.07,-15.91%,52,87,22.12,8
10,KO200306P00057000,2020-02-26 1:46PM EST,57.0,0.53,0.51,0.53,-0.1,-15.87%,340,261,21.19,8
11,KO200306P00057500,2020-02-26 1:37PM EST,57.5,0.73,0.69,0.71,-0.03,-3.95%,257,143,20.22,8
12,KO200306P00058000,2020-02-26 1:24PM EST,58.0,0.84,0.92,0.94,-0.21,-20.00%,93,1153,19.24,8
13,KO200306P00058500,2020-02-26 12:05PM EST,58.5,1.0,1.21,1.26,-0.27,-21.26%,26,0,19.24,8
14,KO200306P00059000,2020-02-26 1:34PM EST,59.0,1.53,1.53,1.56,0.06,+4.08%,30,453,16.9,8
15,KO200306P00059500,2020-02-26 9:43AM EST,59.5,1.46,1.88,1.96,-0.45,-23.56%,5,0,15.72,8
16,KO200306P00060000,2020-02-24 3:26PM EST,60.0,1.95,2.32,2.39,-0.35,-15.22%,1,328,12.11,8
17,KO200306P00060500,2020-02-24 11:46AM EST,60.5,1.93,2.79,2.93,0.0,-,3,0,19.14,8
19,KO200306P00061500,2020-02-24 9:48AM EST,61.5,1.83,3.7,3.9,0.0,-,1,3,20.31,8
20,KO200306P00062000,2020-02-21 1:28PM EST,62.0,4.15,4.2,4.4,0.0,-,9,13,22.27,8
