,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LEG200320P00020000,2019-07-24 1:10PM EST,20.0,0.1,0.0,0.0,0.0,-,-,2,50.0,22
1,LEG200320P00022500,2019-07-24 11:05AM EST,22.5,0.2,0.0,0.0,0.0,-,-,2,50.0,22
2,LEG200320P00025000,2020-02-10 12:32PM EST,25.0,0.05,0.0,0.1,0.0,-,1,0,92.58,22
3,LEG200320P00030000,2020-02-20 2:07PM EST,30.0,0.1,0.0,0.1,0.05,+100.00%,10,0,61.72,22
4,LEG200320P00035000,2020-02-24 9:57AM EST,35.0,0.05,0.1,0.2,0.0,-,20,0,47.27,22
5,LEG200320P00040000,2020-02-25 3:48PM EST,40.0,0.85,1.0,1.1,-0.1,-10.53%,26,0,38.04,22
6,LEG200320P00045000,2020-02-26 9:42AM EST,45.0,3.95,4.2,4.7,0.91,+29.93%,12,0,49.9,22
7,LEG200320P00050000,2020-02-21 11:09AM EST,50.0,8.4,8.7,10.1,0.0,-,9,0,66.11,22
8,LEG200320P00055000,2020-01-27 11:59AM EST,55.0,6.0,13.6,15.2,0.0,-,1,0,86.72,22
9,LEG200320P00060000,2020-01-27 3:51PM EST,60.0,10.6,18.5,20.3,0.0,-,1,0,104.3,22
0,LEG200417P00035000,2020-02-26 1:26PM EST,35.0,0.3,0.3,0.45,-0.05,-14.29%,1,0,40.77,50
1,LEG200417P00040000,2020-02-24 1:47PM EST,40.0,1.0,1.25,1.35,0.0,-,-,-,30.08,50
0,LEG200619P00025000,2020-02-19 10:03AM EST,25.0,0.05,0.0,0.15,0.0,-,-,0,50.78,113
1,LEG200619P00030000,2020-02-18 12:10AM EST,30.0,0.08,0.2,0.4,0.0,-,1,1,43.51,113
2,LEG200619P00035000,2020-02-19 10:03AM EST,35.0,0.65,0.85,1.0,0.0,-,23,0,37.09,113
3,LEG200619P00040000,2020-02-21 2:48PM EST,40.0,1.2,2.35,2.55,0.0,-,25,0,33.69,113
4,LEG200619P00045000,2020-02-18 11:27AM EST,45.0,5.0,5.2,5.6,0.0,-,3,0,33.94,113
5,LEG200619P00050000,2020-02-21 12:54PM EST,50.0,6.46,9.4,10.0,0.0,-,10,27,40.06,113
6,LEG200619P00055000,2020-02-05 3:19PM EST,55.0,9.2,13.8,15.1,0.0,-,3,0,52.32,113
0,LEG200918P00035000,2020-02-19 1:23PM EST,35.0,0.71,1.4,1.6,0.0,-,13,0,34.45,204
1,LEG200918P00040000,2020-02-11 2:57PM EST,40.0,2.27,3.2,3.5,0.0,-,2,0,33.11,204
0,LEG210115P00030000,2019-12-27 1:46PM EST,30.0,0.65,0.6,0.75,0.0,-,10,31,31.18,323
1,LEG210115P00035000,2020-02-24 10:13AM EST,35.0,1.9,2.25,2.9,0.0,-,6,0,38.0,323
2,LEG210115P00040000,2020-02-18 11:30AM EST,40.0,4.18,4.2,4.7,0.43,+11.47%,11,0,34.34,323
3,LEG210115P00045000,2020-01-30 11:52AM EST,45.0,3.7,7.2,7.6,0.0,-,3,0,33.56,323
4,LEG210115P00050000,2020-02-12 10:03AM EST,50.0,7.3,10.9,11.4,0.0,-,10,618,34.62,323
5,LEG210115P00055000,2020-01-30 9:41AM EST,55.0,9.5,15.0,16.0,0.0,-,-,0,38.72,323
0,LEG220121P00022500,2020-02-11 3:46PM EST,22.5,0.6,0.5,1.45,0.0,-,17,20,43.26,694
1,LEG220121P00025000,2020-01-10 9:30AM EST,25.0,0.5,0.6,2.05,0.0,-,4,4,42.68,694
2,LEG220121P00030000,2020-02-10 3:23PM EST,30.0,1.65,2.2,3.3,0.0,-,1,0,39.55,694
3,LEG220121P00035000,2020-02-05 2:06PM EST,35.0,2.52,3.9,5.4,0.0,-,3,0,39.1,694
4,LEG220121P00040000,2020-02-05 1:19PM EST,40.0,4.0,6.2,8.0,0.0,-,1,0,38.64,694
5,LEG220121P00045000,2020-01-14 2:32PM EST,45.0,5.2,6.9,7.4,0.0,-,3,7,22.05,694
6,LEG220121P00050000,2020-02-05 3:20PM EST,50.0,9.2,12.1,14.7,0.0,-,1,0,38.79,694
7,LEG220121P00070000,2020-01-27 12:12AM EST,70.0,21.4,28.1,32.0,0.0,-,-,0,42.76,694
