,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LEN200228P00051000,2020-01-13 1:09PM EST,51.0,0.14,0.00,0.0,0.0,-,-,4,50.0,1
1,LEN200228P00052000,2020-02-13 4:46PM EST,52.0,0.03,-,0.34,0.0,-,-,0,178.91,1
2,LEN200228P00054000,2020-01-13 12:49PM EST,54.0,0.18,0.00,0.03,0.0,-,1,0,89.06,1
3,LEN200228P00055000,2020-01-15 11:46AM EST,55.0,0.22,0.00,0.09,0.0,-,-,33,95.31,1
4,LEN200228P00056000,2020-02-14 2:19PM EST,56.0,0.03,0.00,0.29,0.0,-,4,0,107.81,1
5,LEN200228P00056500,2020-01-15 3:54PM EST,56.5,0.27,0.00,0.07,0.0,-,-,1,79.69,1
6,LEN200228P00057000,2020-01-29 2:29PM EST,57.0,0.01,0.00,0.2,0.0,-,40,53,90.63,1
7,LEN200228P00057500,2020-01-24 3:14PM EST,57.5,0.14,0.00,0.03,0.0,-,1,0,62.5,1
8,LEN200228P00058000,2020-01-31 2:39PM EST,58.0,0.16,0.00,0.0,0.0,-,10,0,25.0,1
9,LEN200228P00058500,2020-01-16 10:25AM EST,58.5,0.61,0.00,0.12,0.0,-,2,2,69.14,1
10,LEN200228P00059000,2020-02-04 12:02PM EST,59.0,0.11,0.00,0.55,0.0,-,25,0,91.99,1
11,LEN200228P00059500,2020-01-29 11:53AM EST,59.5,0.2,0.00,0.59,0.0,-,-,0,88.09,1
12,LEN200228P00060000,2020-01-23 3:50PM EST,60.0,0.25,0.00,0.06,0.0,-,2,0,55.86,1
13,LEN200228P00061000,2020-02-05 11:33AM EST,61.0,0.1,0.05,0.11,-0.1,-50.00%,20,0,50.0,1
14,LEN200228P00062000,2020-02-26 1:45PM EST,62.0,0.12,0.08,0.15,-0.37,-75.51%,1,0,47.85,1
15,LEN200228P00062500,2020-02-25 2:40PM EST,62.5,0.21,0.12,0.19,0.0,-,1,0,45.7,1
16,LEN200228P00063000,2020-02-26 10:14AM EST,63.0,0.21,0.16,0.25,0.07,+50.00%,39,0,44.14,1
17,LEN200228P00063500,2020-02-10 11:58AM EST,63.5,0.17,0.24,0.34,0.0,-,2,0,43.16,1
18,LEN200228P00064000,2020-02-25 3:35PM EST,64.0,0.4,0.32,0.43,0.05,+14.29%,40,0,40.92,1
19,LEN200228P00064500,2020-02-07 3:13PM EST,64.5,0.33,0.44,0.58,0.0,-,3,0,40.23,1
