,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LH200320C00135000,2020-02-11 2:27PM EST,135.0,51.9,46.50,50.3,0.0,-,-,0,94.75,22
1,LH200320C00145000,2020-02-12 9:40AM EST,145.0,41.8,36.60,40.3,0.0,-,-,0,77.51,22
2,LH200320C00155000,2020-02-21 11:10AM EST,155.0,34.3,27.20,31.0,0.0,-,-,0,67.72,22
3,LH200320C00160000,2020-01-31 11:29AM EST,160.0,16.9,22.40,24.3,0.0,-,-,5,41.77,22
4,LH200320C00170000,2020-02-12 10:38AM EST,170.0,18.7,15.00,15.6,0.0,-,1,0,38.28,22
5,LH200320C00175000,2020-02-13 9:45AM EST,175.0,18.3,10.70,11.4,0.0,-,1,5,34.47,22
6,LH200320C00180000,2020-02-20 10:39AM EST,180.0,12.2,6.50,7.0,0.0,-,2,0,27.49,22
7,LH200320C00185000,2020-02-25 10:37AM EST,185.0,5.9,4.00,4.4,-0.1,-1.67%,5,84,27.34,22
8,LH200320C00190000,2020-02-26 9:51AM EST,190.0,3.67,1.95,2.2,1.08,+41.70%,5,0,25.07,22
9,LH200320C00195000,2020-02-26 1:44PM EST,195.0,0.83,0.85,1.0,-0.36,-30.25%,10,78,24.17,22
10,LH200320C00200000,2020-02-26 10:15AM EST,200.0,0.65,0.25,0.4,0.13,+25.00%,25,0,23.63,22
11,LH200320C00210000,2020-02-14 11:33AM EST,210.0,0.4,0.00,0.2,0.0,-,13,0,29.05,22
12,LH200320C00220000,2020-02-18 12:11AM EST,220.0,0.1,0.00,0.05,0.0,-,-,0,30.27,22
13,LH200320C00230000,2020-02-19 5:28PM EST,230.0,0.05,-,0.1,0.0,-,-,0,39.94,22
0,LH200515C00125000,2020-01-08 10:52AM EST,125.0,47.8,56.2,60.5,0.0,-,1,1,63.5,78
2,LH200515C00140000,2020-02-21 10:15AM EST,140.0,49.63,42.1,46.1,0.0,-,40,0,52.39,78
3,LH200515C00145000,2020-02-21 10:15AM EST,145.0,44.9,39.3,40.0,0.0,-,40,40,40.38,78
5,LH200515C00160000,2020-01-30 12:55PM EST,160.0,19.8,25.5,26.2,0.0,-,-,0,33.22,78
6,LH200515C00165000,2020-02-04 12:55PM EST,165.0,21.5,21.5,22.3,0.0,-,2,0,32.79,78
7,LH200515C00170000,2020-02-25 2:33PM EST,170.0,17.5,17.3,17.9,0.0,-,1,0,29.59,78
8,LH200515C00175000,2020-02-21 10:09AM EST,175.0,14.4,13.7,14.3,0.0,-,2,0,28.41,78
9,LH200515C00180000,2020-02-25 3:29PM EST,180.0,11.5,10.5,11.1,0.0,-,1,0,27.39,78
10,LH200515C00185000,2020-02-21 2:43PM EST,185.0,9.85,8.0,8.5,0.0,-,1,0,26.95,78
11,LH200515C00190000,2020-02-21 2:43PM EST,190.0,8.4,5.6,6.0,0.0,-,2,0,25.55,78
12,LH200515C00195000,2020-02-26 10:49AM EST,195.0,5.5,3.9,4.2,1.0,+22.22%,1,0,24.93,78
13,LH200515C00200000,2020-02-25 1:28PM EST,200.0,2.82,2.6,3.0,0.0,-,3,0,25.03,78
14,LH200515C00210000,2020-02-25 12:03PM EST,210.0,1.13,1.0,1.2,0.0,-,3,0,23.85,78
15,LH200515C00220000,2020-02-12 3:08PM EST,220.0,0.8,0.25,0.5,0.0,-,2,0,23.98,78
16,LH200515C00230000,2020-02-13 2:14PM EST,230.0,0.35,0.0,0.5,0.0,-,-,0,28.44,78
0,LH200821C00140000,2020-02-11 12:11PM EST,140.0,48.8,45.2,46.6,0.0,-,1,0,37.12,176
1,LH200821C00145000,2020-02-21 9:30AM EST,145.0,45.91,41.1,42.4,0.0,-,31,0,36.45,176
2,LH200821C00160000,2020-02-25 3:43PM EST,160.0,29.86,27.8,29.3,0.0,-,85,0,30.87,176
3,LH200821C00170000,2020-02-18 1:45PM EST,170.0,25.33,20.3,21.4,0.0,-,1,0,27.78,176
4,LH200821C00175000,2020-02-24 3:41PM EST,175.0,20.35,17.0,18.0,0.0,-,5,0,26.81,176
5,LH200821C00180000,2020-02-18 9:40AM EST,180.0,21.5,14.2,15.2,0.0,-,1,0,26.54,176
6,LH200821C00185000,2020-02-13 1:50PM EST,185.0,18.13,11.7,12.7,0.0,-,321,0,26.29,176
7,LH200821C00190000,2020-02-18 9:41AM EST,190.0,11.49,9.1,10.0,0.0,-,1,0,25.07,176
8,LH200821C00195000,2020-02-13 1:50PM EST,195.0,9.45,7.3,7.7,0.15,+1.61%,1,0,24.04,176
9,LH200821C00200000,2020-02-13 12:51PM EST,200.0,9.6,5.6,6.0,0.0,-,1,0,23.61,176
10,LH200821C00210000,2020-02-19 3:39PM EST,210.0,4.32,3.1,3.5,0.0,-,2,0,22.98,176
11,LH200821C00220000,2020-02-19 11:55AM EST,220.0,2.4,1.6,1.95,0.0,-,1,0,22.57,176
12,LH200821C00230000,2020-02-18 12:09PM EST,230.0,1.25,0.8,1.05,0.0,-,1,0,22.35,176
