,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LH200320P00135000,2020-02-05 1:09PM EST,135.0,0.1,0.0,0.1,0.0,-,4,0,53.91,22
1,LH200320P00140000,2020-01-27 6:58PM EST,140.0,0.31,0.0,0.25,0.0,-,-,0,55.37,22
2,LH200320P00145000,2020-02-18 12:37PM EST,145.0,0.05,0.0,0.3,0.0,-,1,0,50.83,22
3,LH200320P00155000,2020-02-18 2:59PM EST,155.0,0.08,0.1,0.3,0.0,-,1,0,38.48,22
4,LH200320P00160000,2020-02-03 10:12AM EST,160.0,1.1,0.35,0.6,0.0,-,-,0,37.87,22
5,LH200320P00165000,2020-02-24 3:55PM EST,165.0,0.38,0.55,1.0,0.0,-,1,0,35.96,22
6,LH200320P00170000,2020-02-20 3:50PM EST,170.0,0.35,1.0,1.2,0.0,-,2,0,30.37,22
7,LH200320P00175000,2020-02-26 11:07AM EST,175.0,1.35,1.7,2.0,-0.85,-38.64%,1,0,28.11,22
8,LH200320P00180000,2020-02-25 2:12PM EST,180.0,2.4,3.1,3.4,-1.06,-30.64%,1,0,26.49,22
9,LH200320P00185000,2020-02-25 10:41AM EST,185.0,3.6,5.3,5.7,0.0,-,12,0,25.84,22
10,LH200320P00190000,2020-02-25 2:43PM EST,190.0,8.8,8.2,8.7,0.0,-,24,0,24.59,22
11,LH200320P00195000,2020-02-19 10:00AM EST,195.0,5.9,12.1,12.6,0.0,-,15,19,24.35,22
0,LH200515P00105000,2020-01-08 3:32PM EST,105.0,0.2,0.0,0.2,0.0,-,-,1,50.49,78
1,LH200515P00115000,2020-01-03 3:46PM EST,115.0,0.55,0.0,0.4,0.0,-,54,64,52.66,78
2,LH200515P00125000,2019-12-27 3:27PM EST,125.0,0.87,0.1,0.55,0.0,-,10,0,47.07,78
3,LH200515P00130000,2019-11-18 9:30AM EST,130.0,1.4,1.1,1.6,0.0,-,10,449,52.2,78
4,LH200515P00135000,2019-11-11 1:15PM EST,135.0,2.35,1.8,2.3,0.0,-,124,297,53.17,78
5,LH200515P00140000,2020-02-12 12:32PM EST,140.0,0.4,0.35,0.8,0.0,-,1,0,38.01,78
6,LH200515P00145000,2020-01-16 1:17PM EST,145.0,1.1,0.05,0.7,0.0,-,2,51,32.98,78
7,LH200515P00150000,2020-02-25 9:40AM EST,150.0,0.62,0.9,1.25,0.0,-,1,0,33.68,78
8,LH200515P00155000,2020-01-27 3:18PM EST,155.0,2.4,1.25,1.5,0.0,-,1,0,31.08,78
9,LH200515P00160000,2020-02-25 11:25AM EST,160.0,1.45,1.75,2.0,0.0,-,1,0,29.46,78
10,LH200515P00165000,2020-02-26 1:01PM EST,165.0,2.39,2.55,2.8,1.09,+83.85%,8,74,28.42,78
11,LH200515P00170000,2020-02-18 10:10AM EST,170.0,1.8,3.2,3.8,0.0,-,3,0,27.17,78
12,LH200515P00175000,2020-02-25 2:18PM EST,175.0,5.0,4.7,5.2,0.0,-,1,0,26.24,78
13,LH200515P00180000,2020-02-24 10:52AM EST,180.0,4.97,6.4,7.0,0.0,-,10,18,25.37,78
14,LH200515P00190000,2020-02-25 2:47PM EST,190.0,12.09,11.6,12.2,0.0,-,1,0,24.42,78
0,LH200821P00125000,2020-02-24 10:56AM EST,125.0,0.25,0.45,0.85,0.0,-,-,15,34.42,176
1,LH200821P00130000,2020-01-17 1:26PM EST,130.0,1.25,0.0,0.65,0.0,-,1,4,29.76,176
2,LH200821P00140000,2020-01-10 1:26PM EST,140.0,2.05,0.0,0.0,0.0,-,5,10,6.25,176
3,LH200821P00145000,2020-01-02 12:40PM EST,145.0,4.55,2.65,3.3,0.0,-,-,1,34.1,176
4,LH200821P00150000,2020-01-10 3:50PM EST,150.0,3.25,1.1,1.35,0.0,-,2,3,23.06,176
5,LH200821P00155000,2020-02-21 1:17PM EST,155.0,2.0,2.8,3.1,0.0,-,5,7,26.6,176
6,LH200821P00160000,2020-01-09 3:47PM EST,160.0,5.9,4.0,4.3,0.0,-,78,79,26.69,176
7,LH200821P00165000,2020-02-21 10:56AM EST,165.0,3.37,4.5,5.2,0.0,-,1,0,25.35,176
8,LH200821P00170000,2020-01-10 11:46AM EST,170.0,8.52,3.3,3.6,0.0,-,2,27,17.73,176
9,LH200821P00175000,2020-02-13 10:58AM EST,175.0,4.7,7.6,8.1,0.0,-,-,19,23.75,176
10,LH200821P00180000,2020-02-24 10:53AM EST,180.0,7.87,9.6,10.2,0.0,-,1,0,23.41,176
11,LH200821P00185000,2020-02-25 2:47PM EST,185.0,12.19,11.9,12.5,0.0,-,1,0,22.82,176
12,LH200821P00190000,2020-02-25 2:09PM EST,190.0,14.7,14.6,15.2,0.0,-,1,0,22.36,176
13,LH200821P00195000,2020-02-26 9:45AM EST,195.0,15.05,17.2,17.9,3.2,+27.00%,1,35,21.23,176
