,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LIN200320C00180000,2020-02-12 10:02AM EST,180.0,25.65,22.5,24.8,0.0,-,2,0,44.86,22
1,LIN200320C00185000,2020-02-10 2:51PM EST,185.0,30.7,18.2,20.3,0.0,-,1,0,41.55,22
2,LIN200320C00190000,2020-02-26 10:14AM EST,190.0,16.9,14.0,15.0,0.19,+1.14%,1,11,31.81,22
3,LIN200320C00200000,2020-02-24 12:56PM EST,200.0,8.6,5.9,7.3,0.0,-,7,0,27.11,22
4,LIN200320C00210000,2020-02-26 12:48PM EST,210.0,2.55,1.95,2.55,0.75,+41.67%,47,0,25.03,22
5,LIN200320C00220000,2020-02-26 11:37AM EST,220.0,0.85,0.3,0.65,0.35,+70.00%,22,0,24.55,22
6,LIN200320C00230000,2020-02-26 11:37AM EST,230.0,0.25,0.0,0.15,0.08,+47.06%,2,373,25.29,22
7,LIN200320C00240000,2020-02-20 2:33PM EST,240.0,0.1,0.0,0.15,0.0,-,-,0,32.32,22
0,LIN200417C00150000,2020-01-17 9:54AM EST,150.0,64.4,72.7,74.4,0.0,-,-,1,160.47,50
1,LIN200417C00165000,2019-11-04 11:58AM EST,165.0,38.15,40.0,43.7,0.0,-,2,0,58.3,50
2,LIN200417C00170000,2019-11-26 1:12PM EST,170.0,37.25,41.7,45.8,0.0,-,-,2,84.45,50
3,LIN200417C00175000,2019-12-09 9:42AM EST,175.0,34.0,33.4,36.5,0.0,-,1,22,61.27,50
4,LIN200417C00180000,2019-10-22 12:39PM EST,180.0,19.7,26.6,28.5,0.0,-,1,53,48.62,50
5,LIN200417C00185000,2020-02-14 9:42AM EST,185.0,36.85,19.4,20.9,0.0,-,1,0,31.15,50
6,LIN200417C00190000,2020-01-02 3:47PM EST,190.0,24.01,15.4,17.7,0.0,-,5,0,32.98,50
7,LIN200417C00195000,2020-02-12 11:21AM EST,195.0,23.01,11.5,13.1,0.0,-,1,0,28.07,50
8,LIN200417C00200000,2020-02-20 2:14PM EST,200.0,9.6,8.4,9.6,-11.47,-54.44%,16,0,26.14,50
9,LIN200417C00210000,2020-02-26 1:13PM EST,210.0,4.4,4.0,4.9,-0.6,-12.00%,30,0,25.27,50
10,LIN200417C00220000,2020-02-26 1:39PM EST,220.0,1.55,1.45,1.75,0.0,-,49,659,22.85,50
11,LIN200417C00230000,2020-02-24 3:52PM EST,230.0,0.9,0.4,0.55,0.0,-,38,0,22.17,50
12,LIN200417C00240000,2020-02-18 11:31AM EST,240.0,0.63,0.05,0.3,0.0,-,48,0,24.66,50
13,LIN200417C00250000,2020-02-18 12:54PM EST,250.0,0.5,0.0,0.25,0.0,-,1,0,28.54,50
14,LIN200417C00260000,2020-02-18 12:54PM EST,260.0,0.15,0.0,0.2,0.0,-,1,1,31.79,50
0,LIN200717C00180000,2019-12-16 12:12AM EST,180.0,34.3,35.00,36.0,0.0,-,-,0,47.4,141
1,LIN200717C00190000,2019-12-30 2:43PM EST,190.0,26.91,19.10,20.6,0.0,-,-,0,26.49,141
3,LIN200717C00200000,2020-01-06 1:11PM EST,200.0,15.6,19.70,20.5,0.0,-,-,2,37.61,141
4,LIN200717C00210000,2020-02-26 12:58PM EST,210.0,8.7,8.30,8.7,0.9,+11.54%,34,137,22.92,141
5,LIN200717C00220000,2020-02-26 12:58PM EST,220.0,5.0,4.60,5.1,0.3,+6.38%,10,0,22.05,141
6,LIN200717C00230000,2020-02-25 1:11PM EST,230.0,2.65,2.65,2.8,0.0,-,67,392,21.5,141
7,LIN200717C00240000,2020-02-24 9:35AM EST,240.0,3.6,1.25,1.4,0.0,-,2,104,20.95,141
8,LIN200717C00250000,2020-02-24 9:35AM EST,250.0,1.65,0.45,0.7,0.0,-,5,213,20.86,141
9,LIN200717C00260000,2020-02-18 2:43PM EST,260.0,0.85,0.15,0.45,0.0,-,4,4,21.91,141
10,LIN200717C00270000,2020-02-24 10:59AM EST,270.0,0.1,0.00,0.25,-0.2,-66.67%,5,5,22.29,141
11,LIN200717C00290000,2020-02-24 9:48AM EST,290.0,0.1,-,0.15,0.0,-,1,0,25.0,141
0,LIN210115C00080000,2019-06-09 11:14PM EST,80.0,76.9,119.6,124.2,0.0,-,0,1,56.27,323
4,LIN210115C00120000,2019-06-24 11:12AM EST,120.0,84.87,81.6,86.4,0.0,-,1,0,44.53,323
5,LIN210115C00125000,2019-06-09 11:14PM EST,125.0,48.3,76.4,80.2,0.0,-,0,2,36.96,323
6,LIN210115C00130000,2019-06-09 11:14PM EST,130.0,50.6,72.2,75.4,0.0,-,21,21,35.34,323
9,LIN210115C00150000,2019-12-31 3:55PM EST,150.0,65.9,53.1,58.0,0.0,-,57,0,33.31,323
10,LIN210115C00155000,2019-06-09 11:14PM EST,155.0,28.6,51.0,54.6,0.0,-,10,15,34.34,323
12,LIN210115C00165000,2019-11-04 11:58AM EST,165.0,43.52,44.8,47.2,0.0,-,2,3,33.93,323
13,LIN210115C00170000,2020-02-25 3:51PM EST,170.0,38.7,37.6,40.0,0.0,-,570,0,27.19,323
14,LIN210115C00175000,2019-11-08 10:54AM EST,175.0,38.2,39.6,43.4,0.0,-,40,53,38.24,323
15,LIN210115C00180000,2020-02-06 1:02PM EST,180.0,42.0,30.2,33.0,0.0,-,4,0,26.79,323
16,LIN210115C00185000,2019-10-07 9:16AM EST,185.0,20.8,30.6,32.6,0.0,-,12,0,30.73,323
17,LIN210115C00190000,2020-02-05 1:52PM EST,190.0,33.45,23.7,25.5,0.0,-,1,0,24.62,323
