,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LKQ200320P00027500,2020-02-20 10:01AM EST,27.5,0.1,0.05,0.15,0.0,-,1,2,38.38,22
1,LKQ200320P00030000,2020-02-26 10:23AM EST,30.0,0.35,0.45,0.65,-0.2,-36.36%,12,32,35.11,22
2,LKQ200320P00032500,2020-02-24 2:01PM EST,32.5,1.68,1.65,2.0,0.38,+29.23%,1,0,34.77,22
3,LKQ200320P00035000,2020-02-25 3:06PM EST,35.0,2.95,3.9,4.3,0.0,-,3,20,47.75,22
0,LKQ200515P00025000,2020-01-13 9:35AM EST,25.0,0.85,0.1,0.35,0.0,-,2,11,41.16,78
1,LKQ200515P00027500,2020-01-10 3:54PM EST,27.5,0.3,0.3,0.0,0.0,-,1,57,6.25,78
2,LKQ200515P00030000,2020-02-24 12:30PM EST,30.0,0.85,1.2,1.3,0.0,-,40,82,31.2,78
3,LKQ200515P00032500,2020-02-20 11:15AM EST,32.5,1.45,2.45,2.65,0.0,-,20,0,30.96,78
4,LKQ200515P00035000,2020-02-24 10:35AM EST,35.0,3.3,4.2,4.4,0.0,-,10,0,28.66,78
0,LKQ200821P00027500,2020-02-06 3:09PM EST,27.5,1.05,1.0,1.15,0.0,-,6,0,31.25,176
1,LKQ200821P00030000,2020-02-06 3:03PM EST,30.0,1.2,1.8,2.0,0.0,-,1,0,29.35,176
2,LKQ200821P00032500,2020-02-25 10:13AM EST,32.5,2.5,3.0,3.3,0.0,-,16,20,28.39,176
0,LKQ210115P00012500,2019-06-19 2:16PM EST,12.5,0.3,0.0,2.2,0.0,-,-,3,88.82,323
1,LKQ210115P00015000,2019-06-07 10:07AM EST,15.0,0.35,0.3,0.9,0.0,-,2,2,61.18,323
2,LKQ210115P00017500,2019-06-07 10:07AM EST,17.5,0.65,0.25,0.75,0.0,-,1,0,53.81,323
3,LKQ210115P00020000,2019-08-30 12:03PM EST,20.0,1.1,0.4,3.2,0.0,-,4,43,61.13,323
4,LKQ210115P00022500,2019-10-21 2:59PM EST,22.5,0.8,0.4,0.6,0.0,-,4,58,32.35,323
5,LKQ210115P00025000,2020-02-24 10:13AM EST,25.0,0.95,0.95,1.15,0.0,-,3,198,31.89,323
6,LKQ210115P00027500,2020-02-24 10:13AM EST,27.5,1.4,1.6,1.9,0.0,-,3,155,30.86,323
7,LKQ210115P00030000,2020-02-25 1:21PM EST,30.0,2.2,2.5,2.75,0.0,-,1,106,28.37,323
8,LKQ210115P00032500,2020-02-21 10:45AM EST,32.5,2.85,3.7,4.0,0.0,-,2,85,27.04,323
9,LKQ210115P00035000,2020-01-06 9:55AM EST,35.0,3.4,4.2,4.4,0.0,-,18,64,14.26,323
10,LKQ210115P00037500,2020-02-24 12:57PM EST,37.5,6.3,7.1,7.4,0.0,-,-,3,24.88,323
11,LKQ210115P00045000,2019-06-09 11:00PM EST,45.0,17.2,16.1,21.0,0.0,-,0,0,72.62,323
