,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LMT200228C00380000,2020-02-25 1:10PM EST,380.0,29.4,20.0,25.5,0.0,-,4,0,57.72,1
1,LMT200228C00385000,2020-02-25 1:10PM EST,385.0,24.5,16.2,20.1,0.0,-,4,0,52.34,1
2,LMT200228C00387500,2020-02-25 3:54PM EST,387.5,17.0,14.7,19.1,3.13,+22.57%,1,1,58.57,1
3,LMT200228C00390000,2020-02-21 12:41PM EST,390.0,11.72,12.4,13.3,0.0,-,1,0,43.21,1
4,LMT200228C00395000,2020-02-25 2:42PM EST,395.0,8.8,13.3,14.0,0.0,-,-,-,71.4,1
5,LMT200228C00397500,2020-02-25 1:48PM EST,397.5,8.1,6.9,8.7,0.0,-,4,0,46.47,1
6,LMT200228C00400000,2020-02-26 9:34AM EST,400.0,6.2,5.0,5.5,0.9,+16.98%,6,19,33.81,1
7,LMT200228C00402500,2020-02-26 10:22AM EST,402.5,8.12,3.9,4.3,3.62,+80.44%,12,30,34.0,1
8,LMT200228C00405000,2020-02-26 12:22PM EST,405.0,3.5,2.6,3.0,0.5,+16.67%,55,40,32.04,1
9,LMT200228C00407500,2020-02-26 1:08PM EST,407.5,2.05,1.6,2.05,0.05,+2.50%,37,21,30.99,1
10,LMT200228C00410000,2020-02-26 1:08PM EST,410.0,1.51,1.2,1.5,-0.06,-3.82%,131,35,31.64,1
11,LMT200228C00412500,2020-02-26 1:33PM EST,412.5,0.67,0.75,0.95,-0.33,-33.00%,150,0,30.81,1
12,LMT200228C00415000,2020-02-26 1:33PM EST,415.0,0.42,0.35,0.45,-0.28,-40.00%,144,0,28.22,1
13,LMT200228C00417500,2020-02-26 1:30PM EST,417.5,0.28,0.25,0.35,-0.13,-31.71%,331,62,29.98,1
14,LMT200228C00420000,2020-02-26 10:12AM EST,420.0,0.26,0.1,0.2,-0.04,-13.33%,42,0,29.69,1
15,LMT200228C00422500,2020-02-26 11:17AM EST,422.5,0.12,0.05,0.2,-0.01,-7.69%,77,95,32.76,1
16,LMT200228C00425000,2020-02-26 11:45AM EST,425.0,0.15,0.0,0.15,0.0,-,16,221,33.99,1
17,LMT200228C00427500,2020-02-25 2:32PM EST,427.5,0.11,0.0,0.1,-0.05,-31.25%,9,0,34.47,1
18,LMT200228C00430000,2020-02-26 12:56PM EST,430.0,0.1,0.05,0.15,0.0,-,69,266,39.55,1
19,LMT200228C00432500,2020-02-26 10:28AM EST,432.5,0.1,0.05,0.15,-0.05,-33.33%,3,0,42.29,1
20,LMT200228C00435000,2020-02-26 11:37AM EST,435.0,0.05,0.05,0.1,-0.05,-50.00%,4,187,42.29,1
21,LMT200228C00437500,2020-02-26 12:29PM EST,437.5,0.05,0.05,0.1,-0.05,-50.00%,93,334,44.82,1
22,LMT200228C00440000,2020-02-26 12:25PM EST,440.0,0.05,0.0,0.1,-0.01,-16.67%,33,318,47.27,1
23,LMT200228C00442500,2020-02-25 11:58AM EST,442.5,0.1,0.0,0.15,0.0,-,3,98,52.83,1
24,LMT200228C00445000,2020-02-26 1:00PM EST,445.0,0.01,0.0,0.1,-0.04,-80.00%,12,188,52.15,1
25,LMT200228C00447500,2020-02-26 11:41AM EST,447.5,0.04,0.0,0.15,-0.09,-69.23%,10,0,52.54,1
26,LMT200228C00450000,2020-02-26 11:37AM EST,450.0,0.01,0.0,0.05,-0.04,-80.00%,2,114,52.15,1
27,LMT200228C00452500,2020-02-26 11:37AM EST,452.5,0.05,0.0,0.15,0.0,-,2,93,57.03,1
28,LMT200228C00455000,2020-02-25 11:06AM EST,455.0,0.05,0.0,0.05,0.0,-,3,64,52.34,1
29,LMT200228C00457500,2020-02-14 3:56PM EST,457.5,0.25,0.1,0.15,0.0,-,1,3,65.82,1
30,LMT200228C00460000,2020-02-14 11:59AM EST,460.0,0.1,0.0,0.05,0.0,-,1,0,56.25,1
31,LMT200228C00462500,2020-02-10 11:34AM EST,462.5,0.25,0.0,0.15,0.0,-,3,8,66.02,1
32,LMT200228C00465000,2020-02-12 12:42PM EST,465.0,0.05,0.0,0.05,0.0,-,3,17,60.16,1
33,LMT200228C00467500,2020-02-07 12:55PM EST,467.5,0.25,0.0,0.1,0.0,-,11,11,67.19,1
34,LMT200228C00470000,2020-02-13 9:30AM EST,470.0,0.1,0.0,0.15,0.0,-,2,0,72.46,1
35,LMT200228C00475000,2020-01-24 3:59PM EST,475.0,0.35,0.0,0.15,0.0,-,-,0,76.56,1
0,LMT200306C00380000,2020-02-26 11:22AM EST,380.0,30.0,23.10,24.2,4.0,+15.38%,6,5,40.17,8
1,LMT200306C00385000,2020-02-25 2:44PM EST,385.0,19.28,18.40,19.7,0.0,-,27,24,36.67,8
2,LMT200306C00390000,2020-02-25 2:43PM EST,390.0,15.3,14.90,16.7,0.0,-,18,6,38.9,8
