,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LUV200228C00049000,2020-02-25 3:50PM EST,49.0,1.85,1.7,1.8,0.0,-,-,-,110.16,1
1,LUV200228C00049500,2020-02-26 10:17AM EST,49.5,1.28,1.25,1.4,-0.47,-26.86%,1,-,98.05,1
2,LUV200228C00050000,2020-02-26 11:34AM EST,50.0,0.65,0.35,0.65,-0.65,-50.00%,262,0,59.18,1
3,LUV200228C00050500,2020-02-26 11:43AM EST,50.5,0.44,0.25,0.4,-0.61,-58.10%,78,0,55.86,1
4,LUV200228C00051000,2020-02-26 10:17AM EST,51.0,0.55,0.5,0.6,-0.31,-36.05%,11,-,80.18,1
5,LUV200228C00051500,2020-02-25 3:54PM EST,51.5,0.64,0.3,0.4,0.0,-,-,-,73.24,1
6,LUV200228C00052000,2020-02-26 1:15PM EST,52.0,0.07,0.0,0.15,-0.41,-85.42%,34,0,51.17,1
7,LUV200228C00052500,2020-02-26 12:43PM EST,52.5,0.02,0.0,0.1,-0.38,-95.00%,50,0,51.95,1
8,LUV200228C00053000,2020-02-26 10:18AM EST,53.0,0.14,0.0,0.1,-0.16,-53.33%,38,0,57.03,1
9,LUV200228C00053500,2020-02-26 11:43AM EST,53.5,0.05,0.0,0.1,0.0,-,26,59,61.72,1
10,LUV200228C00054000,2020-02-26 11:06AM EST,54.0,0.05,0.0,0.1,-0.05,-50.00%,32,0,66.41,1
11,LUV200228C00054500,2020-02-24 3:49PM EST,54.5,0.05,0.0,0.05,0.0,-,29,0,63.28,1
12,LUV200228C00055000,2020-02-25 11:53AM EST,55.0,0.05,0.0,0.15,0.0,-,85,148,81.64,1
13,LUV200228C00055500,2020-02-24 3:59PM EST,55.5,0.05,0.0,0.25,0.0,-,1,0,96.09,1
14,LUV200228C00056000,2020-02-26 12:24PM EST,56.0,0.03,0.0,0.05,0.01,+50.00%,26,167,75.78,1
15,LUV200228C00056500,2020-02-25 9:42AM EST,56.5,0.1,0.0,0.6,0.0,-,50,139,130.66,1
16,LUV200228C00057000,2020-02-25 3:33PM EST,57.0,0.28,0.0,0.1,0.15,+115.38%,2,0,92.97,1
17,LUV200228C00057500,2020-02-25 10:28AM EST,57.5,0.05,0.0,0.25,0.0,-,10,0,115.23,1
18,LUV200228C00058000,2020-02-24 3:36PM EST,58.0,0.05,0.0,0.35,0.0,-,12,0,128.71,1
19,LUV200228C00058500,2020-02-24 12:41PM EST,58.5,0.01,0.0,0.05,0.0,-,1,47,94.53,1
20,LUV200228C00059000,2020-02-21 10:25AM EST,59.0,0.03,0.0,0.05,0.0,-,4,286,98.44,1
21,LUV200228C00059500,2020-02-18 10:32AM EST,59.5,0.25,0.0,0.3,0.0,-,3,36,137.89,1
22,LUV200228C00060000,2020-02-24 9:46AM EST,60.0,0.12,0.0,0.05,0.0,-,1,85,105.47,1
23,LUV200228C00060500,2020-02-18 10:32AM EST,60.5,0.13,0.0,0.75,0.0,-,2,0,180.86,1
24,LUV200228C00061000,2020-02-19 11:40AM EST,61.0,0.05,0.0,0.05,0.0,-,4,0,112.5,1
0,LUV200306C00048000,2020-02-25 3:38PM EST,48.0,2.12,1.85,2.05,-0.68,-24.29%,5,0,51.17,8
1,LUV200306C00048500,2020-02-25 3:38PM EST,48.5,2.45,2.35,2.5,0.0,-,-,-,74.12,8
2,LUV200306C00049000,2020-02-26 1:32PM EST,49.0,1.4,1.30,1.45,-0.75,-34.88%,9,-,50.98,8
3,LUV200306C00049500,2020-02-26 12:38PM EST,49.5,1.35,1.05,1.4,-0.5,-27.03%,6,1,50.49,8
4,LUV200306C00050000,2020-02-26 11:46AM EST,50.0,1.03,0.85,1.1,-0.62,-37.58%,48,11,52.54,8
5,LUV200306C00050500,2020-02-26 9:36AM EST,50.5,1.2,1.20,1.25,-0.15,-11.11%,2,-,62.26,8
6,LUV200306C00051000,2020-02-26 11:38AM EST,51.0,0.93,0.50,0.6,-0.27,-22.50%,12,0,45.8,8
7,LUV200306C00051500,2020-02-26 1:32PM EST,51.5,0.44,0.35,0.5,-0.51,-53.68%,24,62,46.39,8
8,LUV200306C00052000,2020-02-24 3:47PM EST,52.0,0.85,0.25,0.4,0.0,-,9,0,46.29,8
9,LUV200306C00052500,2020-02-25 6:58PM EST,52.5,0.45,0.45,0.55,-0.95,-67.86%,1,-,54.69,8
10,LUV200306C00053000,2020-02-26 11:04AM EST,53.0,0.2,0.10,0.25,-0.33,-62.26%,31,69,46.29,8
11,LUV200306C00053500,2020-02-26 1:15PM EST,53.5,0.11,0.05,0.2,-0.34,-75.56%,2,57,46.48,8
12,LUV200306C00054000,2020-02-25 2:02PM EST,54.0,0.35,0.05,0.15,0.0,-,24,22,46.09,8
13,LUV200306C00054500,2020-02-25 12:11PM EST,54.5,0.35,0.00,0.15,0.0,-,8,49,49.02,8
14,LUV200306C00055000,2020-02-26 12:43PM EST,55.0,0.02,0.00,0.05,-0.18,-90.00%,60,57,41.41,8
15,LUV200306C00055500,2020-02-06 12:52PM EST,55.5,0.15,0.00,0.1,-2.7,-94.74%,2,40,50.2,8
16,LUV200306C00056000,2020-02-25 12:08PM EST,56.0,0.15,0.00,0.1,0.0,-,4,92,52.73,8
17,LUV200306C00056500,2020-02-26 11:05AM EST,56.5,0.05,0.00,0.1,-0.3,-85.71%,5,0,55.27,8
18,LUV200306C00057000,2020-02-24 2:20PM EST,57.0,0.23,0.00,0.1,0.0,-,115,0,50.78,8
19,LUV200306C00057500,2020-02-24 11:17AM EST,57.5,0.17,0.00,0.1,0.0,-,21,0,53.13,8
20,LUV200306C00058000,2020-02-26 11:30AM EST,58.0,0.15,0.00,0.1,0.05,+50.00%,5,133,55.47,8
21,LUV200306C00058500,2020-02-21 12:20PM EST,58.5,0.2,0.00,0.1,0.0,-,5,0,57.42,8
22,LUV200306C00059000,2020-02-19 11:38AM EST,59.0,0.02,0.00,0.1,0.0,-,10,0,59.77,8
23,LUV200306C00059500,2020-02-21 2:44PM EST,59.5,0.13,0.00,0.2,0.0,-,2,116,69.92,8
24,LUV200306C00060000,2020-02-25 9:58AM EST,60.0,0.05,0.00,0.2,0.0,-,4,226,72.07,8
25,LUV200306C00061000,2020-02-14 1:40PM EST,61.0,0.08,0.10,0.15,0.0,-,31,0,79.88,8
26,LUV200306C00062000,2020-02-18 12:04AM EST,62.0,0.04,0.05,0.1,0.0,-,3,0,76.95,8
27,LUV200306C00063000,2020-02-18 12:04AM EST,63.0,0.01,-,0.15,0.0,-,3,0,91.8,8
0,LUV200313C00050000,2020-02-26 9:50AM EST,50.0,1.25,1.05,1.25,-0.5,-28.57%,38,30,43.75,15
1,LUV200313C00050500,2020-02-25 3:56PM EST,50.5,1.5,1.45,1.65,0.0,-,-,-,55.57,15
2,LUV200313C00051000,2020-02-25 3:40PM EST,51.0,1.35,0.7,1.1,0.0,-,21,21,48.39,15
3,LUV200313C00051500,2020-02-25 3:56PM EST,51.5,1.1,0.55,0.8,0.0,-,18,18,44.14,15
4,LUV200313C00052000,2020-02-25 1:30PM EST,52.0,1.0,0.8,0.95,0.0,-,-,-,51.86,15
5,LUV200313C00052500,2020-02-25 1:21PM EST,52.5,0.93,0.3,0.65,0.0,-,10,0,46.53,15
6,LUV200313C00053000,2020-02-24 11:07AM EST,53.0,2.05,0.25,0.45,0.0,-,-,10,43.07,15
7,LUV200313C00054500,2020-02-25 3:29PM EST,54.5,0.4,0.15,0.35,0.0,-,7,14,47.36,15
8,LUV200313C00055000,2020-02-26 9:37AM EST,55.0,0.31,0.05,0.4,-1.34,-81.21%,-,0,52.0,15
9,LUV200313C00055500,2020-02-26 1:16PM EST,55.5,0.08,0.0,0.65,-2.92,-97.33%,2,25,51.27,15
10,LUV200313C00056000,2020-02-21 1:09PM EST,56.0,1.25,0.0,0.2,0.0,-,10,23,47.17,15
11,LUV200313C00056500,2020-02-06 11:01AM EST,56.5,2.05,0.05,0.55,0.0,-,-,11,54.79,15
12,LUV200313C00057000,2020-02-24 2:21PM EST,57.0,0.05,0.0,0.1,-0.1,-66.67%,1,0,44.14,15
13,LUV200313C00057500,2020-02-21 1:02PM EST,57.5,0.6,0.0,0.4,0.0,-,6,14,53.52,15
14,LUV200313C00058000,2020-02-20 1:05PM EST,58.0,0.7,0.0,0.1,0.0,-,8,258,48.05,15
15,LUV200313C00058500,2020-02-18 10:15AM EST,58.5,1.0,0.0,0.3,0.0,-,1,44,54.1,15
16,LUV200313C00059000,2020-02-21 12:24PM EST,59.0,0.05,0.0,0.15,0.0,-,5,11,56.06,15
17,LUV200313C00059500,2020-02-18 3:27PM EST,59.5,0.23,0.0,0.2,0.0,-,3,0,53.32,15
18,LUV200313C00060000,2020-02-14 12:39PM EST,60.0,0.71,0.0,0.2,0.0,-,1,0,55.08,15
19,LUV200313C00060500,2020-02-11 12:55PM EST,60.5,0.65,0.0,0.2,0.0,-,-,0,56.84,15
20,LUV200313C00061000,2020-02-24 9:32AM EST,61.0,0.12,0.0,0.15,0.0,-,3,11,55.66,15
21,LUV200313C00062000,2020-02-12 3:53PM EST,62.0,0.26,0.05,0.2,0.0,-,-,1,64.45,15
1,LUV200320C00037500,2020-01-06 2:05PM EST,37.5,16.7,19.50,20.2,0.0,-,-,5,318.26,22
2,LUV200320C00040000,2020-01-16 9:53AM EST,40.0,15.6,18.50,18.8,0.0,-,1,13,316.31,22
3,LUV200320C00042500,2020-02-25 2:42PM EST,42.5,8.2,6.20,6.9,0.0,-,11,13,61.13,22
4,LUV200320C00045000,2020-02-25 3:56PM EST,45.0,5.26,4.40,4.6,0.0,-,3,52,49.17,22
5,LUV200320C00047500,2020-02-25 3:56PM EST,47.5,3.5,2.60,2.8,0.1,+2.94%,5,0,44.53,22
6,LUV200320C00049000,2020-02-25 3:53PM EST,49.0,2.57,2.45,2.6,0.1,+4.05%,3,-,54.25,22
7,LUV200320C00049500,2020-02-25 2:59PM EST,49.5,2.75,2.25,2.4,0.0,-,-,-,54.59,22
8,LUV200320C00050000,2020-02-26 1:32PM EST,50.0,1.4,1.45,1.65,-0.5,-26.32%,78,1139,45.02,22
9,LUV200320C00050500,2020-02-26 9:52AM EST,50.5,1.6,1.20,1.45,-0.55,-25.58%,13,11,44.68,22
10,LUV200320C00051000,2020-02-26 1:26PM EST,51.0,1.05,1.00,1.1,-0.8,-43.24%,63,0,40.72,22
11,LUV200320C00051500,2020-02-26 1:32PM EST,51.5,0.85,0.90,1.1,-0.5,-37.04%,167,12,43.95,22
12,LUV200320C00052000,2020-02-26 10:17AM EST,52.0,1.09,1.00,1.15,-0.06,-5.22%,2,-,48.19,22
13,LUV200320C00052500,2020-02-26 1:48PM EST,52.5,0.6,0.55,0.7,-0.35,-36.84%,490,0,40.43,22
14,LUV200320C00053000,2020-02-25 3:46PM EST,53.0,0.85,0.75,0.85,0.0,-,-,-,46.92,22
15,LUV200320C00054000,2020-02-24 3:50PM EST,54.0,1.8,0.50,0.55,0.0,-,-,-,43.99,22
16,LUV200320C00054500,2020-02-26 12:32PM EST,54.5,0.25,0.25,0.35,-0.25,-50.00%,5,28,39.84,22
17,LUV200320C00055000,2020-02-26 11:45AM EST,55.0,0.2,0.20,0.25,-0.2,-50.00%,21,0,38.09,22
18,LUV200320C00055500,2020-02-24 2:30PM EST,55.5,1.0,0.25,0.3,0.0,-,-,-,42.14,22
19,LUV200320C00056000,2020-02-26 12:48PM EST,56.0,0.1,0.10,0.25,-0.18,-64.29%,1,8,41.99,22
20,LUV200320C00056500,2020-02-25 9:45AM EST,56.5,0.2,0.10,0.2,-0.45,-69.23%,8,-,41.5,22
21,LUV200320C00057000,2020-02-25 3:25PM EST,57.0,0.2,0.10,0.15,0.0,-,-,-,40.53,22
22,LUV200320C00057500,2020-02-26 1:14PM EST,57.5,0.05,0.05,0.15,-0.09,-64.29%,978,3010,42.19,22
23,LUV200320C00058000,2020-02-25 9:58AM EST,58.0,0.1,0.05,0.1,-0.16,-61.54%,3,3,40.43,22
24,LUV200320C00058500,2020-02-25 9:40AM EST,58.5,0.25,-,0.1,0.0,-,-,-,41.99,22
25,LUV200320C00060000,2020-02-26 1:38PM EST,60.0,0.03,0.00,0.05,-0.02,-40.00%,237,3204,41.21,22
26,LUV200320C00060500,2020-02-25 11:06AM EST,60.5,0.05,-,0.1,0.0,-,-,-,47.85,22
27,LUV200320C00061000,2020-02-24 9:50AM EST,61.0,0.05,-,0.1,0.0,-,-,-,49.22,22
28,LUV200320C00062500,2020-02-25 2:33PM EST,62.5,0.04,0.00,0.05,0.0,-,41,458,47.66,22
29,LUV200320C00065000,2020-02-14 12:43PM EST,65.0,0.07,0.00,0.05,0.0,-,32,777,53.91,22
30,LUV200320C00067500,2020-02-14 11:00AM EST,67.5,0.03,0.00,0.05,0.0,-,9,0,54.3,22
31,LUV200320C00070000,2019-12-19 10:02AM EST,70.0,0.03,0.00,0.1,0.0,-,2,63,65.23,22
32,LUV200320C00075000,2019-12-02 3:31PM EST,75.0,0.05,0.00,0.05,0.0,-,-,0,68.75,22
0,LUV200327C00045000,2020-02-25 1:49PM EST,45.0,6.4,5.4,5.8,0.0,-,-,-,64.21,29
1,LUV200327C00051500,2020-02-25 2:42PM EST,51.5,1.75,1.3,1.55,0.0,-,-,-,47.29,29
2,LUV200327C00052500,2020-02-26 12:04PM EST,52.5,0.77,0.6,1.55,-1.83,-70.38%,25,80,52.98,29
3,LUV200327C00053000,2020-02-24 2:21PM EST,53.0,1.08,0.55,0.7,0.0,-,1,111,37.94,29
4,LUV200327C00053500,2020-02-25 1:42PM EST,53.5,0.9,0.4,1.05,0.0,-,25,247,48.0,29
5,LUV200327C00054000,2020-02-25 1:02PM EST,54.0,0.85,0.55,0.7,0.0,-,-,-,42.43,29
6,LUV200327C00054500,2020-02-25 9:57AM EST,54.5,1.5,0.4,0.6,0.0,-,-,-,42.09,29
