,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LW200320C00080000,2020-02-11 3:31PM EST,80.0,15.0,11.4,15.8,0.0,-,1,1,52.88,22
1,LW200320C00085000,2020-02-20 10:36AM EST,85.0,10.0,8.5,9.4,0.0,-,1,4,49.17,22
2,LW200320C00090000,2020-02-24 12:21PM EST,90.0,5.2,4.4,4.7,0.0,-,6,0,33.25,22
3,LW200320C00095000,2020-02-25 10:08AM EST,95.0,2.25,1.65,1.85,0.0,-,5,0,29.35,22
4,LW200320C00100000,2020-02-26 1:05PM EST,100.0,0.58,0.45,0.6,-0.12,-17.14%,4,470,29.18,22
5,LW200320C00105000,2020-02-25 2:25PM EST,105.0,0.17,0.1,0.2,0.0,-,17,0,30.91,22
0,LW200417C00060000,2020-02-20 3:56PM EST,60.0,34.9,31.1,35.8,0.0,-,6,0,77.78,50
1,LW200417C00065000,2020-01-29 9:58AM EST,65.0,26.19,26.9,30.8,0.0,-,45,0,74.46,50
2,LW200417C00070000,2019-12-18 12:54PM EST,70.0,16.7,19.2,23.2,0.0,-,-,1,48.93,50
3,LW200417C00075000,2020-02-07 1:45PM EST,75.0,20.0,16.6,21.0,0.0,-,1,423,76.49,50
4,LW200417C00080000,2020-02-06 11:58AM EST,80.0,13.96,11.6,15.9,0.0,-,1,94,61.08,50
5,LW200417C00085000,2020-02-25 3:57PM EST,85.0,10.12,8.9,10.7,0.0,-,2,0,45.04,50
6,LW200417C00090000,2020-02-25 9:43AM EST,90.0,7.3,5.8,6.1,0.0,-,5,286,33.23,50
7,LW200417C00095000,2020-02-26 11:52AM EST,95.0,3.7,3.1,3.4,-0.9,-19.57%,50,155,31.26,50
8,LW200417C00100000,2020-02-25 3:48PM EST,100.0,1.9,1.4,1.6,0.0,-,1,0,29.46,50
0,LW200717C00070000,2020-02-19 11:39AM EST,70.0,25.4,21.9,26.1,0.0,-,-,0,55.77,141
1,LW200717C00075000,2020-02-12 10:12AM EST,75.0,20.1,17.7,21.3,0.0,-,1,2,48.0,141
2,LW200717C00080000,2020-01-23 10:23AM EST,80.0,12.8,16.0,16.7,0.0,-,1,0,41.33,141
3,LW200717C00085000,2020-02-14 1:56PM EST,85.0,12.5,10.8,11.2,0.0,-,2,18,29.71,141
4,LW200717C00090000,2020-02-21 1:58PM EST,90.0,8.4,7.3,7.7,0.0,-,3,185,27.22,141
5,LW200717C00095000,2020-02-07 11:27AM EST,95.0,5.2,4.6,5.0,0.0,-,1,95,25.79,141
6,LW200717C00100000,2020-02-19 12:11PM EST,100.0,3.7,2.8,3.1,0.0,-,2,0,25.09,141
7,LW200717C00105000,2020-02-04 9:34AM EST,105.0,1.35,1.85,2.05,0.0,-,2,0,25.89,141
8,LW200717C00110000,2020-02-19 9:36AM EST,110.0,1.05,0.75,1.05,0.0,-,2,37,24.56,141
9,LW200717C00120000,2020-02-11 10:05AM EST,120.0,0.28,0.25,0.45,0.0,-,8,13,26.42,141
0,LW200821C00060000,2020-01-29 10:13AM EST,60.0,31.33,31.6,36.4,0.0,-,-,0,69.68,176
1,LW200821C00065000,2020-01-29 9:59AM EST,65.0,28.81,26.6,31.2,0.0,-,-,0,59.13,176
2,LW200821C00080000,2020-02-04 2:54PM EST,80.0,14.4,15.2,15.6,0.0,-,40,416,31.44,176
3,LW200821C00085000,2020-02-24 12:45PM EST,85.0,12.3,11.3,11.9,0.0,-,2,0,29.77,176
4,LW200821C00090000,2020-02-25 9:55AM EST,90.0,9.5,8.8,9.4,0.0,-,-,-,31.19,176
5,LW200821C00095000,2020-02-10 11:46AM EST,95.0,6.12,5.4,5.9,0.0,-,1,0,26.6,176
6,LW200821C00100000,2020-01-14 10:31AM EST,100.0,3.09,3.9,4.2,0.0,-,-,0,27.01,176
7,LW200821C00105000,2020-02-10 12:07AM EST,105.0,2.79,2.0,2.4,0.0,-,2,0,24.88,176
8,LW200821C00110000,2020-02-07 2:09PM EST,110.0,1.32,1.15,1.55,0.0,-,2,0,25.06,176
9,LW200821C00120000,2020-02-21 10:07AM EST,120.0,0.5,0.35,0.55,0.0,-,4,4,24.76,176
