,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,LYV200320P00060000,2020-02-26 11:05AM EST,60.0,2.49,3.1,3.5,0.04,+1.63%,218,0,51.22,22
1,LYV200320P00062500,2020-02-26 10:03AM EST,62.5,3.4,3.2,3.6,0.0,-,7,-,29.64,22
2,LYV200320P00065000,2020-02-26 1:17PM EST,65.0,5.51,6.1,6.6,1.01,+22.44%,708,0,51.29,22
3,LYV200320P00067500,2020-02-25 10:35AM EST,67.5,6.35,8.0,8.6,2.75,+76.39%,2,0,51.03,22
4,LYV200320P00070000,2020-02-26 1:42PM EST,70.0,10.1,10.2,10.6,2.3,+29.49%,34,0,44.53,22
5,LYV200320P00072500,2020-02-26 11:34AM EST,72.5,10.5,12.4,13.2,6.0,+133.33%,3,288,55.62,22
6,LYV200320P00075000,2020-02-24 2:31PM EST,75.0,12.03,14.4,16.0,4.93,+69.44%,1,40,73.0,22
7,LYV200320P00077500,2020-02-11 3:50PM EST,77.5,5.6,16.5,18.5,0.0,-,-,40,80.08,22
8,LYV200320P00080000,2020-02-24 2:14PM EST,80.0,16.4,18.8,20.4,4.7,+40.17%,7,31,55.47,22
0,LYV200417P00042500,2020-02-25 3:34PM EST,42.5,0.3,0.35,0.5,-0.12,-28.57%,3,11,63.48,50
1,LYV200417P00047500,2020-01-22 11:57AM EST,47.5,0.06,0.0,0.0,0.0,-,-,0,12.5,50
2,LYV200417P00050000,2020-02-26 12:56PM EST,50.0,0.97,1.05,1.3,-0.08,-7.62%,161,0,53.86,50
3,LYV200417P00052500,2020-02-24 1:10PM EST,52.5,1.4,1.5,1.8,0.91,+185.71%,200,0,51.32,50
4,LYV200417P00055000,2020-02-26 1:43PM EST,55.0,2.2,2.0,2.3,0.51,+30.18%,55,282,49.12,50
5,LYV200417P00057500,2020-02-26 12:56PM EST,57.5,2.66,2.8,3.2,0.25,+10.37%,37,227,47.63,50
6,LYV200417P00060000,2020-02-26 12:36PM EST,60.0,3.57,3.8,4.3,0.28,+8.51%,136,947,45.92,50
7,LYV200417P00062500,2020-02-26 11:53AM EST,62.5,4.2,5.2,5.7,0.2,+5.00%,40,292,45.0,50
8,LYV200417P00065000,2020-02-26 1:19PM EST,65.0,6.3,6.7,7.2,1.1,+21.15%,21,0,42.48,50
9,LYV200417P00067500,2020-02-25 3:45PM EST,67.5,6.88,8.5,9.1,0.06,+0.88%,40,618,42.21,50
10,LYV200417P00070000,2020-02-25 2:14PM EST,70.0,9.53,10.5,10.9,1.77,+22.81%,2,236,37.06,50
11,LYV200417P00072500,2020-02-26 9:49AM EST,72.5,11.63,12.6,13.1,3.03,+35.23%,28,445,35.06,50
12,LYV200417P00075000,2020-02-24 10:42AM EST,75.0,6.7,15.1,16.1,0.0,-,2,166,51.66,50
13,LYV200417P00077500,2020-02-18 12:06AM EST,77.5,5.7,17.1,18.1,0.0,-,-,0,43.75,50
15,LYV200417P00082500,2020-02-19 2:11PM EST,82.5,7.3,20.5,24.2,0.0,-,-,10,77.39,50
0,LYV200717P00042500,2020-02-26 1:44PM EST,42.5,0.95,0.9,1.05,0.65,+216.67%,4,20,49.27,141
1,LYV200717P00045000,2020-02-25 3:12PM EST,45.0,1.1,1.15,1.4,0.09,+8.91%,1,90,47.58,141
2,LYV200717P00047500,2020-02-26 12:35PM EST,47.5,1.4,1.5,1.7,0.0,-,2,0,44.48,141
3,LYV200717P00050000,2020-02-26 10:05AM EST,50.0,2.1,2.0,2.3,0.45,+27.27%,30,214,43.63,141
4,LYV200717P00055000,2020-02-24 2:32PM EST,55.0,2.8,2.6,3.0,0.0,-,-,-,35.12,141
5,LYV200717P00057500,2020-02-26 9:37AM EST,57.5,3.5,4.2,4.6,-0.1,-2.78%,50,197,38.7,141
6,LYV200717P00060000,2020-02-25 11:39AM EST,60.0,3.02,5.7,6.0,0.0,-,7,56,39.37,141
7,LYV200717P00062500,2020-02-26 12:52PM EST,62.5,6.38,6.9,7.3,3.58,+127.86%,26,0,38.22,141
8,LYV200717P00065000,2020-02-25 1:12PM EST,65.0,5.8,8.1,8.8,0.0,-,20,47,37.32,141
9,LYV200717P00067500,2020-02-26 9:56AM EST,67.5,8.4,9.9,10.4,0.6,+7.69%,1,113,36.01,141
10,LYV200717P00070000,2020-02-05 11:26AM EST,70.0,5.2,11.7,12.4,0.0,-,3,0,36.63,141
11,LYV200717P00072500,2020-02-14 1:44PM EST,72.5,4.7,13.7,14.4,0.0,-,2,3,36.39,141
12,LYV200717P00075000,2020-02-19 10:32AM EST,75.0,5.3,15.7,16.5,0.0,-,2,6,36.13,141
13,LYV200717P00077500,2020-02-21 3:29PM EST,77.5,7.55,17.8,18.8,0.0,-,7,7,37.18,141
0,LYV210115P00040000,2020-02-25 3:28PM EST,40.0,1.55,1.3,1.55,0.33,+27.05%,1,0,42.02,323
1,LYV210115P00042500,2019-11-18 12:02AM EST,42.5,1.25,0.4,0.95,0.0,-,-,2,31.76,323
2,LYV210115P00045000,2020-02-26 1:33PM EST,45.0,2.25,2.2,2.5,0.43,+23.63%,1,20,39.83,323
3,LYV210115P00047500,2019-12-16 12:39PM EST,47.5,1.75,0.6,0.85,0.0,-,-,0,22.99,323
4,LYV210115P00050000,2020-02-26 10:40AM EST,50.0,3.1,3.3,3.7,1.17,+60.62%,200,0,37.17,323
5,LYV210115P00055000,2020-02-26 1:09PM EST,55.0,4.95,5.0,5.5,2.4,+94.12%,60,0,35.67,323
6,LYV210115P00057500,2020-02-24 12:29PM EST,57.5,3.4,6.0,6.6,0.0,-,15,398,35.05,323
7,LYV210115P00060000,2020-02-25 2:24PM EST,60.0,6.5,7.2,7.9,0.4,+6.56%,1,0,34.78,323
8,LYV210115P00062500,2020-01-27 11:58AM EST,62.5,3.3,8.6,9.2,0.0,-,3,10,33.96,323
9,LYV210115P00065000,2020-02-07 9:58AM EST,65.0,8.79,10.0,10.7,4.59,+109.29%,140,194,33.52,323
10,LYV210115P00067500,2020-01-31 1:36PM EST,67.5,4.7,11.5,12.1,0.0,-,2,0,32.09,323
11,LYV210115P00070000,2020-02-24 11:46AM EST,70.0,8.2,13.3,14.0,0.0,-,12,21,32.46,323
0,LYV220121P00032500,2019-11-18 12:02AM EST,32.5,1.4,0.85,5.0,0.0,-,-,7,61.94,694
