,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,MAA200320C00090000,2020-01-13 3:04PM EST,90.0,43.01,52.60,56.7,0.0,-,-,0,127.3,22
2,MAA200320C00095000,2020-01-13 3:04PM EST,95.0,37.98,48.00,52.9,0.0,-,8,0,131.03,22
3,MAA200320C00105000,2020-01-23 12:54PM EST,105.0,31.0,41.20,45.1,0.0,-,7,0,141.46,22
4,MAA200320C00110000,2020-01-13 3:10PM EST,110.0,23.16,32.60,36.7,0.0,-,25,0,81.45,22
5,MAA200320C00115000,2020-02-04 2:33PM EST,115.0,25.0,27.50,30.3,0.0,-,5,0,56.54,22
6,MAA200320C00120000,2020-01-13 9:44AM EST,120.0,13.0,23.10,27.7,0.0,-,-,0,70.39,22
7,MAA200320C00125000,2020-02-19 10:06AM EST,125.0,20.0,18.70,20.1,0.0,-,14,0,55.76,22
8,MAA200320C00130000,2020-02-25 3:27PM EST,130.0,14.17,13.40,15.0,0.0,-,82,0,43.8,22
9,MAA200320C00135000,2020-02-25 3:27PM EST,135.0,9.6,9.20,9.9,0.0,-,77,546,31.82,22
10,MAA200320C00140000,2020-02-26 10:47AM EST,140.0,5.95,4.60,5.5,0.25,+4.39%,4,357,24.54,22
11,MAA200320C00145000,2020-02-24 3:41PM EST,145.0,3.8,2.00,2.4,0.0,-,7,0,21.31,22
12,MAA200320C00150000,2020-02-26 10:47AM EST,150.0,0.7,0.50,0.75,0.1,+16.67%,2,215,19.68,22
13,MAA200320C00155000,2020-02-21 12:21PM EST,155.0,0.6,0.05,0.2,0.0,-,1,0,19.68,22
14,MAA200320C00165000,2020-02-18 12:07AM EST,165.0,0.1,-,0.2,0.0,-,-,0,31.3,22
0,MAA200417C00140000,2020-02-25 3:51PM EST,140.0,6.69,5.8,6.5,0.0,-,1,1,21.63,50
1,MAA200417C00150000,2020-02-24 3:41PM EST,150.0,2.35,1.05,2.45,0.0,-,-,-,23.05,50
1,MAA200619C00120000,2020-02-20 10:57AM EST,120.0,26.3,23.1,25.7,0.0,-,350,0,33.77,113
2,MAA200619C00125000,2020-02-20 12:13PM EST,125.0,21.5,19.2,20.6,0.0,-,74,128,28.0,113
3,MAA200619C00130000,2020-02-20 12:32PM EST,130.0,17.3,15.0,16.2,0.0,-,646,169,25.31,113
4,MAA200619C00135000,2020-02-12 11:15AM EST,135.0,11.46,10.9,11.4,1.16,+11.26%,1,11,20.38,113
5,MAA200619C00140000,2020-02-26 9:39AM EST,140.0,8.0,7.5,8.1,-2.4,-23.08%,2,138,19.75,113
6,MAA200619C00145000,2020-02-20 12:50PM EST,145.0,6.06,4.7,5.3,0.0,-,3,0,18.82,113
7,MAA200619C00150000,2020-02-20 10:17AM EST,150.0,2.85,2.6,3.2,-0.15,-5.00%,1,0,18.06,113
8,MAA200619C00155000,2020-02-21 1:43PM EST,155.0,2.6,1.3,1.7,0.0,-,20,10,17.16,113
9,MAA200619C00160000,2020-02-18 12:06PM EST,160.0,0.7,0.55,0.85,0.0,-,10,10,16.72,113
0,MAA200918C00120000,2020-01-23 12:52PM EST,120.0,17.9,27.1,31.3,0.0,-,-,0,43.7,204
1,MAA200918C00130000,2020-02-12 11:00AM EST,130.0,14.7,14.9,17.2,0.0,-,12,0,21.91,204
2,MAA200918C00140000,2020-02-25 3:02PM EST,140.0,8.6,7.5,10.4,0.0,-,6,31,20.27,204
3,MAA200918C00145000,2020-02-20 11:11AM EST,145.0,8.2,5.8,7.4,0.0,-,10,0,18.95,204
4,MAA200918C00150000,2020-02-20 1:17PM EST,150.0,4.6,3.5,5.1,0.0,-,720,0,18.15,204
5,MAA200918C00155000,2020-02-19 1:47PM EST,155.0,3.1,2.1,3.3,0.0,-,1,0,17.38,204
6,MAA200918C00160000,2020-02-07 10:30AM EST,160.0,0.87,1.15,1.85,0.0,-,1,0,16.21,204
