,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MAS200320P00040000,2020-02-21 1:56PM EST,40.0,0.15,0.2,0.3,0.0,-,12,0,38.09,22
1,MAS200320P00041000,2020-02-18 12:08AM EST,41.0,0.45,0.3,0.45,0.1,+28.57%,1,0,36.91,22
2,MAS200320P00043000,2020-02-25 3:27PM EST,43.0,0.85,0.75,0.85,0.0,-,4,2338,32.28,22
3,MAS200320P00044000,2020-02-26 11:54AM EST,44.0,0.97,1.05,1.2,0.12,+14.12%,2,0,30.76,22
4,MAS200320P00045000,2020-02-25 10:38AM EST,45.0,1.2,1.55,1.7,0.0,-,10,2289,30.18,22
5,MAS200320P00046000,2020-02-21 3:59PM EST,46.0,1.6,2.15,2.4,0.0,-,11,129,31.64,22
6,MAS200320P00047000,2020-02-20 10:14AM EST,47.0,2.82,2.85,3.1,0.0,-,1,0,30.86,22
7,MAS200320P00048000,2020-02-24 2:08PM EST,48.0,3.32,3.6,3.9,0.0,-,200,403,30.42,22
8,MAS200320P00049000,2020-02-11 2:15PM EST,49.0,2.24,4.6,4.9,0.0,-,2,21,35.45,22
9,MAS200320P00050000,2020-02-13 9:58AM EST,50.0,3.7,5.4,5.9,0.0,-,10,30,40.23,22
10,MAS200320P00055000,2020-02-18 12:08AM EST,55.0,7.75,10.0,11.6,0.0,-,-,-,55.27,22
0,MAS200417P00024000,2019-10-13 11:09PM EST,24.0,0.16,-,0.1,0.0,-,-,0,83.79,50
1,MAS200417P00028000,2019-10-25 1:35PM EST,28.0,0.15,0.00,0.15,0.0,-,2,7,61.91,50
2,MAS200417P00033000,2020-01-09 1:01PM EST,33.0,0.1,0.45,0.6,0.0,-,-,3,65.43,50
3,MAS200417P00035000,2020-02-21 10:42AM EST,35.0,0.14,0.05,0.2,0.0,-,2,0,42.87,50
4,MAS200417P00036000,2019-12-30 1:27PM EST,36.0,0.25,0.05,0.2,0.0,-,-,0,38.82,50
5,MAS200417P00037000,2019-11-11 3:38PM EST,37.0,0.56,0.30,0.4,0.0,-,1,2,42.09,50
6,MAS200417P00038000,2020-02-25 3:55PM EST,38.0,0.35,0.25,0.35,0.0,-,45,4560,36.04,50
7,MAS200417P00039000,2020-02-24 11:02AM EST,39.0,0.4,0.35,0.45,0.0,-,1,5,34.38,50
8,MAS200417P00040000,2020-02-21 10:42AM EST,40.0,0.42,0.45,0.6,0.0,-,1,0,33.25,50
9,MAS200417P00041000,2020-02-26 9:30AM EST,41.0,0.35,0.65,0.8,-0.45,-56.25%,4,13914,32.25,50
10,MAS200417P00042000,2020-02-24 9:43AM EST,42.0,0.9,0.90,1.05,0.0,-,3,0,31.2,50
11,MAS200417P00043000,2020-02-21 3:59PM EST,43.0,0.85,1.20,1.35,0.0,-,10,99,29.98,50
12,MAS200417P00044000,2020-02-25 10:34AM EST,44.0,1.25,1.55,1.7,-0.1,-7.41%,4,0,28.47,50
13,MAS200417P00045000,2020-02-24 11:33AM EST,45.0,1.75,2.05,2.25,0.0,-,21,0,28.76,50
14,MAS200417P00046000,2020-02-24 3:49PM EST,46.0,2.12,2.60,2.8,0.0,-,10,0,27.83,50
15,MAS200417P00047000,2020-02-24 3:49PM EST,47.0,2.68,3.30,3.6,0.0,-,10,0,29.71,50
16,MAS200417P00048000,2020-02-24 3:23PM EST,48.0,3.4,4.00,4.3,0.0,-,2,60,28.88,50
17,MAS200417P00049000,2020-02-12 2:07PM EST,49.0,2.95,4.80,5.2,0.0,-,12,0,30.86,50
18,MAS200417P00050000,2020-02-10 3:32PM EST,50.0,2.45,5.60,6.2,0.0,-,63,82,34.47,50
0,MAS200717P00035000,2020-02-18 10:04AM EST,35.0,0.39,0.45,0.6,0.0,-,10,0,34.86,141
1,MAS200717P00037000,2020-02-24 10:45AM EST,37.0,0.76,0.7,0.85,0.0,-,3,95,32.79,141
2,MAS200717P00039000,2019-12-30 1:27PM EST,39.0,0.82,0.7,0.8,0.0,-,-,8,25.78,141
3,MAS200717P00040000,2020-02-25 2:01PM EST,40.0,1.3,1.25,1.45,0.0,-,10,280,30.23,141
4,MAS200717P00041000,2019-12-20 3:07PM EST,41.0,1.21,0.7,0.8,0.0,-,4,0,19.46,141
5,MAS200717P00043000,2020-02-10 9:53AM EST,43.0,1.1,2.25,2.45,0.0,-,11,0,28.46,141
6,MAS200717P00044000,2020-02-24 1:13PM EST,44.0,2.57,2.6,2.8,0.0,-,5,13,27.19,141
7,MAS200717P00045000,2020-02-25 3:03PM EST,45.0,3.17,3.1,3.4,0.0,-,1,20,27.74,141
8,MAS200717P00046000,2019-12-09 12:01AM EST,46.0,3.5,2.45,2.65,0.0,-,-,0,15.38,141
9,MAS200717P00050000,2020-01-13 12:08AM EST,50.0,5.0,5.3,5.7,0.0,-,-,1,12.45,141
10,MAS200717P00055000,2020-02-24 11:01AM EST,55.0,10.88,10.7,11.1,0.0,-,-,7,28.66,141
0,MAS210115P00018000,2019-06-04 12:52PM EST,18.0,0.4,0.1,0.65,0.0,-,3,23,60.35,323
1,MAS210115P00020000,2020-02-07 11:24AM EST,20.0,0.1,0.0,0.25,0.0,-,1,0,49.71,323
2,MAS210115P00023000,2019-12-27 2:43PM EST,23.0,0.15,0.05,0.25,0.0,-,10,0,41.94,323
3,MAS210115P00025000,2019-12-03 12:49PM EST,25.0,0.5,0.1,0.55,0.0,-,0,0,44.68,323
4,MAS210115P00028000,2019-06-18 12:49PM EST,28.0,1.75,1.3,1.7,0.0,-,2,0,50.98,323
5,MAS210115P00030000,2020-02-12 1:14PM EST,30.0,0.45,0.55,0.8,0.0,-,3,122,36.62,323
6,MAS210115P00033000,2020-02-24 10:05AM EST,33.0,1.0,0.95,1.15,0.0,-,2,36,33.81,323
7,MAS210115P00035000,2020-02-24 10:06AM EST,35.0,1.3,1.25,1.45,0.0,-,2,112,31.98,323
8,MAS210115P00037000,2020-02-24 10:07AM EST,37.0,1.75,1.65,1.9,0.0,-,3,164,30.9,323
9,MAS210115P00040000,2020-02-24 2:27PM EST,40.0,2.3,2.5,2.75,0.0,-,4,678,29.21,323
10,MAS210115P00042000,2020-02-24 10:07AM EST,42.0,3.2,3.2,3.5,0.0,-,2,0,28.39,323
11,MAS210115P00045000,2020-02-26 12:23PM EST,45.0,4.5,4.6,4.9,0.4,+9.76%,1,92,27.39,323
12,MAS210115P00047000,2020-02-03 3:25PM EST,47.0,3.9,5.7,5.9,0.0,-,5,78,26.14,323
13,MAS210115P00050000,2020-01-10 12:29PM EST,50.0,6.05,6.5,7.0,0.0,-,61,64,19.85,323
0,MAS220121P00023000,2019-10-30 1:17PM EST,23.0,0.8,0.5,1.35,0.0,-,10,10,44.14,694
1,MAS220121P00025000,2019-12-26 3:49PM EST,25.0,0.8,0.5,0.8,0.0,-,-,0,33.77,694
2,MAS220121P00028000,2020-01-14 1:08PM EST,28.0,1.0,0.95,1.2,0.0,-,-,2,32.23,694
3,MAS220121P00030000,2019-12-20 3:28PM EST,30.0,1.5,1.0,1.3,0.0,-,2,2,29.41,694
4,MAS220121P00033000,2020-02-05 12:47PM EST,33.0,1.5,1.55,2.45,0.0,-,2,0,31.7,694
5,MAS220121P00035000,2020-01-09 10:56AM EST,35.0,2.2,1.85,2.15,0.0,-,2,5,26.1,694
6,MAS220121P00038000,2020-01-08 3:07PM EST,38.0,3.0,2.55,3.0,0.0,-,-,2,25.0,694
