,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MA200228C00250000,2020-02-07 10:21AM EST,250.0,79.26,48.55,52.0,0.0,-,3,6,146.19,1
1,MA200228C00255000,2020-01-28 12:37PM EST,255.0,66.33,43.75,47.1,0.0,-,2,2,136.38,1
2,MA200228C00260000,2020-02-04 9:38AM EST,260.0,47.15,38.65,42.75,-20.78,-30.59%,1,0,68.36,1
3,MA200228C00270000,2020-02-24 1:48PM EST,270.0,54.37,29.4,31.45,0.0,-,1,0,84.77,1
4,MA200228C00280000,2020-02-26 12:08PM EST,280.0,23.5,20.25,22.45,-0.23,-0.97%,9,0,59.96,1
5,MA200228C00282500,2020-02-25 3:48PM EST,282.5,22.6,17.75,19.1,0.0,-,3,0,59.25,1
6,MA200228C00285000,2020-02-25 1:58PM EST,285.0,18.75,15.85,16.9,0.0,-,25,0,58.2,1
7,MA200228C00287500,2020-02-26 10:24AM EST,287.5,19.35,19.3,19.7,0.6,+3.20%,2,-,110.82,1
8,MA200228C00290000,2020-02-26 1:29PM EST,290.0,14.11,11.3,11.65,-2.14,-13.17%,23,0,41.55,1
9,MA200228C00292500,2020-02-25 2:56PM EST,292.5,12.05,9.7,10.05,-2.35,-16.32%,3,0,46.12,1
10,MA200228C00295000,2020-02-26 10:33AM EST,295.0,14.05,8.5,8.9,2.8,+24.89%,16,0,50.29,1
11,MA200228C00297500,2020-02-26 1:49PM EST,297.5,6.78,5.95,6.15,-2.57,-27.49%,15,37,40.67,1
12,MA200228C00300000,2020-02-26 1:47PM EST,300.0,4.4,4.45,4.65,-3.4,-43.59%,92,59,39.77,1
13,MA200228C00302500,2020-02-26 1:50PM EST,302.5,3.25,3.35,3.5,-2.75,-45.83%,131,0,40.02,1
14,MA200228C00305000,2020-02-26 1:49PM EST,305.0,2.42,2.36,2.51,-2.33,-49.05%,378,35,39.67,1
15,MA200228C00307500,2020-02-26 1:39PM EST,307.5,1.25,1.44,1.59,-2.35,-65.28%,553,0,37.72,1
16,MA200228C00310000,2020-02-26 1:42PM EST,310.0,0.71,1.0,1.11,-2.09,-74.64%,707,87,38.45,1
17,MA200228C00312500,2020-02-26 12:35PM EST,312.5,0.79,0.57,0.68,-0.96,-54.86%,327,0,37.79,1
18,MA200228C00315000,2020-02-26 1:17PM EST,315.0,0.48,0.31,0.39,-0.76,-61.29%,284,0,37.06,1
19,MA200228C00317500,2020-02-26 1:38PM EST,317.5,0.2,0.21,0.28,-0.75,-78.95%,347,222,38.67,1
