,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MET200228C00044000,2020-02-25 3:30PM EST,44.0,3.6,2.84,3.15,0.0,-,1,1,53.91,1
1,MET200228C00045000,2020-01-31 3:15PM EST,45.0,4.6,2.09,2.14,0.0,-,15,0,38.48,1
2,MET200228C00046000,2020-01-31 3:15PM EST,46.0,1.78,1.26,1.31,0.0,-,1,0,38.09,1
3,MET200228C00046500,2020-02-25 3:08PM EST,46.5,1.74,1.5,1.55,0.0,-,-,-,72.27,1
4,MET200228C00047000,2020-02-26 12:15PM EST,47.0,0.63,0.59,0.63,-0.67,-51.54%,20,16,35.06,1
5,MET200228C00047500,2020-02-25 3:31PM EST,47.5,0.76,0.78,0.82,0.0,-,-,-,58.59,1
6,MET200228C00048000,2020-02-26 12:15PM EST,48.0,0.21,0.18,0.21,-0.38,-64.41%,29,-,32.42,1
7,MET200228C00048500,2020-02-25 3:25PM EST,48.5,0.11,0.08,0.09,-0.26,-70.27%,9,889,30.08,1
8,MET200228C00049000,2020-02-25 12:59PM EST,49.0,0.27,0.03,0.04,0.0,-,62,0,30.08,1
9,MET200228C00049500,2020-02-25 2:43PM EST,49.5,0.16,0.0,0.02,0.0,-,93,20,31.25,1
10,MET200228C00050000,2020-02-25 12:12PM EST,50.0,0.13,0.0,0.01,0.0,-,26,0,32.03,1
11,MET200228C00050500,2020-02-24 3:44PM EST,50.5,0.18,0.0,0.03,0.0,-,27,0,43.75,1
12,MET200228C00051000,2020-02-25 12:02PM EST,51.0,0.07,0.0,0.03,0.0,-,6,325,48.83,1
13,MET200228C00051500,2020-02-25 10:39AM EST,51.5,0.02,0.0,0.04,0.0,-,20,392,50.0,1
14,MET200228C00052000,2020-02-24 10:56AM EST,52.0,0.01,0.0,0.04,0.0,-,2,0,54.69,1
15,MET200228C00052500,2020-02-24 1:22PM EST,52.5,0.01,0.0,0.02,0.0,-,40,777,53.13,1
16,MET200228C00053000,2020-02-26 1:12PM EST,53.0,0.03,0.0,0.03,0.02,+200.00%,1,268,60.94,1
17,MET200228C00053500,2020-02-24 10:37AM EST,53.5,0.01,0.0,0.01,0.0,-,679,793,56.25,1
18,MET200228C00054000,2020-02-21 1:59PM EST,54.0,0.02,0.0,0.01,0.0,-,136,2515,59.38,1
19,MET200228C00054500,2020-02-14 10:53AM EST,54.5,0.04,0.01,0.07,0.0,-,5,0,84.38,1
20,MET200228C00055000,2020-02-21 1:46PM EST,55.0,0.02,0.0,0.02,0.0,-,2,70,71.88,1
21,MET200228C00055500,2020-02-12 11:33AM EST,55.5,0.05,0.0,0.07,0.0,-,1,0,90.63,1
22,MET200228C00057500,2020-01-15 3:26PM EST,57.5,0.08,0.06,0.11,0.0,-,1,4,123.44,1
23,MET200228C00058000,2020-02-18 12:04AM EST,58.0,0.06,0.0,0.04,0.0,-,-,0,101.56,1
0,MET200306C00044000,2020-01-30 2:54PM EST,44.0,6.15,3.2,3.3,0.0,-,-,0,39.55,8
1,MET200306C00046000,2020-01-30 3:09PM EST,46.0,4.3,1.66,1.7,0.0,-,-,14,35.35,8
2,MET200306C00048500,2020-02-26 1:12PM EST,48.5,0.42,0.38,0.4,-0.77,-64.71%,16,6,30.08,8
3,MET200306C00049000,2020-02-26 1:12PM EST,49.0,0.29,0.24,0.27,-0.39,-57.35%,17,39,29.49,8
4,MET200306C00049500,2020-02-26 1:12PM EST,49.5,0.17,0.15,0.17,-0.71,-80.68%,11,6,28.71,8
5,MET200306C00050000,2020-02-25 2:32PM EST,50.0,0.11,0.08,0.11,-0.19,-63.33%,17,54,28.61,8
6,MET200306C00050500,2020-02-26 11:28AM EST,50.5,0.11,0.04,0.07,-0.1,-47.62%,5,43,28.71,8
7,MET200306C00051000,2020-02-24 1:21PM EST,51.0,0.18,0.02,0.04,0.0,-,8,0,28.13,8
8,MET200306C00051500,2020-02-26 12:53PM EST,51.5,0.02,0.0,0.04,-0.18,-90.00%,5,258,30.86,8
9,MET200306C00052000,2020-02-26 11:28AM EST,52.0,0.04,0.0,0.06,-0.01,-20.00%,5,367,36.33,8
10,MET200306C00052500,2020-02-26 12:00PM EST,52.5,0.03,0.0,0.07,-0.02,-40.00%,1,36,40.23,8
11,MET200306C00053000,2020-02-24 12:25PM EST,53.0,0.05,0.0,0.05,0.0,-,1,77,40.23,8
12,MET200306C00053500,2020-02-24 9:43AM EST,53.5,0.04,0.0,0.12,0.0,-,5,26,51.17,8
13,MET200306C00054000,2020-02-24 1:38PM EST,54.0,0.02,0.0,0.1,0.0,-,2,29,51.76,8
14,MET200306C00054500,2020-02-20 1:20PM EST,54.5,0.12,0.0,0.08,0.0,-,36,163,52.15,8
15,MET200306C00055000,2020-02-13 3:58PM EST,55.0,0.16,0.0,0.08,0.0,-,4,217,54.69,8
16,MET200306C00056000,2020-02-11 11:10AM EST,56.0,0.14,0.0,0.08,0.0,-,-,50,53.13,8
0,MET200313C00047500,2020-02-24 12:42PM EST,47.5,2.26,0.96,1.05,0.0,-,4,0,30.86,15
1,MET200313C00048500,2020-02-24 12:41PM EST,48.5,1.58,0.54,0.61,0.0,-,7,12,29.0,15
2,MET200313C00049000,2020-02-25 12:02PM EST,49.0,0.99,0.36,0.45,0.0,-,7,0,28.32,15
3,MET200313C00049500,2020-02-26 1:16PM EST,49.5,0.33,0.27,0.32,-0.33,-50.00%,1,23,27.64,15
4,MET200313C00050000,2020-02-06 11:22AM EST,50.0,0.85,0.16,0.22,0.0,-,1,0,27.05,15
5,MET200313C00050500,2020-02-25 2:33PM EST,50.5,0.34,0.1,0.16,0.0,-,27,27,27.15,15
6,MET200313C00051000,2020-02-07 10:03AM EST,51.0,1.3,0.07,0.11,0.0,-,10,0,26.95,15
7,MET200313C00051500,2020-02-19 10:15AM EST,51.5,0.29,0.04,0.07,0.0,-,1,0,26.56,15
8,MET200313C00052000,2020-02-25 1:33PM EST,52.0,0.12,0.0,0.06,0.0,-,10,1450,27.93,15
9,MET200313C00052500,2020-02-24 3:15PM EST,52.5,0.12,0.02,0.05,0.0,-,43,53,28.91,15
10,MET200313C00053000,2020-02-24 1:21PM EST,53.0,0.09,0.0,0.08,0.0,-,23,0,33.79,15
11,MET200313C00053500,2020-02-25 2:14PM EST,53.5,0.04,0.0,0.24,0.0,-,13,43,46.48,15
12,MET200313C00054000,2020-02-25 3:30PM EST,54.0,0.05,0.0,0.21,0.0,-,5,55,47.17,15
13,MET200313C00054500,2020-02-20 12:48PM EST,54.5,0.18,0.0,0.18,0.0,-,1,0,47.66,15
14,MET200313C00055000,2020-02-12 10:29AM EST,55.0,0.38,0.0,0.16,0.0,-,23,0,48.44,15
15,MET200313C00055500,2020-02-19 3:24PM EST,55.5,0.05,0.0,0.14,0.0,-,5,5,49.12,15
16,MET200313C00057000,2020-02-05 2:49PM EST,57.0,0.11,0.0,0.13,0.0,-,-,10,54.3,15
0,MET200327C00047000,2020-02-25 2:48PM EST,47.0,2.19,1.42,1.66,0.0,-,5,2,29.81,29
1,MET200327C00049000,2020-02-25 9:47AM EST,49.0,1.37,0.6,0.72,0.0,-,1,1,26.76,29
2,MET200327C00049500,2020-02-26 10:44AM EST,49.5,0.76,0.47,0.57,-0.84,-52.50%,-,50,26.42,29
3,MET200327C00050000,2020-02-24 12:09PM EST,50.0,0.72,0.54,0.61,0.0,-,-,-,29.93,29
4,MET200327C00050500,2020-02-24 2:56PM EST,50.5,0.93,0.25,0.34,0.0,-,98,119,25.73,29
5,MET200327C00051000,2020-02-25 3:47PM EST,51.0,0.42,0.19,0.24,0.0,-,65,73,24.9,29
6,MET200327C00051500,2020-02-19 10:17AM EST,51.5,1.51,0.12,0.18,0.0,-,-,4,24.76,29
7,MET200327C00052000,2020-02-26 9:57AM EST,52.0,0.11,0.08,0.13,-0.27,-71.05%,24,0,24.51,29
8,MET200327C00052500,2020-02-21 1:58PM EST,52.5,0.09,0.06,0.1,-0.2,-68.97%,1,0,24.71,29
9,MET200327C00053000,2020-02-26 9:47AM EST,53.0,0.12,0.03,0.1,-0.05,-29.41%,1,755,26.37,29
10,MET200327C00053500,2020-02-21 1:40PM EST,53.5,0.46,0.0,0.4,0.0,-,10,0,39.99,29
11,MET200327C00054000,2020-02-21 1:40PM EST,54.0,0.1,0.0,0.25,0.0,-,2,32,36.62,29
12,MET200327C00054500,2020-02-24 10:33AM EST,54.5,0.06,0.0,0.29,0.0,-,3,0,39.89,29
13,MET200327C00055000,2020-02-25 3:18PM EST,55.0,0.05,0.0,0.08,0.0,-,54,134,31.06,29
14,MET200327C00055500,2020-02-18 3:14PM EST,55.5,0.16,0.0,0.22,0.0,-,2,0,40.43,29
15,MET200327C00056000,2020-02-12 10:21AM EST,56.0,0.33,0.0,0.19,0.0,-,-,11,40.63,29
16,MET200327C00056500,2020-02-11 11:43AM EST,56.5,0.21,0.0,0.16,0.0,-,-,2,40.53,29
17,MET200327C00057000,2020-02-18 3:14PM EST,57.0,0.05,0.0,0.15,0.0,-,-,1,41.41,29
0,MET200403C00049000,2020-02-26 1:14PM EST,49.0,0.88,0.74,0.86,-0.58,-39.73%,27,6,26.73,36
1,MET200403C00050000,2020-02-25 3:25PM EST,50.0,0.76,0.65,0.74,0.0,-,-,-,29.64,36
2,MET200403C00050500,2020-02-24 10:25AM EST,50.5,1.04,0.34,0.43,0.0,-,-,9,25.39,36
3,MET200403C00051000,2020-02-25 2:56PM EST,51.0,0.57,0.24,0.33,0.0,-,1,0,24.95,36
4,MET200403C00051500,2020-02-25 10:40AM EST,51.5,0.43,0.18,0.26,0.0,-,4,6,24.9,36
5,MET200403C00052000,2020-02-26 1:21PM EST,52.0,0.19,0.13,0.19,-0.15,-44.12%,2,19,24.41,36
6,MET200403C00052500,2020-02-20 2:41PM EST,52.5,0.37,0.09,0.14,0.0,-,6,48,24.12,36
7,MET200403C00053000,2020-02-21 12:33PM EST,53.0,0.7,0.06,0.11,0.0,-,1,0,24.32,36
8,MET200403C00053500,2020-02-26 1:13PM EST,53.5,0.08,0.04,0.1,-0.46,-85.19%,2,755,25.2,36
9,MET200403C00054000,2020-02-21 12:43PM EST,54.0,0.41,0.02,0.44,0.0,-,2,3,38.97,36
10,MET200403C00055000,2020-02-20 2:33PM EST,55.0,0.37,0.01,0.31,0.0,-,-,1,38.28,36
11,MET200403C00055500,2020-02-19 11:30AM EST,55.5,0.22,0.0,0.27,0.0,-,-,5,38.43,36
0,MET200417C00040000,2020-01-27 12:37PM EST,40.0,8.9,7.35,7.45,0.0,-,-,10,37.7,50
1,MET200417C00042500,2020-02-06 10:36AM EST,42.5,9.6,5.2,5.25,0.0,-,2,2,33.86,50
2,MET200417C00045000,2020-02-25 12:09PM EST,45.0,4.63,3.2,3.3,0.0,-,4,44,30.49,50
3,MET200417C00047500,2020-02-18 2:43PM EST,47.5,2.1,1.65,1.69,-0.95,-31.15%,2,0,26.71,50
4,MET200417C00050000,2020-02-26 1:18PM EST,50.0,0.71,0.66,0.7,-0.22,-23.66%,34,0,24.66,50
5,MET200417C00052500,2020-02-26 1:16PM EST,52.5,0.22,0.19,0.21,-0.13,-37.14%,672,0,22.9,50
6,MET200417C00055000,2020-02-26 11:44AM EST,55.0,0.06,0.04,0.07,-0.04,-40.00%,13,0,23.44,50
7,MET200417C00057500,2020-02-19 12:39PM EST,57.5,0.1,0.0,0.09,0.0,-,25,475,29.98,50
0,MET200515C00047500,2020-02-26 12:15PM EST,47.5,2.1,2.08,2.12,-0.35,-14.29%,10,1,26.44,78
1,MET200515C00050000,2020-02-26 1:50PM EST,50.0,1.01,1.0,1.03,-0.26,-20.47%,31,34,24.22,78
2,MET200515C00052500,2020-02-26 12:01PM EST,52.5,0.43,0.41,0.43,-0.09,-17.31%,8,16,22.95,78
3,MET200515C00055000,2020-02-25 3:36PM EST,55.0,0.15,0.14,0.16,-0.04,-21.05%,4,0,22.36,78
0,MET200619C00025000,2020-02-03 10:51AM EST,25.0,25.2,21.75,22.55,0.0,-,-,0,56.25,113
