,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MGM200228C00024500,2020-01-27 12:06AM EST,24.5,6.95,4.55,5.4,0.0,-,-,0,418.36,1
1,MGM200228C00025000,2020-02-18 10:31AM EST,25.0,6.95,1.64,1.91,0.0,-,10,10,76.76,1
2,MGM200228C00026000,2020-02-13 9:40AM EST,26.0,6.15,0.88,1.02,0.0,-,-,11,64.06,1
3,MGM200228C00026500,2020-02-25 2:19PM EST,26.5,2.0,0.55,0.67,0.0,-,3,4,58.79,1
4,MGM200228C00027500,2020-01-30 11:10PM EST,27.5,0.39,0.16,0.24,-0.67,-63.21%,113,0,54.88,1
5,MGM200228C00028000,2020-02-26 11:52AM EST,28.0,0.26,0.04,0.13,-0.41,-61.19%,48,97,51.17,1
6,MGM200228C00028500,2020-02-25 1:36PM EST,28.5,0.14,0.01,0.08,-0.41,-74.55%,13,0,53.13,1
7,MGM200228C00029000,2020-02-26 10:32AM EST,29.0,0.1,0.01,0.05,-0.23,-69.70%,217,124,57.81,1
8,MGM200228C00029500,2020-02-26 1:52PM EST,29.5,0.01,0.0,0.02,-0.09,-90.00%,87,392,56.25,1
9,MGM200228C00030000,2020-02-24 3:57PM EST,30.0,0.09,0.0,0.04,0.0,-,103,0,70.31,1
10,MGM200228C00030500,2020-02-24 3:40PM EST,30.5,0.03,0.0,0.07,0.0,-,22,0,85.94,1
11,MGM200228C00031000,2020-02-26 12:58PM EST,31.0,0.02,0.0,0.05,0.0,-,67,288,89.06,1
12,MGM200228C00031500,2020-02-25 11:29AM EST,31.5,0.04,0.0,0.05,0.0,-,3,52,96.09,1
13,MGM200228C00032000,2020-02-24 3:42PM EST,32.0,0.04,0.0,0.05,0.0,-,44,164,103.13,1
14,MGM200228C00032500,2020-02-25 3:15PM EST,32.5,0.01,0.0,0.04,0.0,-,11,0,106.25,1
15,MGM200228C00033000,2020-02-25 3:16PM EST,33.0,0.01,0.0,0.05,0.0,-,1,629,117.19,1
16,MGM200228C00033500,2020-02-21 10:20AM EST,33.5,0.04,0.0,0.05,0.0,-,5,52,125.0,1
17,MGM200228C00034000,2020-02-18 11:08AM EST,34.0,0.05,0.0,0.04,0.0,-,1,0,126.56,1
18,MGM200228C00034500,2020-02-13 2:24PM EST,34.5,0.07,0.0,0.05,0.0,-,16,45,137.5,1
19,MGM200228C00035000,2020-02-18 9:32AM EST,35.0,0.03,0.0,0.02,0.0,-,1,61,128.13,1
20,MGM200228C00035500,2020-02-12 3:56PM EST,35.5,0.35,0.0,0.04,0.0,-,20,0,145.31,1
21,MGM200228C00036000,2020-02-18 9:32AM EST,36.0,0.02,0.0,0.03,0.0,-,1,26,145.31,1
22,MGM200228C00036500,2020-02-12 3:24PM EST,36.5,0.16,0.0,0.02,0.0,-,-,0,143.75,1
23,MGM200228C00037000,2020-02-12 1:42PM EST,37.0,0.1,0.04,0.05,0.0,-,12,2,182.81,1
24,MGM200228C00037500,2020-02-18 12:05AM EST,37.5,0.05,0.0,0.02,0.0,-,-,0,153.13,1
0,MGM200306C00026500,2020-02-25 3:56PM EST,26.5,1.83,1.62,1.79,0.0,-,-,-,94.73,8
