,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MKC200320P00110000,2020-01-13 9:52AM EST,110.0,0.02,0.0,0.35,0.0,-,1,7,65.04,22
1,MKC200320P00115000,2019-10-03 8:37AM EST,115.0,0.42,0.1,0.45,0.0,-,14,41,62.11,22
2,MKC200320P00120000,2019-10-30 10:53AM EST,120.0,0.4,0.05,0.3,0.0,-,10,0,50.29,22
3,MKC200320P00125000,2019-10-10 2:59PM EST,125.0,0.8,0.55,0.75,0.0,-,5,0,56.1,22
4,MKC200320P00130000,2020-02-07 2:09PM EST,130.0,0.18,0.0,0.2,0.0,-,2,16,37.11,22
5,MKC200320P00135000,2020-01-27 1:21PM EST,135.0,0.05,0.05,0.3,0.0,-,1,40,32.76,22
6,MKC200320P00140000,2020-02-26 1:20PM EST,140.0,0.35,0.35,0.55,0.05,+16.67%,33,141,29.59,22
7,MKC200320P00145000,2020-02-26 12:18PM EST,145.0,0.85,0.9,1.25,0.4,+88.89%,13,0,28.53,22
8,MKC200320P00150000,2020-02-26 12:06PM EST,150.0,2.17,1.95,2.4,0.88,+68.22%,15,489,26.45,22
9,MKC200320P00155000,2020-02-26 1:32PM EST,155.0,3.72,3.8,4.4,1.1,+41.98%,107,1103,24.73,22
10,MKC200320P00160000,2020-02-26 1:14PM EST,160.0,6.43,6.6,7.3,1.74,+37.10%,78,0,22.22,22
11,MKC200320P00165000,2020-02-26 12:31PM EST,165.0,9.8,10.5,11.2,2.3,+30.67%,9,357,18.6,22
13,MKC200320P00175000,2020-02-26 1:12PM EST,175.0,19.61,19.0,21.9,10.01,+104.27%,5,0,41.16,22
14,MKC200320P00180000,2020-01-30 11:52AM EST,180.0,14.31,22.6,27.3,0.0,-,1,0,52.3,22
15,MKC200320P00185000,2020-02-25 12:29PM EST,185.0,24.81,27.0,32.4,0.0,-,3,0,59.64,22
0,MKC200417P00145000,2020-02-25 2:02PM EST,145.0,1.75,2.55,2.85,-0.1,-5.41%,1,10,28.37,50
1,MKC200417P00150000,2020-02-26 1:02PM EST,150.0,3.8,4.1,4.4,0.85,+28.81%,15,14,27.18,50
2,MKC200417P00155000,2020-02-26 9:54AM EST,155.0,5.0,4.6,5.0,0.8,+19.05%,1,-,19.4,50
3,MKC200417P00160000,2020-02-25 12:14PM EST,160.0,6.0,6.8,7.4,0.0,-,-,-,15.63,50
5,MKC200417P00170000,2020-02-24 2:41PM EST,170.0,11.65,15.9,16.9,0.0,-,-,1,23.44,50
0,MKC200619P00115000,2020-02-25 1:38PM EST,115.0,0.2,0.1,0.3,0.0,-,-,-,28.81,113
1,MKC200619P00120000,2019-12-27 2:17PM EST,120.0,0.55,0.05,0.45,0.0,-,2,0,27.3,113
