,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MKTX200320C00300000,2020-02-25 1:42PM EST,300.0,35.78,38.3,41.9,0.0,-,1,1,47.56,22
1,MKTX200320C00310000,2020-02-20 12:46PM EST,310.0,28.1,29.4,33.2,0.0,-,4,10,44.21,22
2,MKTX200320C00320000,2020-02-21 9:43AM EST,320.0,28.9,21.5,24.5,0.0,-,1,5,39.04,22
3,MKTX200320C00330000,2020-02-25 3:46PM EST,330.0,12.92,13.8,17.6,0.0,-,1,15,37.53,22
4,MKTX200320C00340000,2020-02-24 3:21PM EST,340.0,9.87,8.6,11.2,0.0,-,1,0,34.22,22
5,MKTX200320C00350000,2020-02-26 11:36AM EST,350.0,6.5,5.3,6.7,0.26,+4.17%,22,30,32.68,22
6,MKTX200320C00360000,2020-02-26 11:19AM EST,360.0,4.4,2.75,3.9,1.75,+66.04%,1,34,32.43,22
7,MKTX200320C00370000,2020-02-24 3:39PM EST,370.0,2.81,1.4,2.2,0.0,-,1,43,32.63,22
8,MKTX200320C00380000,2020-02-25 3:25PM EST,380.0,0.85,0.85,1.35,0.0,-,1,23,33.96,22
9,MKTX200320C00390000,2020-02-24 12:16PM EST,390.0,1.1,0.5,0.8,0.0,-,2,11,34.95,22
10,MKTX200320C00400000,2020-02-19 11:19AM EST,400.0,0.82,0.2,0.75,0.0,-,2,0,39.21,22
11,MKTX200320C00410000,2020-02-03 10:40AM EST,410.0,1.9,0.0,0.75,0.0,-,1,1,43.7,22
12,MKTX200320C00420000,2020-01-21 10:03AM EST,420.0,3.0,0.0,0.75,0.0,-,-,0,48.0,22
0,MKTX200417C00310000,2020-02-25 6:46PM EST,310.0,30.2,33.5,36.3,0.0,-,-,10,38.45,50
1,MKTX200417C00330000,2020-02-25 6:46PM EST,330.0,23.93,19.3,22.0,0.0,-,-,10,34.71,50
2,MKTX200417C00380000,2020-02-25 10:05AM EST,380.0,3.7,2.7,3.6,0.0,-,1,6,31.12,50
0,MKTX200515C00200000,2020-01-30 11:12PM EST,200.0,152.3,137.0,141.7,0.0,-,-,0,60.54,78
1,MKTX200515C00230000,2020-02-18 12:07AM EST,230.0,111.7,107.2,112.0,0.0,-,-,0,62.6,78
2,MKTX200515C00250000,2020-01-09 9:42AM EST,250.0,122.0,94.3,98.5,0.0,-,-,1,66.72,78
3,MKTX200515C00260000,2020-02-20 9:43AM EST,260.0,86.0,77.4,81.8,0.0,-,1,0,45.84,78
4,MKTX200515C00270000,2020-01-13 12:16PM EST,270.0,98.5,76.2,80.9,0.0,-,2,1,60.08,78
5,MKTX200515C00280000,2019-12-11 9:48AM EST,280.0,98.35,85.1,89.5,0.0,-,1,0,92.83,78
6,MKTX200515C00290000,2020-01-07 11:32AM EST,290.0,91.0,57.7,61.3,0.0,-,1,0,53.56,78
7,MKTX200515C00310000,2020-02-19 12:08PM EST,310.0,42.02,36.3,40.2,0.0,-,-,1,38.49,78
8,MKTX200515C00320000,2020-01-13 10:35AM EST,320.0,55.2,33.4,36.2,0.0,-,1,5,42.27,78
9,MKTX200515C00330000,2020-02-24 10:44AM EST,330.0,25.59,23.2,26.4,0.0,-,1,0,35.15,78
10,MKTX200515C00340000,2020-02-20 12:51PM EST,340.0,20.35,17.8,21.2,0.0,-,2,45,34.71,78
11,MKTX200515C00350000,2020-02-21 3:34PM EST,350.0,15.1,13.7,16.4,0.0,-,2,0,33.77,78
12,MKTX200515C00360000,2020-02-21 3:38PM EST,360.0,9.49,10.0,12.2,0.59,+6.63%,2,0,32.64,78
13,MKTX200515C00370000,2020-02-25 2:33PM EST,370.0,6.5,7.6,9.2,0.0,-,3,21,32.36,78
14,MKTX200515C00380000,2020-02-24 3:55PM EST,380.0,6.43,5.3,6.9,0.0,-,43,50,32.28,78
15,MKTX200515C00390000,2020-02-19 1:29PM EST,390.0,4.93,3.9,5.0,0.0,-,3,10,31.98,78
16,MKTX200515C00400000,2020-02-19 1:29PM EST,400.0,3.66,2.9,3.7,0.0,-,4,0,32.11,78
17,MKTX200515C00410000,2020-02-21 10:17AM EST,410.0,2.5,1.9,2.65,0.0,-,1,2,32.02,78
18,MKTX200515C00420000,2020-02-26 9:39AM EST,420.0,1.9,1.5,2.15,-0.3,-13.64%,1,3,33.02,78
19,MKTX200515C00430000,2019-11-18 12:02AM EST,430.0,14.1,9.6,10.6,0.0,-,-,20,56.74,78
20,MKTX200515C00440000,2020-02-13 11:43AM EST,440.0,1.28,0.95,1.4,0.0,-,2,2,34.69,78
21,MKTX200515C00450000,2020-02-18 10:46AM EST,450.0,1.4,0.3,2.1,0.0,-,2,6,40.29,78
22,MKTX200515C00460000,2019-12-03 3:11PM EST,460.0,13.94,4.7,5.3,0.0,-,1,0,52.81,78
23,MKTX200515C00500000,2020-02-12 11:34AM EST,500.0,0.45,0.0,0.75,0.0,-,-,1,42.33,78
0,MKTX200821C00300000,2020-02-20 9:32AM EST,300.0,53.5,49.8,53.0,0.0,-,1,9,33.77,176
1,MKTX200821C00330000,2020-02-21 3:44PM EST,330.0,32.71,29.9,33.7,0.0,-,1,0,31.51,176
2,MKTX200821C00340000,2020-02-19 12:08PM EST,340.0,23.0,25.6,28.9,0.0,-,2,0,31.46,176
3,MKTX200821C00350000,2020-02-19 3:15PM EST,350.0,23.6,20.8,23.0,0.0,-,6,12,29.67,176
4,MKTX200821C00360000,2020-02-25 3:41PM EST,360.0,15.53,17.4,19.2,0.0,-,2,23,29.56,176
5,MKTX200821C00370000,2020-02-19 12:39PM EST,370.0,16.3,13.9,15.4,0.0,-,6,0,28.88,176
6,MKTX200821C00380000,2020-02-25 3:26PM EST,380.0,9.8,10.6,12.3,0.0,-,3,0,28.42,176
7,MKTX200821C00390000,2020-01-03 9:33AM EST,390.0,30.7,16.3,19.6,0.0,-,5,6,39.84,176
8,MKTX200821C00400000,2020-02-25 3:41PM EST,400.0,6.4,7.1,8.4,0.0,-,2,10,28.8,176
9,MKTX200821C00410000,2020-02-05 10:21AM EST,410.0,6.9,5.6,7.3,0.0,-,1,0,29.56,176
10,MKTX200821C00420000,2020-02-12 12:17PM EST,420.0,4.8,4.3,6.0,0.0,-,1,5,29.69,176
11,MKTX200821C00440000,2020-02-19 1:10PM EST,440.0,3.76,2.25,4.1,0.0,-,5,13,30.09,176
12,MKTX200821C00450000,2020-02-19 1:47PM EST,450.0,2.7,2.25,3.2,0.0,-,1,0,29.86,176
13,MKTX200821C00460000,2020-01-28 10:28AM EST,460.0,5.7,1.2,2.65,0.0,-,-,0,30.09,176
14,MKTX200821C00470000,2020-02-13 9:30AM EST,470.0,1.8,1.7,2.05,0.0,-,10,0,29.88,176
15,MKTX200821C00490000,2020-02-03 10:16AM EST,490.0,3.03,1.25,1.55,0.0,-,201,107,30.93,176
