,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MLM200320P00220000,2020-02-26 9:39AM EST,220.0,1.92,2.45,2.75,0.94,+95.92%,7,0,33.22,22
1,MLM200320P00230000,2020-02-19 10:04AM EST,230.0,3.9,5.5,5.9,1.45,+59.18%,4,0,31.81,22
2,MLM200320P00240000,2020-02-25 3:25PM EST,240.0,6.3,9.7,11.5,-1.3,-17.11%,1,0,32.44,22
3,MLM200320P00250000,2020-02-24 2:58PM EST,250.0,12.9,17.2,17.9,0.0,-,3,0,27.05,22
4,MLM200320P00260000,2020-02-21 12:13PM EST,260.0,21.0,25.8,28.2,0.0,-,16,0,38.75,22
5,MLM200320P00270000,2020-02-18 3:40PM EST,270.0,15.0,34.3,38.2,0.0,-,2,0,47.51,22
6,MLM200320P00280000,2020-02-13 10:59AM EST,280.0,18.8,44.2,48.4,0.0,-,-,0,57.2,22
7,MLM200320P00290000,2020-02-20 2:00PM EST,290.0,32.95,54.1,58.8,0.0,-,1,0,68.14,22
0,MLM200417P00140000,2019-12-26 9:30AM EST,140.0,0.15,0.0,0.35,0.0,-,-,0,60.35,50
1,MLM200417P00150000,2020-02-19 3:49PM EST,150.0,0.05,0.0,0.25,0.0,-,10,0,50.68,50
2,MLM200417P00160000,2019-08-27 8:53AM EST,160.0,1.25,0.0,1.65,0.0,-,-,10,59.55,50
3,MLM200417P00165000,2020-02-20 9:54AM EST,165.0,0.05,0.0,0.5,0.0,-,5,0,50.44,50
4,MLM200417P00170000,2019-12-06 10:53AM EST,170.0,0.4,0.55,0.95,0.0,-,10,0,50.49,50
5,MLM200417P00175000,2019-09-15 11:05PM EST,175.0,1.95,0.7,1.4,0.0,-,-,5,50.07,50
6,MLM200417P00180000,2019-11-07 11:32AM EST,180.0,0.75,0.2,0.85,0.0,-,5,0,43.99,50
7,MLM200417P00190000,2019-12-06 10:58AM EST,190.0,0.5,0.0,0.65,0.0,-,1,0,34.4,50
8,MLM200417P00195000,2020-02-03 12:18PM EST,195.0,0.5,0.7,1.05,0.0,-,10,0,34.5,50
