,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MMC200320P00100000,2020-02-14 9:30AM EST,100.0,0.15,0.35,0.5,0.0,-,1,2,35.89,22
1,MMC200320P00105000,2020-02-24 11:13AM EST,105.0,0.45,0.7,0.85,0.0,-,1,6,29.18,22
2,MMC200320P00110000,2020-02-25 1:09PM EST,110.0,1.4,1.7,2.0,0.0,-,3,36,25.88,22
3,MMC200320P00115000,2020-02-21 2:53PM EST,115.0,2.6,3.9,4.5,0.0,-,1,0,24.37,22
4,MMC200320P00120000,2020-02-20 3:15PM EST,120.0,3.9,7.8,8.3,0.0,-,1,0,22.95,22
0,MMC200417P00075000,2020-02-19 9:30AM EST,75.0,0.05,0.05,0.8,0.0,-,6,11,63.57,50
1,MMC200417P00080000,2019-10-23 11:28AM EST,80.0,1.03,0.35,1.1,0.0,-,6,16,61.77,50
2,MMC200417P00085000,2019-08-26 12:02PM EST,85.0,2.1,1.05,1.7,0.0,-,2,5,62.74,50
3,MMC200417P00090000,2019-12-31 3:44PM EST,90.0,0.46,0.3,0.45,0.0,-,37,0,39.21,50
4,MMC200417P00095000,2020-02-24 11:46AM EST,95.0,0.35,0.4,0.6,0.0,-,1,0,33.79,50
5,MMC200417P00100000,2020-02-19 12:42PM EST,100.0,0.25,0.7,0.85,0.0,-,5,0,28.61,50
6,MMC200417P00105000,2020-02-25 12:54PM EST,105.0,1.2,1.35,1.55,0.0,-,7,185,25.6,50
7,MMC200417P00110000,2020-02-25 12:50PM EST,110.0,2.3,2.6,2.8,0.0,-,8,0,22.52,50
8,MMC200417P00115000,2020-02-24 11:37AM EST,115.0,3.5,4.8,5.3,0.0,-,35,85,21.55,50
9,MMC200417P00120000,2020-02-19 10:27AM EST,120.0,3.2,8.3,9.1,0.0,-,-,52,22.79,50
0,MMC200717P00085000,2019-12-11 12:47PM EST,85.0,0.98,0.45,0.6,0.0,-,5,0,30.35,141
1,MMC200717P00095000,2020-02-25 10:25AM EST,95.0,1.05,1.25,1.4,0.0,-,4,11,26.27,141
2,MMC200717P00100000,2020-01-23 10:26AM EST,100.0,1.2,0.95,1.15,0.0,-,-,0,19.08,141
3,MMC200717P00105000,2020-01-23 12:37PM EST,105.0,1.95,1.5,1.8,0.0,-,2,37,16.5,141
4,MMC200717P00110000,2020-02-26 1:03PM EST,110.0,4.4,4.4,4.8,1.71,+63.57%,3,195,20.81,141
5,MMC200717P00125000,2020-02-18 5:54PM EST,125.0,8.2,12.4,14.7,0.0,-,-,1,20.94,141
