,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MNST200228P00055000,2020-02-25 3:29PM EST,55.0,0.2,0.0,0.2,0.0,-,2,0,117.19,1
1,MNST200228P00057000,2020-02-26 9:30AM EST,57.0,0.15,0.15,0.3,-0.05,-25.00%,6,10,117.19,1
2,MNST200228P00057500,2020-02-24 3:36PM EST,57.5,0.17,0.2,0.35,0.0,-,5,0,117.77,1
3,MNST200228P00058000,2020-02-04 3:58PM EST,58.0,0.2,0.2,0.35,0.0,-,1,1351,112.31,1
4,MNST200228P00058500,2020-01-21 10:44AM EST,58.5,0.35,0.05,0.75,0.0,-,-,4,118.65,1
5,MNST200228P00059000,2020-01-10 10:48AM EST,59.0,0.45,0.0,0.0,0.0,-,1,11,25.0,1
6,MNST200228P00059500,2020-02-25 2:34PM EST,59.5,0.53,0.35,0.45,0.0,-,2,0,107.03,1
7,MNST200228P00060000,2020-02-26 12:59PM EST,60.0,0.37,0.4,0.55,0.01,+2.78%,6,0,106.93,1
8,MNST200228P00060500,2020-02-25 2:41PM EST,60.5,0.65,0.5,0.65,0.0,-,4,0,107.81,1
9,MNST200228P00061000,2020-02-13 1:27PM EST,61.0,0.45,0.55,0.75,0.2,+80.00%,1,0,106.35,1
10,MNST200228P00061500,2020-02-21 2:34PM EST,61.5,0.5,0.65,0.85,0.25,+100.00%,1,0,105.86,1
11,MNST200228P00062000,2020-02-26 10:41AM EST,62.0,0.56,0.75,0.95,-0.04,-6.67%,4,0,104.69,1
12,MNST200228P00062500,2020-02-26 10:49AM EST,62.5,0.65,0.85,1.1,-0.1,-13.33%,14,0,104.2,1
13,MNST200228P00063000,2020-01-29 9:43AM EST,63.0,0.75,1.0,1.25,0.05,+7.14%,1,0,104.4,1
14,MNST200228P00063500,2020-02-25 11:47AM EST,63.5,0.9,1.2,1.35,0.0,-,3,0,103.81,1
15,MNST200228P00064000,2020-02-25 1:35PM EST,64.0,1.0,1.35,1.45,-0.2,-16.67%,11,0,101.47,1
16,MNST200228P00064500,2020-02-25 3:27PM EST,64.5,1.6,1.55,1.7,0.0,-,81,0,102.93,1
