,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MOS200228C00015500,2020-02-24 10:44AM EST,15.5,3.26,2.51,2.93,0.0,-,-,-,262.5,1
1,MOS200228C00016000,2020-02-21 2:26PM EST,16.0,3.1,1.44,1.71,0.0,-,300,0,98.05,1
2,MOS200228C00017500,2020-02-25 9:43AM EST,17.5,1.3,0.39,0.49,0.0,-,16,0,73.83,1
3,MOS200228C00018000,2020-02-26 1:42PM EST,18.0,0.21,0.22,0.27,-0.38,-64.41%,68,0,73.44,1
4,MOS200228C00018500,2020-02-26 1:32PM EST,18.5,0.11,0.08,0.14,-0.66,-85.71%,85,244,70.31,1
5,MOS200228C00019000,2020-02-26 1:34PM EST,19.0,0.05,0.04,0.09,-0.17,-77.27%,178,0,75.78,1
6,MOS200228C00019500,2020-02-25 11:44AM EST,19.5,0.1,0.0,0.05,-0.03,-23.08%,5,0,74.22,1
7,MOS200228C00020000,2020-02-25 12:01PM EST,20.0,0.06,0.0,0.11,0.0,-,82,0,103.13,1
8,MOS200228C00020500,2020-02-25 11:43AM EST,20.5,0.04,0.01,0.23,0.0,-,196,0,141.41,1
9,MOS200228C00021000,2020-02-24 11:58AM EST,21.0,0.07,0.0,0.1,0.03,+75.00%,15,0,126.56,1
10,MOS200228C00021500,2020-02-21 3:48PM EST,21.5,0.03,0.0,0.21,0.0,-,124,0,164.06,1
11,MOS200228C00022000,2020-02-21 3:29PM EST,22.0,0.03,0.0,0.19,0.0,-,6,0,173.44,1
12,MOS200228C00022500,2020-02-21 11:40AM EST,22.5,0.03,0.0,0.2,0.0,-,5,0,187.5,1
13,MOS200228C00023000,2020-02-25 10:49AM EST,23.0,0.02,0.0,0.01,0.0,-,3,1066,125.0,1
14,MOS200228C00023500,2020-02-21 2:16PM EST,23.5,0.02,0.0,0.02,0.0,-,2,0,143.75,1
15,MOS200228C00024000,2020-02-14 3:21PM EST,24.0,0.01,0.0,0.61,0.0,-,5,0,293.75,1
16,MOS200228C00024500,2020-01-22 2:29PM EST,24.5,0.1,0.03,0.02,0.0,-,-,1,181.25,1
17,MOS200228C00025000,2020-02-07 10:38AM EST,25.0,0.04,0.0,0.02,0.0,-,1,0,168.75,1
