,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MPC200228C00049000,2020-02-14 3:02PM EST,49.0,9.25,3.8,4.25,0.0,-,2,0,94.53,1
1,MPC200228C00050000,2020-02-26 11:51AM EST,50.0,3.57,2.92,3.05,0.29,+8.84%,5,0,74.61,1
2,MPC200228C00051000,2020-02-25 3:43PM EST,51.0,2.64,2.01,2.13,0.0,-,2,0,62.11,1
3,MPC200228C00051500,2020-02-25 2:20PM EST,51.5,2.31,2.83,2.93,0.0,-,-,-,124.51,1
4,MPC200228C00052000,2020-02-26 11:52AM EST,52.0,1.98,1.47,1.53,-0.17,-7.91%,13,0,65.04,1
5,MPC200228C00052500,2020-02-26 1:08PM EST,52.5,1.74,1.2,1.26,-0.13,-6.95%,4,23,64.55,1
6,MPC200228C00053000,2020-02-26 11:51AM EST,53.0,1.37,0.95,1.01,-0.12,-8.05%,5,0,63.38,1
7,MPC200228C00053500,2020-02-26 1:37PM EST,53.5,0.89,0.73,0.8,-0.46,-34.07%,92,0,62.4,1
8,MPC200228C00054000,2020-02-26 1:54PM EST,54.0,0.64,0.58,0.65,-0.44,-40.74%,59,380,63.28,1
9,MPC200228C00054500,2020-02-26 12:32PM EST,54.5,0.72,0.47,0.53,-0.22,-23.40%,30,0,64.65,1
10,MPC200228C00055000,2020-02-26 11:44AM EST,55.0,0.52,0.33,0.43,-0.32,-38.10%,76,0,64.26,1
11,MPC200228C00055500,2020-02-26 11:36AM EST,55.5,0.54,0.31,0.36,-0.12,-18.18%,31,0,67.97,1
12,MPC200228C00056000,2020-02-26 12:01PM EST,56.0,0.32,0.25,0.28,-0.3,-48.39%,2942,3891,68.75,1
13,MPC200228C00056500,2020-02-26 10:13AM EST,56.5,0.32,0.2,0.24,-0.19,-37.25%,77,0,70.7,1
14,MPC200228C00057000,2020-02-26 1:42PM EST,57.0,0.17,0.17,0.19,-0.31,-64.58%,91,472,72.27,1
15,MPC200228C00057500,2020-02-26 1:41PM EST,57.5,0.16,0.14,0.17,-0.26,-61.90%,35,0,74.61,1
16,MPC200228C00058000,2020-02-24 3:16PM EST,58.0,0.31,0.11,0.14,-0.03,-8.82%,319,0,75.78,1
17,MPC200228C00058500,2020-02-26 1:04PM EST,58.5,0.17,0.09,0.13,-0.26,-60.47%,17,326,78.32,1
18,MPC200228C00059000,2020-02-26 10:36AM EST,59.0,0.1,0.07,0.11,-0.18,-64.29%,552,7388,79.69,1
