,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MRK200228C00071500,2020-02-24 11:28AM EST,71.5,10.6,8.35,10.05,0.0,-,-,-,107.23,1
1,MRK200228C00072500,2020-02-24 10:50AM EST,72.5,10.0,6.85,9.85,0.0,-,5,15,107.72,1
2,MRK200228C00073500,2020-02-20 3:59PM EST,73.5,9.1,4.9,8.65,0.0,-,-,17,160.79,1
3,MRK200228C00074500,2020-02-18 10:57AM EST,74.5,8.25,4.9,6.6,0.0,-,-,10,100.68,1
4,MRK200228C00075000,2020-02-19 11:44AM EST,75.0,7.15,4.5,6.45,0.0,-,27,16,58.59,1
5,MRK200228C00076000,2020-02-21 12:28PM EST,76.0,6.2,4.3,4.7,0.0,-,13,0,51.76,1
6,MRK200228C00076500,2020-02-20 1:49PM EST,76.5,3.75,3.55,4.2,0.0,-,10,45,58.98,1
7,MRK200228C00077500,2020-02-20 12:41PM EST,77.5,4.65,3.0,3.1,0.0,-,23,0,43.75,1
8,MRK200228C00078000,2020-02-25 12:31PM EST,78.0,3.3,3.0,3.1,0.72,+27.91%,2,-,58.3,1
9,MRK200228C00079000,2020-02-25 2:56PM EST,79.0,1.97,1.71,1.77,0.02,+1.03%,23,0,34.82,1
10,MRK200228C00080000,2020-02-26 12:59PM EST,80.0,0.92,1.06,1.09,-0.14,-13.21%,196,85,32.52,1
11,MRK200228C00081000,2020-02-26 12:35PM EST,81.0,0.5,0.54,0.56,-0.09,-15.25%,502,477,29.93,1
12,MRK200228C00082000,2020-02-26 12:23PM EST,82.0,0.22,0.22,0.24,-0.09,-29.03%,168,617,28.32,1
13,MRK200228C00082500,2020-02-26 1:44PM EST,82.5,0.13,0.14,0.15,-0.08,-38.10%,247,608,28.03,1
14,MRK200228C00083000,2020-02-26 1:31PM EST,83.0,0.09,0.07,0.09,-0.05,-35.71%,274,0,27.93,1
15,MRK200228C00083500,2020-02-26 11:33AM EST,83.5,0.05,0.05,0.06,-0.07,-58.33%,34,0,28.52,1
16,MRK200228C00084000,2020-02-26 11:47AM EST,84.0,0.04,0.0,0.04,-0.03,-42.86%,15,0,29.3,1
17,MRK200228C00084500,2020-02-26 11:50AM EST,84.5,0.03,0.0,0.03,-0.02,-40.00%,8,338,30.86,1
18,MRK200228C00085000,2020-02-26 11:48AM EST,85.0,0.04,0.01,0.03,0.0,-,39,0,33.59,1
19,MRK200228C00085500,2020-02-24 12:44PM EST,85.5,0.03,0.0,0.03,0.0,-,47,0,36.33,1
