,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MRO200228C00008000,2020-02-24 11:39AM EST,8.0,1.52,0.56,0.65,0.0,-,-,1,93.75,1
1,MRO200228C00008500,2020-02-25 2:26PM EST,8.5,0.22,0.19,0.24,-0.23,-51.11%,60,0,68.75,1
2,MRO200228C00009000,2020-02-26 1:14PM EST,9.0,0.07,0.04,0.06,-0.13,-65.00%,532,358,66.41,1
3,MRO200228C00009500,2020-02-26 1:37PM EST,9.5,0.02,0.01,0.02,-0.04,-66.67%,197,191,76.56,1
4,MRO200228C00010000,2020-02-26 12:17PM EST,10.0,0.01,0.0,0.01,-0.01,-50.00%,19,339,87.5,1
5,MRO200228C00010500,2020-02-25 12:20PM EST,10.5,0.01,0.0,0.01,0.0,-,98,646,106.25,1
6,MRO200228C00011000,2020-02-24 3:35PM EST,11.0,0.02,0.0,0.01,0.0,-,3,1615,125.0,1
7,MRO200228C00011500,2020-02-19 12:14PM EST,11.5,0.02,0.0,0.03,0.0,-,10,312,171.88,1
8,MRO200228C00012000,2020-02-18 2:08PM EST,12.0,0.01,0.0,0.01,-0.01,-50.00%,20,533,162.5,1
9,MRO200228C00012500,2020-02-20 10:40AM EST,12.5,0.01,0.0,0.01,0.0,-,1,0,175.0,1
10,MRO200228C00013000,2020-02-12 3:49PM EST,13.0,0.02,0.0,0.03,0.0,-,3,196,225.0,1
11,MRO200228C00013500,2020-02-18 11:20AM EST,13.5,0.01,0.0,0.01,0.0,-,7,193,212.5,1
12,MRO200228C00014000,2020-02-10 3:32PM EST,14.0,0.02,0.0,0.03,0.0,-,1,1572,256.25,1
13,MRO200228C00014500,2020-01-13 11:58AM EST,14.5,0.19,0.0,0.03,0.0,-,-,10,271.88,1
14,MRO200228C00015000,2020-01-24 2:19PM EST,15.0,0.02,0.0,0.0,0.0,-,3,0,50.0,1
15,MRO200228C00015500,2020-01-21 12:00AM EST,15.5,0.05,0.0,0.0,0.0,-,-,1,50.0,1
0,MRO200306C00008500,2020-02-25 11:18AM EST,8.5,0.73,0.54,0.66,0.0,-,-,-,106.25,8
1,MRO200306C00009000,2020-02-25 3:37PM EST,9.0,0.35,0.28,0.35,0.0,-,-,-,90.63,8
2,MRO200306C00009500,2020-02-26 1:41PM EST,9.5,0.08,0.05,0.08,-0.05,-38.46%,238,165,61.72,8
3,MRO200306C00010000,2020-02-26 11:08AM EST,10.0,0.04,0.03,0.04,-0.03,-42.86%,536,120,67.97,8
4,MRO200306C00010500,2020-02-24 1:38PM EST,10.5,0.02,0.0,0.02,0.01,+100.00%,1,0,65.63,8
5,MRO200306C00011000,2020-02-25 9:47AM EST,11.0,0.02,0.01,0.02,0.0,-,1,347,81.25,8
6,MRO200306C00011500,2020-02-21 2:35PM EST,11.5,0.02,0.0,0.04,0.0,-,17,462,98.44,8
7,MRO200306C00012000,2020-02-14 2:47PM EST,12.0,0.03,0.0,0.04,0.0,-,20,0,109.38,8
8,MRO200306C00012500,2020-02-21 11:32AM EST,12.5,0.04,0.0,0.03,0.0,-,10,81,114.06,8
9,MRO200306C00013000,2020-02-14 10:45AM EST,13.0,0.01,0.0,0.04,0.0,-,1,43,129.69,8
10,MRO200306C00013500,2020-02-12 11:01AM EST,13.5,0.06,0.0,0.03,0.0,-,10,0,131.25,8
11,MRO200306C00014000,2020-02-14 1:19PM EST,14.0,0.04,0.0,0.03,0.0,-,2,54,140.63,8
12,MRO200306C00020000,2020-02-25 1:38PM EST,20.0,0.01,0.0,0.03,0.0,-,1,1,218.75,8
0,MRO200313C00007500,2020-02-25 3:24PM EST,7.5,1.5,1.09,1.19,0.0,-,3,0,68.75,15
1,MRO200313C00008500,2020-02-24 1:18PM EST,8.5,1.04,0.61,0.72,0.0,-,-,-,90.23,15
2,MRO200313C00009000,2020-02-25 3:35PM EST,9.0,0.4,0.34,0.42,0.0,-,-,-,78.91,15
3,MRO200313C00009500,2020-02-25 9:59AM EST,9.5,0.18,0.09,0.12,-0.14,-43.75%,3,29,55.47,15
4,MRO200313C00010000,2020-02-26 1:44PM EST,10.0,0.05,0.03,0.06,-0.04,-44.44%,3,207,55.47,15
5,MRO200313C00010500,2020-02-26 10:54AM EST,10.5,0.05,0.0,0.04,-0.05,-50.00%,71,126,56.25,15
6,MRO200313C00011000,2020-02-24 11:30AM EST,11.0,0.02,0.0,0.04,-0.02,-50.00%,26,48,66.41,15
7,MRO200313C00011500,2020-02-21 10:32AM EST,11.5,0.02,0.0,0.04,0.0,-,10,139,75.0,15
8,MRO200313C00012000,2020-02-20 3:24PM EST,12.0,0.04,0.0,0.04,0.0,-,1,63,84.38,15
9,MRO200313C00012500,2020-02-18 11:51AM EST,12.5,0.03,0.0,0.04,0.0,-,12,0,92.19,15
10,MRO200313C00013000,2020-02-12 12:32PM EST,13.0,0.12,0.0,0.04,0.0,-,7,988,98.44,15
11,MRO200313C00013500,2020-02-13 12:00PM EST,13.5,0.04,0.0,0.03,0.0,-,5,26,101.56,15
12,MRO200313C00014000,2020-02-10 3:59PM EST,14.0,0.03,0.0,0.04,0.0,-,10,10,112.5,15
0,MRO200320C00008000,2020-02-26 1:25PM EST,8.0,0.87,0.79,0.82,-0.2,-18.69%,3,41,60.55,22
1,MRO200320C00008500,2020-02-24 12:03PM EST,8.5,1.1,0.7,0.75,0.0,-,-,-,83.01,22
2,MRO200320C00009000,2020-02-26 12:05PM EST,9.0,0.34,0.27,0.31,-0.14,-29.17%,50,0,55.66,22
3,MRO200320C00009500,2020-02-26 1:49PM EST,9.5,0.16,0.15,0.16,-0.13,-44.83%,71,409,54.69,22
4,MRO200320C00010000,2020-02-26 1:25PM EST,10.0,0.08,0.06,0.07,-0.06,-42.86%,49,3006,51.56,22
5,MRO200320C00010500,2020-02-25 2:33PM EST,10.5,0.06,0.01,0.05,0.0,-,15,13,51.56,22
6,MRO200320C00011000,2020-02-25 12:42PM EST,11.0,0.02,0.01,0.04,0.0,-,1,1422,57.81,22
7,MRO200320C00011500,2020-02-24 9:50AM EST,11.5,0.04,0.0,0.04,0.0,-,-,6,63.28,22
8,MRO200320C00012000,2020-02-24 11:34AM EST,12.0,0.04,0.0,0.04,0.0,-,6,0,70.31,22
9,MRO200320C00013000,2020-02-26 12:51PM EST,13.0,0.03,0.0,0.04,0.01,+50.00%,2,2344,82.81,22
10,MRO200320C00014000,2020-02-24 1:40PM EST,14.0,0.01,0.0,0.0,0.0,-,20,4990,50.0,22
11,MRO200320C00015000,2020-02-13 2:08PM EST,15.0,0.02,0.0,0.03,0.0,-,3,0,101.56,22
12,MRO200320C00019000,2020-01-22 12:15PM EST,19.0,0.03,0.0,0.0,0.0,-,-,0,50.0,22
0,MRO200327C00009500,2020-02-26 12:10PM EST,9.5,0.21,0.17,0.2,-0.11,-34.38%,16,6,51.95,29
1,MRO200327C00010000,2020-02-24 3:30PM EST,10.0,0.34,0.08,0.11,0.0,-,74,98,50.78,29
2,MRO200327C00010500,2020-02-25 1:25PM EST,10.5,0.09,0.04,0.07,0.0,-,10,82,52.34,29
3,MRO200327C00011000,2020-02-25 1:51PM EST,11.0,0.03,0.0,0.04,0.0,-,20,43,56.25,29
4,MRO200327C00011500,2020-02-21 10:12AM EST,11.5,0.04,0.0,0.04,0.0,-,10,0,55.47,29
5,MRO200327C00012000,2020-02-20 9:30AM EST,12.0,0.1,0.0,0.04,0.0,-,-,12,62.5,29
6,MRO200327C00012500,2020-02-18 12:26PM EST,12.5,0.05,0.0,0.04,0.0,-,25,16,67.97,29
7,MRO200327C00013500,2020-02-13 4:50PM EST,13.5,0.17,0.0,0.04,0.0,-,-,2,78.13,29
8,MRO200327C00014000,2020-02-12 3:55PM EST,14.0,0.09,0.0,0.04,0.0,-,-,35,83.59,29
