,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MSCI200320P00120000,2019-08-16 12:49PM EST,120.0,1.25,0.35,0.0,0.0,-,150,0,148.44,22
1,MSCI200320P00125000,2019-08-28 2:32PM EST,125.0,1.64,0.00,4.9,0.0,-,3,10,216.16,22
2,MSCI200320P00145000,2019-08-13 11:40AM EST,145.0,2.72,0.00,0.0,0.0,-,105,0,50.0,22
3,MSCI200320P00150000,2019-09-25 8:42AM EST,150.0,1.35,1.40,1.8,0.0,-,1,55,161.57,22
4,MSCI200320P00170000,2020-02-24 10:43AM EST,170.0,0.1,-,0.2,0.0,-,-,-,97.56,22
5,MSCI200320P00175000,2020-02-24 10:42AM EST,175.0,0.12,0.05,0.25,0.0,-,-,10,89.84,22
6,MSCI200320P00180000,2020-02-05 11:57AM EST,180.0,0.1,0.05,0.25,0.0,-,1,43,85.55,22
7,MSCI200320P00185000,2019-08-04 11:03PM EST,185.0,5.9,0.00,0.0,0.0,-,-,0,50.0,22
8,MSCI200320P00190000,2020-02-07 9:30AM EST,190.0,0.15,0.15,0.4,0.0,-,1,4,83.98,22
9,MSCI200320P00195000,2019-11-18 12:10AM EST,195.0,2.55,0.95,1.35,0.0,-,-,-,101.22,22
10,MSCI200320P00200000,2020-02-25 11:44AM EST,200.0,0.5,0.20,0.5,0.0,-,3,0,78.42,22
11,MSCI200320P00210000,2020-02-25 3:36PM EST,210.0,0.55,0.25,0.45,0.0,-,2,0,70.31,22
12,MSCI200320P00220000,2020-02-24 1:44PM EST,220.0,0.65,0.35,0.6,0.0,-,3,0,65.63,22
13,MSCI200320P00230000,2020-02-24 1:27PM EST,230.0,0.78,0.55,0.85,0.0,-,2,127,61.96,22
14,MSCI200320P00240000,2020-02-19 9:38AM EST,240.0,1.0,0.70,1.15,0.0,-,1,0,57.03,22
15,MSCI200320P00250000,2020-02-26 11:56AM EST,250.0,1.06,1.10,1.45,-0.54,-33.75%,2,64,52.55,22
16,MSCI200320P00260000,2020-02-24 11:28AM EST,260.0,1.9,1.75,2.05,0.0,-,4,0,50.11,22
17,MSCI200320P00270000,2020-02-25 3:52PM EST,270.0,3.8,2.65,3.2,0.0,-,2,51,47.52,22
18,MSCI200320P00280000,2020-02-21 2:06PM EST,280.0,5.0,4.00,4.5,0.0,-,2,0,43.23,22
19,MSCI200320P00290000,2020-02-26 12:05PM EST,290.0,5.5,6.50,7.2,-2.8,-33.73%,1,507,41.82,22
20,MSCI200320P00300000,2020-02-25 2:17PM EST,300.0,8.65,9.50,10.4,-3.91,-31.13%,15,0,38.5,22
21,MSCI200320P00310000,2020-02-25 2:17PM EST,310.0,13.5,14.10,15.0,-4.53,-25.12%,26,0,35.71,22
22,MSCI200320P00320000,2020-02-20 12:29PM EST,320.0,10.0,19.80,21.7,0.0,-,11,474,35.38,22
23,MSCI200320P00330000,2020-02-25 2:08PM EST,330.0,33.0,27.40,29.5,0.0,-,2,29,34.83,22
0,MSCI200417P00270000,2020-02-24 12:06PM EST,270.0,5.5,5.0,5.6,0.0,-,-,1,40.29,50
1,MSCI200417P00280000,2020-02-24 1:01PM EST,280.0,5.93,5.7,6.7,0.0,-,-,-,35.57,50
2,MSCI200417P00290000,2020-02-26 10:29AM EST,290.0,8.7,10.0,11.0,0.27,+3.20%,3,3,37.5,50
3,MSCI200417P00300000,2020-02-24 3:46PM EST,300.0,12.95,11.3,12.2,0.0,-,-,-,30.15,50
4,MSCI200417P00310000,2020-02-24 2:29PM EST,310.0,17.8,18.3,19.7,0.0,-,-,10,34.68,50
0,MSCI200619P00120000,2019-10-30 12:03PM EST,120.0,0.7,0.0,1.25,0.0,-,10,31,80.47,113
1,MSCI200619P00135000,2019-11-01 9:11AM EST,135.0,1.0,0.0,0.0,0.0,-,10,10,25.0,113
2,MSCI200619P00140000,2020-01-15 9:30AM EST,140.0,0.3,0.2,0.45,0.0,-,20,20,61.91,113
3,MSCI200619P00145000,2019-10-31 8:34AM EST,145.0,1.62,0.0,1.2,0.0,-,72,72,64.89,113
4,MSCI200619P00155000,2019-10-21 12:46PM EST,155.0,3.22,0.35,2.4,0.0,-,-,108,68.75,113
5,MSCI200619P00160000,2020-01-30 1:07PM EST,160.0,0.86,0.25,0.75,0.0,-,1,11,55.44,113
6,MSCI200619P00170000,2019-11-05 1:06PM EST,170.0,3.3,1.75,2.7,0.0,-,25,33,66.72,113
7,MSCI200619P00180000,2019-10-30 9:06AM EST,180.0,5.7,2.4,2.95,0.0,-,2,2,63.75,113
8,MSCI200619P00185000,2020-01-14 11:51AM EST,185.0,1.55,0.0,4.9,0.0,-,1,36,59.72,113
9,MSCI200619P00190000,2019-12-03 1:43PM EST,190.0,3.9,0.6,4.9,0.0,-,1,0,58.63,113
10,MSCI200619P00195000,2020-01-22 10:38AM EST,195.0,1.76,0.7,1.35,0.0,-,1,0,47.74,113
11,MSCI200619P00200000,2020-02-20 11:32AM EST,200.0,0.7,1.5,2.35,0.0,-,2,13,51.34,113
12,MSCI200619P00210000,2020-02-21 3:13PM EST,210.0,1.95,1.85,2.55,0.0,-,30,0,47.35,113
13,MSCI200619P00220000,2020-02-24 3:29PM EST,220.0,2.75,2.7,3.2,0.0,-,2,4,45.17,113
14,MSCI200619P00230000,2020-02-25 2:13PM EST,230.0,4.35,3.3,4.0,0.0,-,2,170,43.02,113
15,MSCI200619P00240000,2020-02-26 1:12PM EST,240.0,4.7,4.5,5.1,-0.7,-12.96%,1,0,41.24,113
16,MSCI200619P00250000,2020-02-18 9:56AM EST,250.0,5.9,5.9,6.6,0.0,-,5,0,39.81,113
17,MSCI200619P00260000,2020-02-25 2:10PM EST,260.0,9.2,7.4,8.5,0.0,-,1,522,38.5,113
18,MSCI200619P00270000,2020-02-26 12:45PM EST,270.0,9.6,9.8,10.7,-1.81,-15.86%,1,27,36.96,113
19,MSCI200619P00280000,2020-02-21 2:38PM EST,280.0,11.8,12.4,13.6,0.0,-,1,0,35.84,113
20,MSCI200619P00290000,2020-02-21 1:31PM EST,290.0,15.3,15.8,16.9,1.3,+9.29%,1,13,34.46,113
21,MSCI200619P00300000,2020-02-21 3:13PM EST,300.0,20.0,19.8,21.2,0.0,-,2,0,33.68,113
22,MSCI200619P00310000,2020-02-21 1:31PM EST,310.0,24.8,24.9,25.7,0.0,-,2,0,32.19,113
23,MSCI200619P00320000,2020-02-21 10:49AM EST,320.0,26.6,30.1,31.5,0.0,-,2,0,31.6,113
