,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MSI200320P00125000,2020-02-03 3:06PM EST,125.0,0.15,0.0,0.19,0.0,-,-,320,60.25,22
1,MSI200320P00130000,2020-02-10 12:53PM EST,130.0,0.04,0.0,0.33,0.0,-,-,0,58.59,22
2,MSI200320P00135000,2020-01-23 10:29AM EST,135.0,0.31,0.0,0.17,0.0,-,-,0,52.64,22
3,MSI200320P00145000,2020-02-07 9:38AM EST,145.0,0.17,0.03,0.72,0.0,-,2,2,53.78,22
4,MSI200320P00150000,2020-01-31 2:50PM EST,150.0,0.93,0.11,0.53,0.0,-,1,1,43.26,22
5,MSI200320P00155000,2020-02-12 10:56AM EST,155.0,0.3,0.46,0.79,0.0,-,3,0,40.28,22
6,MSI200320P00160000,2020-02-25 1:01PM EST,160.0,0.6,0.77,0.99,0.0,-,1,0,35.25,22
7,MSI200320P00165000,2020-02-26 10:45AM EST,165.0,0.88,1.34,1.62,-0.52,-37.14%,3,76,33.02,22
8,MSI200320P00170000,2020-02-24 3:15PM EST,170.0,1.56,2.22,2.65,0.45,+40.54%,4,0,31.02,22
9,MSI200320P00175000,2020-02-26 1:26PM EST,175.0,3.45,3.8,4.35,0.15,+4.55%,11,290,29.77,22
10,MSI200320P00180000,2020-02-25 3:39PM EST,180.0,5.95,6.35,6.75,0.0,-,34,118,28.52,22
11,MSI200320P00185000,2020-02-26 10:45AM EST,185.0,7.31,9.75,10.25,-0.84,-10.31%,7,133,29.48,22
12,MSI200320P00190000,2020-02-26 11:53AM EST,190.0,12.0,13.6,14.1,0.15,+1.27%,1,0,28.93,22
13,MSI200320P00195000,2020-02-25 2:54PM EST,195.0,16.1,17.7,19.2,0.0,-,7,0,36.33,22
14,MSI200320P00200000,2020-02-21 12:26PM EST,200.0,18.5,22.7,24.9,0.0,-,1,3,48.66,22
0,MSI200417P00100000,2019-08-22 1:41PM EST,100.0,0.77,0.0,1.7,0.0,-,-,0,89.99,50
1,MSI200417P00105000,2019-08-25 11:08PM EST,105.0,0.75,0.6,1.33,0.0,-,-,0,85.5,50
2,MSI200417P00110000,2020-01-08 10:26AM EST,110.0,0.39,0.0,0.25,0.0,-,3,85,56.15,50
3,MSI200417P00115000,2020-01-22 11:34AM EST,115.0,0.15,0.0,0.41,0.0,-,10,40,55.18,50
4,MSI200417P00120000,2020-02-13 12:48PM EST,120.0,0.09,0.06,0.48,0.0,-,2,34,52.59,50
5,MSI200417P00125000,2020-01-03 3:54PM EST,125.0,0.88,0.0,0.29,0.0,-,10,238,48.34,50
6,MSI200417P00130000,2020-02-14 9:53AM EST,130.0,0.09,0.02,0.49,0.0,-,1,339,48.0,50
7,MSI200417P00135000,2020-02-21 3:52PM EST,135.0,0.23,0.29,1.04,0.0,-,5,0,50.76,50
8,MSI200417P00140000,2020-02-13 12:48PM EST,140.0,0.2,0.37,0.67,0.0,-,1,395,40.87,50
9,MSI200417P00145000,2020-01-28 11:58AM EST,145.0,0.55,0.44,0.81,0.0,-,1,0,37.57,50
10,MSI200417P00150000,2020-02-14 11:59AM EST,150.0,0.45,0.77,1.13,0.0,-,1,301,35.57,50
11,MSI200417P00155000,2020-02-24 12:49PM EST,155.0,0.93,1.32,1.61,0.0,-,1,1285,33.84,50
12,MSI200417P00160000,2020-02-24 11:39AM EST,160.0,1.4,1.93,2.32,0.0,-,6,334,32.34,50
13,MSI200417P00165000,2020-02-24 11:11AM EST,165.0,1.7,2.79,3.25,0.0,-,7,0,30.63,50
