,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MTB200320C00155000,2020-02-25 3:39PM EST,155.0,4.5,3.4,3.8,0.0,-,2,2,23.8,22
1,MTB200320C00160000,2020-02-25 10:22AM EST,160.0,2.1,1.5,1.85,-2.41,-53.44%,1,33,23.76,22
2,MTB200320C00165000,2020-02-25 3:29PM EST,165.0,1.05,0.5,0.65,0.0,-,32,0,22.38,22
3,MTB200320C00170000,2020-02-21 3:40PM EST,170.0,0.7,0.1,0.25,0.0,-,8,0,23.12,22
4,MTB200320C00175000,2020-02-25 12:29PM EST,175.0,0.25,0.05,0.4,0.0,-,5,510,31.67,22
5,MTB200320C00180000,2020-02-18 2:42PM EST,180.0,0.2,0.0,0.25,0.0,-,30,0,33.79,22
6,MTB200320C00185000,2020-02-26 10:36AM EST,185.0,0.05,0.0,0.25,-0.35,-87.50%,1,3,38.62,22
7,MTB200320C00190000,2020-01-27 12:07PM EST,190.0,0.33,0.0,0.25,0.0,-,-,0,43.26,22
8,MTB200320C00195000,2020-01-22 12:33PM EST,195.0,0.14,0.0,0.25,0.0,-,-,1,47.66,22
0,MTB200417C00130000,2019-12-10 1:41PM EST,130.0,38.91,34.9,38.5,0.0,-,1,0,103.13,50
1,MTB200417C00140000,2020-01-29 1:30PM EST,140.0,31.9,15.8,16.7,0.0,-,6,12,29.86,50
2,MTB200417C00150000,2020-02-26 9:49AM EST,150.0,10.8,7.9,9.0,-4.78,-30.68%,1,5,26.78,50
3,MTB200417C00155000,2019-12-23 11:58AM EST,155.0,17.0,17.7,19.2,0.0,-,1,11,79.22,50
4,MTB200417C00160000,2020-02-25 12:51PM EST,160.0,5.4,4.1,4.3,0.0,-,6,21,27.31,50
5,MTB200417C00165000,2020-02-21 1:47PM EST,165.0,3.6,1.65,2.0,0.0,-,10,30,23.38,50
6,MTB200417C00170000,2020-02-26 10:02AM EST,170.0,1.1,0.75,1.0,-0.55,-33.33%,26,578,22.67,50
7,MTB200417C00175000,2020-02-24 1:43PM EST,175.0,0.92,0.3,0.45,0.0,-,1,0,22.1,50
8,MTB200417C00180000,2020-02-25 10:12AM EST,180.0,0.45,0.0,0.75,0.0,-,2,90,29.24,50
9,MTB200417C00185000,2020-02-24 10:16AM EST,185.0,0.4,0.05,0.5,0.0,-,61,159,30.13,50
10,MTB200417C00190000,2020-02-24 10:12AM EST,190.0,0.18,0.0,0.35,0.0,-,20,33,31.25,50
0,MTB200717C00115000,2020-01-23 11:24AM EST,115.0,50.2,52.2,54.8,0.0,-,-,1,88.39,141
1,MTB200717C00160000,2020-02-25 3:32PM EST,160.0,7.0,6.9,7.3,0.0,-,2,15,24.35,141
2,MTB200717C00165000,2020-02-21 1:47PM EST,165.0,9.7,4.0,4.5,0.0,-,1,0,21.47,141
3,MTB200717C00170000,2020-02-24 11:07AM EST,170.0,3.4,2.6,3.3,0.0,-,1,0,21.8,141
4,MTB200717C00175000,2020-02-11 11:37AM EST,175.0,2.95,1.75,2.0,0.0,-,1,0,20.66,141
5,MTB200717C00180000,2020-02-13 9:41AM EST,180.0,2.0,1.0,1.25,0.0,-,2,185,20.28,141
6,MTB200717C00185000,2020-02-11 1:37PM EST,185.0,2.6,0.6,0.75,0.0,-,104,0,19.95,141
7,MTB200717C00190000,2020-02-25 3:38PM EST,190.0,0.6,0.1,0.5,0.0,-,20,40,20.24,141
8,MTB200717C00195000,2020-02-25 3:33PM EST,195.0,0.45,0.0,0.75,0.0,-,20,57,24.22,141
9,MTB200717C00200000,2020-02-18 2:37PM EST,200.0,0.42,0.0,0.75,0.0,-,30,0,26.21,141
0,MTB201016C00160000,2020-02-26 9:30AM EST,160.0,9.3,7.9,8.7,-1.2,-11.43%,1,1,21.88,232
