,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,MXIM200320C00040000,2020-01-30 11:16PM EST,40.0,23.85,17.2,18.0,0.0,-,1,0,71.09,22
1,MXIM200320C00050000,2020-02-04 11:20AM EST,50.0,12.0,7.3,8.3,0.0,-,-,5,58.98,22
2,MXIM200320C00055000,2020-02-24 12:00PM EST,55.0,3.11,3.4,3.8,0.0,-,10,11,40.38,22
3,MXIM200320C00060000,2020-02-25 12:41PM EST,60.0,1.15,0.9,1.05,0.25,+27.78%,16,0,34.18,22
4,MXIM200320C00065000,2020-02-26 10:34AM EST,65.0,0.19,0.1,0.2,0.06,+46.15%,166,0,34.18,22
5,MXIM200320C00070000,2020-02-25 3:54PM EST,70.0,0.05,0.0,0.1,0.0,-,1,0,42.58,22
0,MXIM200417C00055000,2020-02-26 11:30AM EST,55.0,4.81,4.1,4.7,-0.29,-5.69%,3,8,38.79,50
1,MXIM200417C00060000,2020-02-26 11:30AM EST,60.0,1.96,1.6,1.85,0.42,+27.27%,3,2,33.06,50
2,MXIM200417C00065000,2020-02-26 11:57AM EST,65.0,0.53,0.35,0.6,0.13,+32.50%,9,17,31.98,50
0,MXIM200515C00040000,2019-12-16 11:15AM EST,40.0,20.7,21.8,22.6,0.0,-,1,0,127.86,78
1,MXIM200515C00050000,2019-11-18 12:04AM EST,50.0,9.86,12.4,14.2,0.0,-,-,1,90.89,78
2,MXIM200515C00055000,2020-02-21 2:41PM EST,55.0,5.65,4.8,5.3,0.81,+16.74%,2,0,37.23,78
3,MXIM200515C00060000,2020-02-25 2:06PM EST,60.0,2.3,2.3,2.5,0.0,-,21,200,32.86,78
4,MXIM200515C00065000,2020-02-26 11:21AM EST,65.0,1.0,0.85,1.0,0.13,+14.94%,42,1382,31.13,78
5,MXIM200515C00070000,2020-02-20 2:06PM EST,70.0,0.75,0.2,0.35,0.0,-,3,752,30.47,78
6,MXIM200515C00075000,2020-02-12 10:22AM EST,75.0,0.4,0.0,0.15,0.0,-,320,0,31.93,78
0,MXIM200821C00055000,2020-02-11 10:26AM EST,55.0,10.3,6.0,6.4,0.0,-,-,1,32.2,176
1,MXIM200821C00060000,2020-02-07 3:31PM EST,60.0,3.51,3.4,3.8,0.0,-,3,9,30.23,176
2,MXIM200821C00065000,2020-02-24 12:34PM EST,65.0,2.1,1.8,1.95,0.3,+16.67%,3,0,28.13,176
3,MXIM200821C00070000,2020-02-26 12:34PM EST,70.0,0.9,0.75,1.0,-0.1,-10.00%,114,0,27.78,176
4,MXIM200821C00075000,2020-02-05 2:27PM EST,75.0,1.18,0.25,0.5,0.0,-,2,3,27.78,176
5,MXIM200821C00080000,2020-01-06 10:54AM EST,80.0,0.4,0.25,0.4,0.0,-,-,171,30.88,176
0,MXIM201218C00035000,2020-02-24 9:48AM EST,35.0,24.0,23.0,24.5,0.0,-,-,0,56.65,295
1,MXIM201218C00040000,2019-11-21 2:06PM EST,40.0,15.6,21.2,24.1,0.0,-,2,90,69.6,295
2,MXIM201218C00045000,2020-02-11 2:30PM EST,45.0,18.8,13.6,14.1,0.0,-,3,9,31.75,295
3,MXIM201218C00050000,2020-02-12 3:33PM EST,50.0,15.2,10.0,10.4,0.0,-,1,8,30.57,295
5,MXIM201218C00060000,2020-02-26 11:27AM EST,60.0,4.9,4.3,4.8,0.6,+13.95%,2,0,28.24,295
6,MXIM201218C00065000,2020-02-24 12:57PM EST,65.0,3.08,2.6,2.95,0.0,-,56,177,27.11,295
7,MXIM201218C00070000,2020-02-25 11:27AM EST,70.0,1.4,1.4,1.7,0.0,-,9,23,26.18,295
8,MXIM201218C00075000,2020-02-24 9:51AM EST,75.0,1.15,0.7,0.95,0.0,-,5,380,25.67,295
9,MXIM201218C00080000,2020-02-26 12:13PM EST,80.0,0.43,0.3,0.5,-0.07,-14.00%,1,0,25.17,295
