,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NBL200320C00015000,2020-02-26 12:03PM EST,15.0,1.05,0.95,1.1,-0.22,-17.32%,24,115,59.96,22
1,NBL200320C00017500,2020-02-25 2:32PM EST,17.5,0.2,0.15,0.25,0.0,-,11,0,55.86,22
2,NBL200320C00020000,2020-02-25 3:34PM EST,20.0,0.04,0.0,0.1,0.0,-,232,0,62.5,22
3,NBL200320C00022500,2020-02-21 11:06AM EST,22.5,0.05,0.0,0.1,0.0,-,6,987,82.81,22
4,NBL200320C00025000,2020-02-21 11:39AM EST,25.0,0.02,0.0,0.05,0.0,-,40,0,90.63,22
5,NBL200320C00027500,2020-02-04 12:29PM EST,27.5,0.1,0.0,0.05,0.0,-,-,2,104.69,22
0,NBL200417C00015000,2020-02-25 2:02PM EST,15.0,1.4,1.4,1.5,0.0,-,-,-,59.57,50
1,NBL200417C00017500,2020-02-26 9:30AM EST,17.5,0.6,0.35,0.45,0.1,+20.00%,2,31,52.54,50
2,NBL200417C00020000,2020-02-25 12:12PM EST,20.0,0.16,0.05,0.1,0.0,-,1,0,49.22,50
0,NBL200515C00012500,2020-02-24 12:37PM EST,12.5,4.63,3.2,3.4,0.0,-,1,18,62.6,78
1,NBL200515C00015000,2020-02-21 12:40PM EST,15.0,1.87,1.5,1.7,0.27,+16.87%,3,0,53.42,78
2,NBL200515C00017500,2020-02-25 2:14PM EST,17.5,0.69,0.55,0.65,0.04,+6.15%,13,0,50.49,78
3,NBL200515C00020000,2020-02-25 2:59PM EST,20.0,0.2,0.2,0.3,0.0,-,92,735,50.59,78
4,NBL200515C00022500,2020-02-26 10:30AM EST,22.5,0.1,0.05,0.15,0.0,-,9,714,51.95,78
5,NBL200515C00025000,2020-02-20 2:41PM EST,25.0,0.04,0.0,0.1,0.0,-,10,0,55.08,78
6,NBL200515C00027500,2020-02-06 3:40PM EST,27.5,0.05,0.0,0.1,0.0,-,2,0,63.28,78
7,NBL200515C00030000,2020-02-11 3:33PM EST,30.0,0.05,0.0,0.05,0.0,-,1,0,64.06,78
8,NBL200515C00035000,2020-01-03 9:35AM EST,35.0,0.1,0.0,0.05,0.0,-,4,4,75.78,78
0,NBL200821C00012500,2020-02-19 3:34PM EST,12.5,6.8,3.4,3.7,0.0,-,-,2,54.49,176
1,NBL200821C00015000,2020-01-27 3:36PM EST,15.0,2.1,2.0,2.15,-0.55,-20.75%,2,0,49.02,176
2,NBL200821C00020000,2020-02-25 11:16AM EST,20.0,0.59,0.4,0.55,0.0,-,2,140,44.34,176
3,NBL200821C00022500,2020-02-24 3:10PM EST,22.5,0.4,0.1,0.3,0.0,-,12,0,45.31,176
4,NBL200821C00025000,2020-02-25 3:43PM EST,25.0,0.05,0.0,0.15,0.0,-,8,145,45.22,176
5,NBL200821C00027500,2020-02-25 1:14PM EST,27.5,0.1,0.0,0.1,0.0,-,15,176,47.66,176
6,NBL200821C00030000,2020-02-07 9:30AM EST,30.0,0.2,0.0,0.1,0.0,-,1,8,52.93,176
7,NBL200821C00032500,2020-02-06 9:36AM EST,32.5,0.1,0.0,0.05,0.0,-,1,0,51.56,176
0,NBL210115C00012500,2020-02-21 11:41AM EST,12.5,4.1,3.8,4.2,0.0,-,32,0,51.22,323
1,NBL210115C00015000,2020-02-13 2:44PM EST,15.0,4.5,2.45,2.7,0.0,-,5,0,46.12,323
2,NBL210115C00017500,2020-02-25 12:40PM EST,17.5,1.75,1.5,1.7,0.0,-,23,0,44.21,323
3,NBL210115C00020000,2020-02-26 10:30AM EST,20.0,0.95,0.85,0.95,0.0,-,71,0,41.26,323
4,NBL210115C00022500,2020-02-26 11:51AM EST,22.5,0.5,0.45,0.55,-0.01,-1.96%,13,253,40.43,323
5,NBL210115C00025000,2020-02-25 12:17PM EST,25.0,0.3,0.2,0.35,0.0,-,499,0,41.02,323
6,NBL210115C00027500,2020-02-20 11:09AM EST,27.5,0.23,0.1,0.2,0.0,-,2,0,40.48,323
7,NBL210115C00030000,2020-02-25 1:35PM EST,30.0,0.12,0.1,0.15,0.0,-,24,377,42.19,323
8,NBL210115C00032500,2020-01-22 2:04PM EST,32.5,0.6,0.05,0.15,0.0,-,3,0,45.9,323
9,NBL210115C00035000,2020-02-21 11:37AM EST,35.0,0.1,0.0,0.1,0.0,-,5,69,45.8,323
10,NBL210115C00037500,2020-01-09 9:30AM EST,37.5,0.4,0.0,0.2,0.0,-,3,70,54.98,323
11,NBL210115C00040000,2020-02-18 10:29AM EST,40.0,0.05,0.0,0.1,0.0,-,12,73,51.37,323
12,NBL210115C00042500,2019-12-26 1:32PM EST,42.5,0.3,0.1,0.2,0.0,-,3,33,57.52,323
0,NBL220121C00012500,2020-02-26 11:52AM EST,12.5,4.64,4.2,4.8,0.14,+3.11%,101,0,43.75,694
1,NBL220121C00015000,2020-02-05 1:15PM EST,15.0,4.3,3.1,3.6,0.0,-,3,0,42.7,694
2,NBL220121C00017500,2020-02-26 11:49AM EST,17.5,2.41,2.1,2.65,-0.59,-19.67%,62,0,41.58,694
3,NBL220121C00020000,2020-02-26 11:52AM EST,20.0,1.66,1.35,1.9,-0.23,-12.17%,52,0,40.28,694
4,NBL220121C00022500,2020-02-24 3:47PM EST,22.5,1.53,0.9,1.45,0.0,-,6,0,40.63,694
5,NBL220121C00025000,2020-02-18 1:05PM EST,25.0,1.7,0.45,0.95,0.0,-,1,0,38.48,694
6,NBL220121C00027500,2020-02-18 11:55AM EST,27.5,1.2,0.45,0.7,0.0,-,4,0,38.38,694
7,NBL220121C00030000,2020-02-21 9:31AM EST,30.0,0.8,0.2,0.55,0.0,-,4,73,38.97,694
8,NBL220121C00032500,2020-02-20 3:52PM EST,32.5,0.6,0.15,0.35,0.0,-,9,0,37.4,694
9,NBL220121C00035000,2020-02-21 9:33AM EST,35.0,0.2,0.0,0.3,0.0,-,1,0,38.53,694
