,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NCLH200320P00027500,2020-02-26 1:47PM EST,27.5,0.75,0.65,0.8,0.4,+114.29%,458,0,110.06,22
1,NCLH200320P00030000,2020-02-26 1:46PM EST,30.0,1.0,0.9,1.15,0.55,+122.22%,853,972,98.44,22
2,NCLH200320P00032500,2020-02-26 1:52PM EST,32.5,1.3,1.4,1.65,0.65,+100.00%,695,403,89.65,22
3,NCLH200320P00035000,2020-02-26 1:56PM EST,35.0,2.25,2.2,2.25,1.15,+104.55%,2349,821,80.76,22
4,NCLH200320P00037500,2020-02-26 1:33PM EST,37.5,3.0,3.2,3.4,1.33,+79.64%,1173,0,74.56,22
5,NCLH200320P00040000,2020-02-26 1:32PM EST,40.0,4.43,4.7,5.0,1.68,+61.09%,409,0,72.22,22
6,NCLH200320P00042500,2020-02-26 1:36PM EST,42.5,6.3,6.4,6.8,2.09,+49.64%,222,0,66.11,22
7,NCLH200320P00045000,2020-02-26 11:29AM EST,45.0,7.5,8.5,8.7,1.3,+20.97%,97,0,55.66,22
8,NCLH200320P00047500,2020-02-26 1:29PM EST,47.5,10.4,10.6,11.2,2.01,+23.96%,28,442,73.05,22
9,NCLH200320P00050000,2020-02-26 12:08PM EST,50.0,12.47,12.9,13.6,1.97,+18.76%,42,1017,75.78,22
10,NCLH200320P00052500,2020-02-26 11:06AM EST,52.5,14.3,15.3,16.2,1.3,+10.00%,14,453,92.68,22
11,NCLH200320P00055000,2020-02-24 3:28PM EST,55.0,16.0,17.4,19.0,0.63,+4.10%,5,0,119.92,22
12,NCLH200320P00057500,2020-02-21 2:06PM EST,57.5,10.5,18.8,22.8,0.0,-,1,14,183.01,22
13,NCLH200320P00060000,2020-02-25 12:35PM EST,60.0,19.2,21.1,25.4,0.0,-,2,0,196.29,22
14,NCLH200320P00062500,2020-02-25 9:37AM EST,62.5,20.25,23.7,27.8,0.0,-,2,0,201.86,22
15,NCLH200320P00070000,2020-02-26 12:12PM EST,70.0,32.4,31.3,35.3,19.0,+141.79%,1,0,226.27,22
