,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NDAQ200320P00070000,2020-02-20 11:52AM EST,70.0,0.05,0.0,0.05,0.0,-,7,57,72.66,22
1,NDAQ200320P00075000,2019-11-26 10:20AM EST,75.0,0.32,0.0,0.25,0.0,-,1,21,77.54,22
2,NDAQ200320P00080000,2020-02-26 9:30AM EST,80.0,0.1,0.0,0.05,0.0,-,1,10,53.91,22
3,NDAQ200320P00085000,2020-02-26 10:56AM EST,85.0,0.05,0.0,0.1,0.0,-,30,16,54.59,22
4,NDAQ200320P00090000,2020-02-25 3:34PM EST,90.0,0.1,0.05,0.1,0.01,+11.11%,3,0,45.12,22
5,NDAQ200320P00095000,2020-02-26 1:41PM EST,95.0,0.2,0.1,0.35,-0.05,-20.00%,2,65,45.7,22
6,NDAQ200320P00097500,2020-02-04 2:05PM EST,97.5,0.2,0.15,0.3,-0.13,-39.39%,3,0,38.92,22
7,NDAQ200320P00100000,2020-02-25 2:29PM EST,100.0,0.25,0.3,0.4,-0.2,-44.44%,2,0,36.13,22
8,NDAQ200320P00105000,2020-02-26 9:52AM EST,105.0,0.65,0.65,0.9,-0.2,-23.53%,16,524,32.74,22
9,NDAQ200320P00110000,2020-02-26 1:10PM EST,110.0,1.6,1.7,1.95,-0.55,-25.58%,27,905,29.44,22
10,NDAQ200320P00115000,2020-02-25 1:56PM EST,115.0,3.5,3.6,4.0,-0.9,-20.45%,2,0,26.6,22
11,NDAQ200320P00120000,2020-02-26 1:15PM EST,120.0,7.0,7.1,7.9,1.0,+16.67%,11,7,30.62,22
12,NDAQ200320P00130000,2020-02-19 1:52PM EST,130.0,13.9,16.4,17.9,0.0,-,-,0,51.64,22
0,NDAQ200417P00070000,2020-02-26 10:40AM EST,70.0,0.05,0.0,0.15,-0.03,-37.50%,1,11,56.25,50
1,NDAQ200417P00095000,2020-02-25 2:05PM EST,95.0,0.52,0.35,0.55,0.0,-,-,-,34.6,50
2,NDAQ200417P00100000,2020-02-26 9:57AM EST,100.0,0.7,0.6,0.75,-0.35,-33.33%,1,-,29.22,50
3,NDAQ200417P00110000,2020-02-25 1:57PM EST,110.0,2.85,2.15,2.45,0.0,-,-,-,23.19,50
4,NDAQ200417P00115000,2020-02-25 11:34AM EST,115.0,4.3,4.6,5.1,0.0,-,3,3,24.59,50
0,NDAQ200619P00070000,2020-02-24 11:58AM EST,70.0,0.05,0.0,0.15,0.0,-,2,0,41.7,113
1,NDAQ200619P00075000,2020-02-05 3:03PM EST,75.0,0.2,0.0,0.75,0.0,-,10,12,49.22,113
2,NDAQ200619P00080000,2020-02-03 11:13AM EST,80.0,0.27,0.25,0.4,0.0,-,3,16,37.38,113
3,NDAQ200619P00085000,2020-02-25 10:23AM EST,85.0,0.3,0.4,0.55,0.0,-,1,46,34.18,113
4,NDAQ200619P00090000,2020-02-25 3:17PM EST,90.0,0.8,0.65,0.8,0.0,-,3,45,31.47,113
5,NDAQ200619P00092500,2020-02-25 9:30AM EST,92.5,0.75,0.8,1.1,0.0,-,3,270,31.31,113
6,NDAQ200619P00095000,2020-02-14 10:07AM EST,95.0,0.63,1.05,1.25,0.0,-,10,31,29.46,113
7,NDAQ200619P00097500,2020-02-18 9:30AM EST,97.5,0.9,1.3,1.55,0.0,-,8,8,28.43,113
8,NDAQ200619P00100000,2020-02-24 10:55AM EST,100.0,1.35,1.6,1.95,0.0,-,1,261,27.61,113
9,NDAQ200619P00105000,2020-02-24 10:34AM EST,105.0,2.05,2.55,2.85,0.0,-,1,124,25.17,113
10,NDAQ200619P00110000,2020-02-24 11:56AM EST,110.0,4.3,3.9,4.4,0.0,-,1,0,23.72,113
11,NDAQ200619P00115000,2020-02-24 10:20AM EST,115.0,5.5,6.3,6.7,0.0,-,20,0,22.86,113
12,NDAQ200619P00120000,2020-02-25 3:42PM EST,120.0,10.38,9.1,10.0,0.0,-,13,20,23.41,113
13,NDAQ200619P00125000,2020-02-06 10:29AM EST,125.0,10.28,12.8,14.1,0.0,-,-,0,25.28,113
14,NDAQ200619P00135000,2020-01-10 9:41AM EST,135.0,27.73,20.2,21.9,0.0,-,3,4,18.65,113
0,NDAQ200918P00070000,2020-02-21 11:44AM EST,70.0,0.25,0.25,0.45,0.0,-,1,11,37.6,204
1,NDAQ200918P00080000,2020-02-12 10:19AM EST,80.0,0.5,0.55,0.8,0.0,-,1,2,32.52,204
2,NDAQ200918P00090000,2020-02-14 11:05AM EST,90.0,1.35,1.25,1.5,0.0,-,2,0,28.24,204
3,NDAQ200918P00095000,2020-02-26 9:45AM EST,95.0,1.99,1.85,2.1,-0.21,-9.55%,1,1,26.42,204
4,NDAQ200918P00100000,2020-02-14 11:05AM EST,100.0,1.97,2.7,3.0,0.0,-,1,22,24.96,204
5,NDAQ200918P00105000,2020-02-26 1:05PM EST,105.0,3.9,3.8,4.3,-0.5,-11.36%,20,10,23.8,204
6,NDAQ200918P00110000,2020-02-26 9:32AM EST,110.0,5.72,5.5,6.1,1.52,+36.19%,4,0,22.92,204
7,NDAQ200918P00115000,2020-02-24 11:47AM EST,115.0,7.94,7.4,8.3,0.74,+10.28%,1,0,21.8,204
8,NDAQ200918P00120000,2020-02-05 3:37PM EST,120.0,8.65,10.6,11.4,0.0,-,-,4,21.83,204
9,NDAQ200918P00130000,2020-02-26 10:30AM EST,130.0,17.9,17.9,18.8,1.0,+5.92%,4,4,21.5,204
