,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
2,NEE200320C00145000,2020-02-26 10:37AM EST,145.0,126.53,125.0,125.6,36.99,+41.31%,23,0,108.5,22
3,NEE200320C00150000,2020-02-26 10:37AM EST,150.0,121.55,119.5,121.4,28.86,+31.14%,15,3,91.21,22
4,NEE200320C00155000,2020-02-26 10:37AM EST,155.0,116.5,114.9,118.1,28.0,+31.64%,8,1,126.07,22
8,NEE200320C00175000,2020-02-26 10:42AM EST,175.0,96.64,95.6,96.0,39.5,+69.13%,16,0,86.08,22
9,NEE200320C00180000,2020-02-26 10:42AM EST,180.0,91.88,89.6,91.5,-10.03,-9.84%,6,10,71.58,22
10,NEE200320C00185000,2020-02-14 1:23PM EST,185.0,86.8,84.8,87.4,-6.8,-7.26%,10,0,83.69,22
11,NEE200320C00190000,2020-01-27 2:41PM EST,190.0,81.5,80.2,81.9,4.34,+5.62%,79,0,77.64,22
12,NEE200320C00195000,2020-01-22 10:13AM EST,195.0,64.17,80.2,83.3,0.0,-,12,0,128.78,22
13,NEE200320C00200000,2020-02-19 2:06PM EST,200.0,71.33,69.8,72.5,-4.5,-5.93%,2,0,69.8,22
14,NEE200320C00210000,2020-02-24 3:20PM EST,210.0,65.89,59.3,62.3,0.0,-,12,106,53.93,22
15,NEE200320C00220000,2020-02-24 3:28PM EST,220.0,50.95,50.1,50.9,0.55,+1.09%,6,0,47.27,22
16,NEE200320C00230000,2020-02-26 11:29AM EST,230.0,42.09,40.1,40.7,1.18,+2.88%,5,469,35.4,22
17,NEE200320C00240000,2020-02-26 11:53AM EST,240.0,30.98,30.6,31.2,0.56,+1.84%,8,0,33.62,22
18,NEE200320C00250000,2020-02-26 1:47PM EST,250.0,21.08,20.2,20.8,-1.7,-7.46%,197,2563,20.83,22
19,NEE200320C00260000,2020-02-26 12:08PM EST,260.0,12.07,12.0,12.4,-0.7,-5.48%,13,0,21.41,22
20,NEE200320C00270000,2020-02-26 12:27PM EST,270.0,5.85,5.3,5.7,0.55,+10.38%,32,3053,19.97,22
21,NEE200320C00280000,2020-02-26 1:33PM EST,280.0,2.15,1.7,2.0,0.35,+19.44%,196,0,19.67,22
22,NEE200320C00290000,2020-02-26 1:29PM EST,290.0,0.5,0.5,0.55,0.1,+25.00%,128,0,19.86,22
23,NEE200320C00300000,2020-02-26 1:11PM EST,300.0,0.1,0.05,0.1,0.0,-,55,0,19.58,22
24,NEE200320C00310000,2020-02-26 1:39PM EST,310.0,0.05,0.0,0.05,-0.01,-16.67%,2,463,22.56,22
0,NEE200417C00240000,2020-02-24 2:44PM EST,240.0,36.07,31.6,32.7,0.0,-,-,-,30.74,50
1,NEE200417C00250000,2020-02-26 11:43AM EST,250.0,23.9,21.7,22.5,-1.6,-6.27%,8,6,22.53,50
2,NEE200417C00260000,2020-02-26 10:44AM EST,260.0,14.92,13.9,14.7,-2.08,-12.24%,4,8,21.39,50
3,NEE200417C00270000,2020-02-26 10:21AM EST,270.0,8.64,8.3,8.7,0.54,+6.67%,74,-,20.94,50
4,NEE200417C00280000,2020-02-26 10:17AM EST,280.0,3.9,3.8,4.2,-0.42,-9.72%,110,-,19.62,50
5,NEE200417C00290000,2020-02-26 12:07PM EST,290.0,1.5,1.4,1.65,-0.15,-9.09%,10,32,18.63,50
6,NEE200417C00300000,2020-02-26 10:20AM EST,300.0,0.54,0.45,0.7,-0.01,-1.82%,2,-,19.2,50
7,NEE200417C00310000,2020-02-24 10:39AM EST,310.0,0.15,0.05,0.6,-0.5,-76.92%,1,-,22.85,50
8,NEE200417C00330000,2020-02-25 10:29AM EST,330.0,0.05,0.0,0.15,0.0,-,4,5,24.41,50
9,NEE200417C00340000,2020-02-24 9:41AM EST,340.0,0.3,0.0,0.15,0.0,-,-,2,27.49,50
0,NEE200619C00155000,2020-01-28 12:42PM EST,155.0,110.7,114.4,117.4,0.0,-,2,0,50.44,113
2,NEE200619C00175000,2020-02-06 12:58PM EST,175.0,97.58,94.7,96.0,2.58,+2.72%,16,0,41.82,113
3,NEE200619C00180000,2020-02-19 1:58PM EST,180.0,96.08,88.9,92.4,0.0,-,-,1,50.09,113
4,NEE200619C00185000,2020-02-25 1:19PM EST,185.0,88.2,84.4,87.6,0.0,-,6,3,48.43,113
5,NEE200619C00190000,2020-02-19 1:58PM EST,190.0,85.72,79.3,82.5,0.0,-,1,0,45.17,113
6,NEE200619C00195000,2020-02-19 3:52PM EST,195.0,83.2,74.2,77.7,0.0,-,1,0,43.48,113
7,NEE200619C00200000,2020-02-26 11:43AM EST,200.0,72.53,69.3,71.8,-1.27,-1.72%,1,0,36.21,113
8,NEE200619C00210000,2020-02-25 1:27PM EST,210.0,62.61,59.6,63.3,-0.84,-1.32%,6,0,38.01,113
9,NEE200619C00220000,2020-02-25 1:44PM EST,220.0,53.48,50.3,52.2,0.0,-,9,70,28.58,113
10,NEE200619C00230000,2020-02-25 2:05PM EST,230.0,43.39,41.3,42.8,0.19,+0.44%,2,81,25.93,113
11,NEE200619C00240000,2020-02-25 12:59PM EST,240.0,34.14,32.8,33.8,-1.36,-3.83%,2,0,23.72,113
12,NEE200619C00250000,2020-02-26 12:35PM EST,250.0,26.0,24.6,25.8,1.28,+5.18%,5,399,22.66,113
13,NEE200619C00260000,2020-02-25 9:50AM EST,260.0,18.2,17.7,18.8,0.0,-,10,0,21.85,113
14,NEE200619C00270000,2020-02-26 12:35PM EST,270.0,12.25,11.5,12.6,0.45,+3.81%,19,472,20.53,113
15,NEE200619C00280000,2020-02-26 12:47PM EST,280.0,7.55,7.1,7.8,0.55,+7.86%,39,1332,19.5,113
16,NEE200619C00290000,2020-02-26 1:10PM EST,290.0,4.2,3.9,4.4,0.2,+5.00%,64,441,18.64,113
17,NEE200619C00300000,2020-02-26 12:35PM EST,300.0,2.35,2.05,2.35,0.25,+11.90%,36,0,18.23,113
18,NEE200619C00310000,2020-02-26 11:40AM EST,310.0,1.1,0.95,1.2,0.1,+10.00%,22,0,18.06,113
19,NEE200619C00320000,2020-02-26 10:05AM EST,320.0,0.4,0.35,0.65,-0.1,-20.00%,27,0,18.37,113
20,NEE200619C00330000,2020-02-26 1:18PM EST,330.0,0.27,0.1,0.3,0.02,+8.00%,10,100,18.25,113
21,NEE200619C00340000,2020-02-26 1:22PM EST,340.0,0.12,0.0,0.3,0.02,+20.00%,10,0,20.47,113
0,NEE200918C00165000,2020-01-28 12:42PM EST,165.0,100.79,104.3,107.6,0.0,-,-,2,43.75,204
1,NEE200918C00210000,2020-02-24 3:20PM EST,210.0,66.89,61.3,63.9,0.0,-,12,89,29.45,204
2,NEE200918C00220000,2020-02-20 10:05AM EST,220.0,53.15,52.4,54.0,-3.44,-6.08%,14,8,25.67,204
3,NEE200918C00230000,2020-02-24 9:30AM EST,230.0,45.6,43.7,45.1,-1.4,-2.98%,1,10,23.99,204
4,NEE200918C00240000,2020-02-20 2:45PM EST,240.0,37.9,35.5,37.0,-1.33,-3.39%,3,0,23.09,204
5,NEE200918C00250000,2020-02-26 11:53AM EST,250.0,29.44,28.6,29.8,-3.81,-11.46%,5,0,22.61,204
6,NEE200918C00260000,2020-02-24 11:36AM EST,260.0,22.5,21.4,22.9,-4.1,-15.41%,2,0,21.49,204
7,NEE200918C00270000,2020-02-26 9:34AM EST,270.0,16.94,15.7,16.6,1.14,+7.22%,3,82,20.13,204
8,NEE200918C00280000,2020-02-26 10:32AM EST,280.0,11.8,10.8,11.9,0.4,+3.51%,201,908,19.61,204
9,NEE200918C00290000,2020-02-26 12:31PM EST,290.0,7.7,7.3,8.0,0.0,-,22,0,18.88,204
10,NEE200918C00300000,2020-02-26 11:49AM EST,300.0,4.95,4.7,5.1,-0.05,-1.00%,10,488,18.25,204
11,NEE200918C00310000,2020-02-24 11:14AM EST,310.0,3.4,2.9,3.3,0.0,-,2,159,18.13,204
12,NEE200918C00320000,2020-02-25 3:29PM EST,320.0,2.01,1.6,2.05,0.0,-,89,1325,17.99,204
13,NEE200918C00330000,2020-02-24 12:39PM EST,330.0,1.07,0.9,1.25,-0.04,-3.60%,101,0,17.92,204
14,NEE200918C00340000,2020-02-26 11:56AM EST,340.0,0.61,0.45,1.0,-0.09,-12.86%,1,173,18.97,204
15,NEE200918C00350000,2020-02-24 2:44PM EST,350.0,0.35,0.2,0.45,0.0,-,4,0,17.96,204
16,NEE200918C00360000,2020-02-06 10:06AM EST,360.0,0.13,0.1,0.4,0.0,-,-,10,19.17,204
17,NEE200918C00370000,2020-02-25 12:18PM EST,370.0,0.2,0.0,0.3,0.0,-,5,0,19.79,204
4,NEE210115C00115000,2020-01-24 1:08PM EST,115.0,147.0,160.0,164.6,0.0,-,-,0,75.34,323
11,NEE210115C00150000,2020-02-13 3:38PM EST,150.0,125.38,118.9,122.4,0.0,-,3,33,39.47,323
12,NEE210115C00155000,2020-02-26 10:59AM EST,155.0,117.86,113.8,117.3,17.66,+17.62%,8,0,37.13,323
15,NEE210115C00170000,2020-02-26 11:01AM EST,170.0,103.52,100.2,102.3,2.52,+2.50%,5,239,31.86,323
