,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NEE200320P00125000,2019-11-20 10:24AM EST,125.0,0.05,0.0,0.05,0.0,-,2,5,103.13,22
1,NEE200320P00130000,2019-08-20 12:51PM EST,130.0,0.52,0.0,0.4,0.0,-,-,1,122.85,22
2,NEE200320P00140000,2019-08-19 8:35AM EST,140.0,0.82,0.2,0.65,0.0,-,-,3,123.73,22
3,NEE200320P00145000,2019-10-16 8:30AM EST,145.0,0.65,0.05,0.25,0.0,-,1,0,102.15,22
4,NEE200320P00150000,2019-11-14 12:50PM EST,150.0,0.17,0.0,0.15,0.0,-,2,13,89.45,22
5,NEE200320P00155000,2019-11-27 1:06PM EST,155.0,0.25,0.0,0.15,0.0,-,2,12,84.96,22
6,NEE200320P00160000,2020-01-13 10:35AM EST,160.0,0.05,0.0,0.1,0.0,-,2,151,76.95,22
7,NEE200320P00165000,2019-09-24 11:04AM EST,165.0,0.87,0.25,0.65,0.0,-,10,16,96.63,22
8,NEE200320P00170000,2020-02-04 3:55PM EST,170.0,0.05,0.0,0.1,0.0,-,1,0,68.75,22
9,NEE200320P00175000,2020-01-14 11:08AM EST,175.0,0.05,0.0,0.1,0.0,-,5,56,64.84,22
10,NEE200320P00180000,2020-01-27 12:17PM EST,180.0,0.06,0.0,0.1,0.0,-,30,1006,60.94,22
11,NEE200320P00185000,2020-02-07 11:38AM EST,185.0,0.05,0.0,0.1,0.0,-,9,129,57.23,22
12,NEE200320P00190000,2020-01-29 10:19AM EST,190.0,0.1,0.0,0.1,0.0,-,2,0,53.52,22
13,NEE200320P00195000,2020-01-28 9:52AM EST,195.0,0.15,0.0,0.15,0.0,-,1,0,52.34,22
14,NEE200320P00200000,2020-02-18 10:43AM EST,200.0,0.05,0.0,0.15,0.0,-,10,0,53.22,22
15,NEE200320P00210000,2020-02-26 10:13AM EST,210.0,0.1,0.0,0.25,0.05,+100.00%,40,276,49.12,22
16,NEE200320P00220000,2020-02-24 9:46AM EST,220.0,0.1,0.05,0.15,0.0,-,1,2315,38.09,22
17,NEE200320P00230000,2020-02-19 3:55PM EST,230.0,0.2,0.1,0.2,0.0,-,51,0,32.32,22
18,NEE200320P00240000,2020-02-26 10:34AM EST,240.0,0.35,0.4,0.5,-0.05,-12.50%,165,0,29.83,22
19,NEE200320P00250000,2020-02-26 1:50PM EST,250.0,1.05,1.1,1.2,-0.05,-4.55%,317,737,27.27,22
20,NEE200320P00260000,2020-02-26 12:31PM EST,260.0,2.4,2.5,2.85,-0.35,-12.73%,212,1759,25.12,22
21,NEE200320P00270000,2020-02-26 1:15PM EST,270.0,5.5,6.1,6.5,-0.7,-11.29%,84,0,24.17,22
22,NEE200320P00280000,2020-02-26 12:31PM EST,280.0,11.6,12.4,12.9,-0.8,-6.45%,6,846,25.09,22
