,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NEM200228C00035500,2020-02-18 3:13PM EST,35.5,10.25,14.05,14.45,0.0,-,5,5,226.56,1
1,NEM200228C00037000,2020-02-18 12:09AM EST,37.0,7.25,12.50,12.9,0.0,-,-,4,190.63,1
2,NEM200228C00037500,2020-02-21 11:53AM EST,37.5,11.78,11.95,12.7,0.0,-,2,0,157.81,1
3,NEM200228C00038000,2020-02-18 10:35AM EST,38.0,7.05,11.50,11.95,0.0,-,16,16,188.28,1
4,NEM200228C00038500,2020-02-18 3:13PM EST,38.5,7.25,10.95,11.45,0.0,-,39,0,180.86,1
5,NEM200228C00039000,2020-02-24 10:09AM EST,39.0,11.86,10.25,10.9,0.0,-,30,13,162.11,1
6,NEM200228C00040000,2020-02-20 2:42PM EST,40.0,8.0,9.15,10.0,0.0,-,9,9,167.97,1
7,NEM200228C00040500,2020-01-24 11:35AM EST,40.5,3.9,8.35,9.6,0.0,-,4,4,175.78,1
8,NEM200228C00041000,2020-02-05 9:50AM EST,41.0,3.3,8.50,9.15,0.0,-,2,0,114.06,1
9,NEM200228C00041500,2020-02-21 11:17AM EST,41.5,7.8,8.05,8.4,0.0,-,3,0,127.34,1
10,NEM200228C00042000,2020-02-20 3:31PM EST,42.0,6.4,7.35,7.8,0.0,-,32,53,92.19,1
23,NEM200228C00048500,2020-02-26 10:47AM EST,48.5,1.07,1.29,1.32,-0.06,-5.31%,10,135,22.66,1
24,NEM200228C00049000,2020-02-26 12:35PM EST,49.0,0.94,0.90,0.93,-0.18,-16.07%,301,307,24.81,1
25,NEM200228C00049500,2020-02-26 1:42PM EST,49.5,0.61,0.59,0.62,0.0,-,116,548,26.37,1
26,NEM200228C00050000,2020-02-26 11:43AM EST,50.0,0.35,0.37,0.39,-0.07,-16.67%,125,771,27.54,1
27,NEM200228C00050500,2020-02-26 10:36AM EST,50.5,0.21,0.22,0.23,-0.04,-16.00%,70,0,28.42,1
28,NEM200228C00051000,2020-02-26 11:13AM EST,51.0,0.13,0.13,0.14,-0.06,-31.58%,184,358,30.08,1
29,NEM200228C00051500,2020-02-26 11:49AM EST,51.5,0.08,0.07,0.09,-0.08,-50.00%,94,0,32.42,1
30,NEM200228C00052000,2020-02-26 10:34AM EST,52.0,0.04,0.04,0.06,-0.04,-50.00%,84,481,34.77,1
31,NEM200228C00052500,2020-02-26 11:48AM EST,52.5,0.03,0.02,0.03,-0.02,-40.00%,35,1786,34.77,1
