,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NI200320P00022000,2020-02-25 3:47PM EST,22.0,0.14,-,0.6,0.0,-,-,-,101.37,22
1,NI200320P00023000,2020-02-25 3:42PM EST,23.0,0.58,0.00,0.1,0.57,"+5,700.00%",3,0,52.15,22
2,NI200320P00027000,2020-02-25 3:47PM EST,27.0,0.3,0.25,0.4,0.0,-,9,0,29.59,22
3,NI200320P00028000,2020-02-26 12:21PM EST,28.0,0.7,0.60,0.75,0.38,+118.75%,6,12,27.69,22
4,NI200320P00029000,2020-02-21 1:41PM EST,29.0,1.78,0.90,1.35,1.28,+256.00%,2,0,27.93,22
5,NI200320P00030000,2020-02-25 12:52PM EST,30.0,1.35,0.95,2.1,0.0,-,4,55,27.34,22
6,NI200320P00031000,2020-02-18 11:13AM EST,31.0,1.02,2.65,3.5,0.0,-,3,0,54.79,22
0,NI200417P00022000,2019-10-21 10:45AM EST,22.0,0.27,0.2,0.45,0.0,-,-,5,56.15,50
1,NI200417P00024000,2019-10-15 9:22AM EST,24.0,0.4,0.25,0.9,0.0,-,-,0,50.78,50
2,NI200417P00025000,2019-12-31 9:49AM EST,25.0,0.32,0.05,0.5,0.0,-,5,0,39.84,50
3,NI200417P00026000,2020-01-28 11:06AM EST,26.0,0.2,0.2,0.4,0.0,-,6,0,28.42,50
4,NI200417P00027000,2020-01-09 12:32PM EST,27.0,0.69,0.1,0.3,0.0,-,1,18,17.29,50
5,NI200417P00028000,2020-02-25 3:55PM EST,28.0,0.64,0.8,0.9,0.0,-,3,58,22.32,50
6,NI200417P00029000,2020-01-28 10:09AM EST,29.0,1.55,1.3,1.55,0.85,+121.43%,1,0,23.93,50
7,NI200417P00030000,2020-02-25 11:19AM EST,30.0,1.4,2.0,2.2,0.0,-,4,28,21.78,50
8,NI200417P00031000,2020-02-11 10:44AM EST,31.0,1.35,2.7,3.1,0.0,-,-,10,23.93,50
0,NI200717P00023000,2019-12-18 2:46PM EST,23.0,0.4,0.1,0.5,0.0,-,2,12,33.89,141
1,NI200717P00026000,2020-01-21 3:46PM EST,26.0,0.4,0.0,0.0,0.0,-,2,0,3.13,141
2,NI200717P00027000,2020-02-24 10:43AM EST,27.0,0.6,0.9,1.1,0.0,-,6,9,23.05,141
3,NI200717P00028000,2020-02-13 10:50AM EST,28.0,0.95,1.3,1.5,0.0,-,2,0,22.05,141
4,NI200717P00030000,2020-02-26 9:34AM EST,30.0,2.95,1.8,2.85,0.95,+47.50%,3,-,23.85,141
