,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NLOK200320C00014000,2020-02-13 12:28PM EST,14.0,6.95,5.30,5.5,0.0,-,2,0,73.44,22
1,NLOK200320C00015000,2020-02-24 1:50PM EST,15.0,5.0,4.20,4.45,0.0,-,138,0,25.0,22
2,NLOK200320C00016000,2020-02-21 10:29AM EST,16.0,4.8,3.20,3.45,0.0,-,5,0,25.0,22
3,NLOK200320C00017000,2020-02-11 12:58PM EST,17.0,3.97,2.36,2.73,0.0,-,1,62,58.98,22
4,NLOK200320C00018000,2020-02-21 12:22PM EST,18.0,2.05,1.59,1.88,0.55,+36.67%,1,0,51.76,22
5,NLOK200320C00019000,2020-02-25 3:41PM EST,19.0,0.82,0.93,1.06,0.0,-,65,0,41.5,22
6,NLOK200320C00020000,2020-02-26 1:21PM EST,20.0,0.67,0.53,0.57,0.2,+42.55%,79,0,40.43,22
7,NLOK200320C00021000,2020-02-26 10:24AM EST,21.0,0.4,0.23,0.32,0.17,+73.91%,16,0,42.97,22
8,NLOK200320C00022000,2020-02-26 1:55PM EST,22.0,0.1,0.08,0.22,-0.05,-33.33%,10,3083,48.63,22
9,NLOK200320C00023000,2020-02-24 3:59PM EST,23.0,0.05,0.03,0.14,0.0,-,42,0,51.95,22
10,NLOK200320C00024000,2020-02-26 9:42AM EST,24.0,0.05,0.02,0.08,0.0,-,7,0,53.52,22
11,NLOK200320C00025000,2020-02-24 1:42PM EST,25.0,0.04,0.01,0.04,0.0,-,8,231,53.52,22
12,NLOK200320C00026000,2020-01-30 2:34PM EST,26.0,0.09,0.00,0.12,0.0,-,529,0,64.84,22
13,NLOK200320C00027000,2020-01-31 3:46PM EST,27.0,1.69,1.64,2.08,-0.02,-1.17%,7,0,201.95,22
14,NLOK200320C00028000,2020-01-31 3:27PM EST,28.0,1.15,1.00,1.32,0.05,+4.55%,29,0,171.68,22
15,NLOK200320C00029000,2020-01-31 3:48PM EST,29.0,0.55,0.54,0.83,0.04,+7.84%,15,0,149.02,22
16,NLOK200320C00030000,2020-01-31 3:56PM EST,30.0,0.36,0.28,0.43,0.1,+38.46%,91,1264,129.3,22
17,NLOK200320C00031000,2020-01-31 3:39PM EST,31.0,0.16,0.15,0.2,0.0,-,40,0,115.04,22
18,NLOK200320C00032000,2020-01-31 9:52AM EST,32.0,0.08,0.08,0.14,0.02,+33.33%,6,195,110.16,22
19,NLOK200320C00033000,2020-01-23 2:25PM EST,33.0,0.05,0.02,0.11,0.0,-,-,0,105.47,22
20,NLOK200320C00034000,2020-01-17 11:47AM EST,34.0,0.03,0.01,0.08,0.0,-,1,4,103.91,22
21,NLOK200320C00035000,2020-01-17 1:16PM EST,35.0,0.03,0.00,0.02,0.0,-,-,0,89.06,22
22,NLOK200320C00040000,2020-01-21 11:19AM EST,40.0,0.04,-,0.04,0.0,-,-,-,125.78,22
0,NLOK200417C00015000,2020-02-20 3:49PM EST,15.0,5.6,4.40,4.5,0.0,-,100,0,40.82,50
1,NLOK200417C00016000,2020-02-14 9:54AM EST,16.0,4.73,3.45,3.55,0.0,-,1,0,37.89,50
2,NLOK200417C00017000,2020-02-18 9:47AM EST,17.0,3.15,2.59,2.9,-0.4,-11.27%,4,124,48.63,50
3,NLOK200417C00018000,2020-02-25 10:08AM EST,18.0,2.6,1.89,2.15,0.0,-,1,0,46.09,50
4,NLOK200417C00019000,2020-02-24 12:18PM EST,19.0,1.45,1.35,1.47,-0.31,-17.61%,21,0,42.58,50
5,NLOK200417C00020000,2020-02-26 12:04PM EST,20.0,1.05,0.87,0.94,0.26,+32.91%,8,0,40.23,50
6,NLOK200417C00021000,2020-02-25 3:43PM EST,21.0,0.76,0.58,0.66,0.24,+46.15%,64,0,42.38,50
7,NLOK200417C00022000,2020-02-26 12:45PM EST,22.0,0.39,0.32,0.46,-0.02,-4.88%,73,5152,44.14,50
8,NLOK200417C00023000,2020-02-25 1:43PM EST,23.0,0.23,0.19,0.26,0.0,-,1,0,42.58,50
9,NLOK200417C00024000,2020-02-24 12:18PM EST,24.0,0.25,0.08,0.26,0.0,-,3,0,49.32,50
10,NLOK200417C00025000,2020-02-26 11:56AM EST,25.0,0.12,0.08,0.17,0.0,-,6,0,49.41,50
11,NLOK200417C00026000,2020-02-24 3:53PM EST,26.0,0.07,0.01,0.24,0.0,-,20,0,51.07,50
12,NLOK200417C00027000,2020-01-28 3:26PM EST,27.0,1.46,1.51,2.14,0.0,-,80,0,135.89,50
13,NLOK200417C00028000,2020-01-31 2:34PM EST,28.0,1.2,0.86,1.35,0.15,+14.29%,51,0,114.4,50
14,NLOK200417C00029000,2020-01-31 3:18PM EST,29.0,0.81,0.42,1.25,0.21,+35.00%,312,0,108.4,50
15,NLOK200417C00030000,2020-01-30 3:15PM EST,30.0,0.4,0.12,0.53,0.09,+29.03%,2,271,85.74,50
16,NLOK200417C00031000,2020-01-30 2:12PM EST,31.0,0.15,0.00,0.53,0.0,-,1,342,85.74,50
17,NLOK200417C00032000,2020-01-27 1:18PM EST,32.0,0.06,0.06,0.31,0.0,-,76,0,83.01,50
18,NLOK200417C00033000,2020-01-24 1:12PM EST,33.0,0.03,-,0.14,0.0,-,-,-,82.03,50
19,NLOK200417C00034000,2020-01-27 3:31PM EST,34.0,0.03,0.00,0.13,0.0,-,-,0,75.0,50
20,NLOK200417C00035000,2020-01-22 10:13AM EST,35.0,0.02,0.01,0.08,0.0,-,5,13,73.83,50
0,NLOK200717C00012000,2020-02-24 12:21PM EST,12.0,8.04,7.35,8.0,0.0,-,9,0,57.42,141
1,NLOK200717C00015000,2020-02-14 3:40PM EST,15.0,5.8,4.65,4.9,0.0,-,1,0,44.58,141
2,NLOK200717C00016000,2020-02-25 2:31PM EST,16.0,3.9,3.9,4.1,0.0,-,1,0,43.12,141
3,NLOK200717C00017000,2020-02-12 1:44PM EST,17.0,4.29,3.15,3.35,0.0,-,1,0,41.41,141
4,NLOK200717C00018000,2020-02-26 12:49PM EST,18.0,2.8,2.55,2.79,-0.1,-3.45%,3,0,42.53,141
5,NLOK200717C00019000,2020-02-25 1:32PM EST,19.0,2.05,1.97,2.19,-0.09,-4.21%,20,0,40.87,141
6,NLOK200717C00020000,2020-02-26 9:30AM EST,20.0,1.53,1.54,1.73,0.23,+17.69%,52,0,40.58,141
7,NLOK200717C00021000,2020-02-21 1:21PM EST,21.0,1.85,1.21,1.4,0.0,-,25,70,41.41,141
8,NLOK200717C00022000,2020-02-24 2:12PM EST,22.0,1.24,0.95,1.1,0.0,-,30,0,41.46,141
9,NLOK200717C00022500,2020-01-21 12:38PM EST,22.5,6.15,5.65,6.2,0.0,-,1,0,145.43,141
10,NLOK200717C00023000,2020-02-21 2:26PM EST,23.0,1.13,0.7,0.83,0.0,-,6,0,40.87,141
11,NLOK200717C00024000,2020-02-26 12:59PM EST,24.0,0.59,0.51,0.67,-0.12,-16.90%,159,0,41.75,141
12,NLOK200717C00025000,2020-02-25 2:30PM EST,25.0,0.44,0.38,0.54,0.0,-,5,0,42.48,141
13,NLOK200717C00026000,2020-02-26 12:51PM EST,26.0,0.35,0.25,0.34,-0.12,-25.53%,262,0,39.94,141
14,NLOK200717C00030000,2020-01-31 2:33PM EST,30.0,0.8,0.78,1.01,0.13,+19.40%,1202,0,70.22,141
15,NLOK200717C00035000,2020-01-30 9:30AM EST,35.0,0.08,0.08,0.16,0.04,+100.00%,200,0,52.15,141
0,NLOK201016C00016000,2020-02-24 10:13AM EST,16.0,4.9,3.95,4.4,0.0,-,-,0,40.38,232
1,NLOK201016C00022000,2020-02-25 1:38PM EST,22.0,1.43,1.32,1.65,0.0,-,-,-,41.6,232
2,NLOK201016C00024000,2020-02-25 11:56AM EST,24.0,1.03,0.88,1.14,0.0,-,-,-,41.5,232
3,NLOK201016C00029000,2020-02-25 12:15PM EST,29.0,0.36,0.26,0.44,0.0,-,-,-,41.6,232
0,NLOK201218C00008000,2020-02-10 9:34AM EST,8.0,12.04,11.1,11.8,0.0,-,1,0,74.41,295
1,NLOK201218C00015000,2020-02-07 12:28PM EST,15.0,5.25,5.05,5.3,0.0,-,200,0,40.14,295
2,NLOK201218C00017000,2020-02-24 10:44AM EST,17.0,3.9,3.65,3.95,0.0,-,2,0,38.97,295
3,NLOK201218C00020000,2020-02-21 3:28PM EST,20.0,2.5,2.07,2.52,0.0,-,19,0,39.45,295
4,NLOK201218C00022000,2020-02-24 10:49AM EST,22.0,1.9,1.42,1.82,0.0,-,1,0,39.4,295
5,NLOK201218C00025000,2020-02-19 9:45AM EST,25.0,1.25,0.82,1.1,0.0,-,2,0,39.43,295
6,NLOK201218C00030000,2020-01-27 12:32PM EST,30.0,0.8,0.67,1.35,0.0,-,5,0,50.88,295
7,NLOK201218C00035000,2020-01-30 2:12PM EST,35.0,0.12,0.07,0.2,0.0,-,4,0,39.94,295
1,NLOK210115C00010000,2019-11-27 12:12PM EST,10.0,14.81,13.1,18.0,0.0,-,-,14,225.59,323
2,NLOK210115C00015000,2020-02-19 3:55PM EST,15.0,6.15,4.8,5.3,0.0,-,7,0,38.36,323
3,NLOK210115C00017000,2020-02-10 9:36AM EST,17.0,3.85,3.6,4.0,0.0,-,1,0,38.04,323
4,NLOK210115C00020000,2020-02-25 3:31PM EST,20.0,2.27,2.3,2.58,0.0,-,25,4185,38.53,323
5,NLOK210115C00022000,2020-02-24 11:06AM EST,22.0,1.9,1.36,1.81,0.0,-,1,0,37.53,323
6,NLOK210115C00025000,2020-02-24 11:49AM EST,25.0,1.05,0.77,1.07,0.0,-,5,659,37.21,323
7,NLOK210115C00027000,2020-01-30 1:55PM EST,27.0,2.35,2.2,3.45,0.0,-,7,6247,68.56,323
8,NLOK210115C00030000,2020-01-31 3:35PM EST,30.0,1.32,0.7,1.5,0.38,+40.43%,61,13462,50.2,323
9,NLOK210115C00032000,2020-01-31 12:28PM EST,32.0,0.55,0.24,0.75,0.06,+12.24%,55,0,47.71,323
10,NLOK210115C00035000,2020-01-31 3:31PM EST,35.0,0.17,0.1,0.17,0.05,+41.67%,415,0,36.91,323
11,NLOK210115C00037000,2020-01-30 11:20AM EST,37.0,0.09,0.04,0.07,0.0,-,20,1034,33.89,323
12,NLOK210115C00040000,2020-01-30 12:33PM EST,40.0,0.01,0.01,0.07,0.0,-,260,0,37.11,323
0,NLOK220121C00008000,2020-02-25 12:24PM EST,8.0,11.75,11.2,12.15,0.0,-,1,0,59.72,694
1,NLOK220121C00010000,2020-02-18 1:16PM EST,10.0,10.55,9.25,10.1,0.0,-,1,0,45.9,694
2,NLOK220121C00015000,2020-02-19 3:25PM EST,15.0,6.7,5.15,5.8,0.0,-,9,0,32.86,694
3,NLOK220121C00017000,2020-02-18 3:37PM EST,17.0,5.3,4.0,4.6,0.0,-,10,0,32.45,694
4,NLOK220121C00020000,2020-02-24 3:44PM EST,20.0,2.86,2.51,3.15,0.0,-,2,0,31.69,694
5,NLOK220121C00022000,2020-02-07 12:28PM EST,22.0,2.5,1.67,2.41,0.0,-,1,0,31.28,694
6,NLOK220121C00025000,2020-02-21 3:50PM EST,25.0,1.6,1.02,1.61,-0.06,-3.61%,12,72,31.01,694
7,NLOK220121C00027000,2020-01-28 12:22PM EST,27.0,3.0,1.98,3.5,0.0,-,5,39,53.2,694
8,NLOK220121C00030000,2020-01-28 12:21PM EST,30.0,1.48,1.6,2.2,0.18,+13.85%,13,34,46.02,694
