,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NLOK200320P00013000,2020-02-12 12:49PM EST,13.0,0.05,0.0,0.08,0.0,-,1,0,83.59,22
1,NLOK200320P00014000,2020-02-07 3:33PM EST,14.0,0.06,0.0,0.08,0.0,-,4,0,70.31,22
2,NLOK200320P00015000,2020-02-25 3:57PM EST,15.0,0.02,0.0,0.04,0.0,-,130,0,50.78,22
3,NLOK200320P00016000,2020-02-26 9:43AM EST,16.0,0.05,0.04,0.04,0.0,-,24,1610,45.31,22
4,NLOK200320P00017000,2020-02-25 3:37PM EST,17.0,0.17,0.05,0.18,0.0,-,301,0,50.39,22
5,NLOK200320P00018000,2020-02-25 3:36PM EST,18.0,0.36,0.19,0.31,0.0,-,13,0,44.14,22
6,NLOK200320P00019000,2020-02-26 12:02PM EST,19.0,0.51,0.6,0.68,-0.24,-32.00%,72,2545,45.12,22
7,NLOK200320P00020000,2020-02-26 12:53PM EST,20.0,1.05,1.07,1.25,-0.25,-19.23%,18,0,47.07,22
8,NLOK200320P00021000,2020-02-21 3:50PM EST,21.0,1.54,1.81,1.99,0.0,-,5,0,50.1,22
9,NLOK200320P00022000,2020-02-21 10:15AM EST,22.0,1.8,2.59,2.9,0.0,-,5,0,57.91,22
13,NLOK200320P00026000,2020-01-31 3:09PM EST,26.0,5.43,6.55,6.75,0.0,-,148,0,71.48,22
0,NLOK200417P00011000,2020-02-07 3:13PM EST,11.0,0.05,0.00,0.08,0.0,-,10,0,77.34,50
1,NLOK200417P00015000,2020-02-25 2:14PM EST,15.0,0.09,0.02,0.14,0.0,-,299,0,51.56,50
2,NLOK200417P00016000,2020-01-17 10:29AM EST,16.0,0.02,-,0.03,0.0,-,-,10,29.3,50
3,NLOK200417P00017000,2020-02-24 11:55AM EST,17.0,0.25,0.27,0.34,0.0,-,1,0,43.16,50
4,NLOK200417P00018000,2020-02-25 10:20AM EST,18.0,0.55,0.51,0.64,0.0,-,14,0,43.75,50
5,NLOK200417P00019000,2020-02-26 9:30AM EST,19.0,1.04,0.94,1.07,0.14,+15.56%,1,0,44.34,50
6,NLOK200417P00020000,2020-02-26 12:08PM EST,20.0,1.42,1.47,1.65,0.22,+18.33%,2,0,45.75,50
7,NLOK200417P00021000,2020-02-25 3:52PM EST,21.0,2.3,2.05,2.34,0.0,-,15,0,47.17,50
0,NLOK200717P00015000,2020-02-18 12:11AM EST,15.0,0.23,0.32,0.41,0.0,-,-,0,43.16,141
1,NLOK200717P00016000,2020-02-10 9:44AM EST,16.0,0.35,0.53,0.63,0.0,-,2,0,42.53,141
2,NLOK200717P00017000,2020-02-26 9:30AM EST,17.0,0.86,0.77,0.95,0.16,+22.86%,40,0,42.68,141
3,NLOK200717P00017500,2019-11-21 10:54AM EST,17.5,0.15,0.03,0.23,0.0,-,-,5,19.14,141
4,NLOK200717P00018000,2020-02-25 2:39PM EST,18.0,1.05,1.2,1.36,-0.24,-18.60%,1,27,42.97,141
5,NLOK200717P00019000,2020-02-26 9:30AM EST,19.0,1.65,1.67,1.81,0.36,+27.91%,5,0,42.36,141
