,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NLSN200320P00018000,2020-02-26 12:09PM EST,18.0,0.3,0.25,0.4,-0.06,-16.67%,2,0,56.84,22
1,NLSN200320P00019000,2020-02-26 10:21AM EST,19.0,0.5,0.5,0.65,-0.05,-9.09%,10,0,54.59,22
2,NLSN200320P00020000,2020-02-26 1:05PM EST,20.0,0.9,0.9,1.0,0.1,+12.50%,1022,0,52.44,22
3,NLSN200320P00021000,2020-02-25 1:44PM EST,21.0,1.15,1.4,1.55,-0.15,-11.54%,2,0,50.78,22
4,NLSN200320P00022000,2020-02-26 1:17PM EST,22.0,2.2,2.1,2.35,0.1,+4.76%,103,4328,53.71,22
5,NLSN200320P00023000,2020-02-13 11:37AM EST,23.0,1.87,2.85,3.1,0.0,-,1,0,50.59,22
6,NLSN200320P00024000,2020-02-20 3:47PM EST,24.0,2.15,3.7,4.1,0.0,-,-,0,54.49,22
0,NLSN200417P00017000,2020-02-25 12:47PM EST,17.0,0.15,0.15,0.3,0.0,-,-,-,48.24,50
1,NLSN200417P00018000,2020-02-26 12:10PM EST,18.0,0.4,0.4,0.5,0.05,+14.29%,2,0,46.63,50
2,NLSN200417P00020000,2020-02-25 1:44PM EST,20.0,1.0,0.8,1.0,0.0,-,-,-,37.31,50
3,NLSN200417P00021000,2020-02-25 1:44PM EST,21.0,1.5,1.25,1.45,0.0,-,-,-,33.64,50
0,NLSN200515P00013000,2020-01-21 12:02AM EST,13.0,0.05,-,0.0,0.0,-,-,0,25.0,78
1,NLSN200515P00015000,2019-10-24 2:41PM EST,15.0,0.35,0.20,0.4,0.0,-,-,7,57.03,78
2,NLSN200515P00016000,2020-01-15 3:42PM EST,16.0,0.17,0.10,0.2,0.0,-,10,26,42.19,78
3,NLSN200515P00017000,2019-12-11 11:47AM EST,17.0,0.6,0.35,0.5,0.0,-,20,0,47.41,78
4,NLSN200515P00018000,2020-02-26 1:02PM EST,18.0,0.7,0.60,0.75,0.3,+75.00%,250,24,46.09,78
5,NLSN200515P00019000,2020-02-24 10:18AM EST,19.0,0.58,0.90,1.05,0.0,-,402,0,43.9,78
6,NLSN200515P00020000,2020-02-25 9:45AM EST,20.0,0.95,1.30,1.45,0.0,-,1,0,42.14,78
7,NLSN200515P00021000,2020-02-14 11:00AM EST,21.0,1.2,1.85,2.05,0.0,-,3,0,43.16,78
9,NLSN200515P00023000,2020-02-18 1:13PM EST,23.0,2.22,3.10,3.4,0.0,-,4,0,42.14,78
10,NLSN200515P00024000,2020-02-25 3:34PM EST,24.0,4.08,4.00,4.2,0.0,-,2,0,42.09,78
11,NLSN200515P00025000,2019-09-25 8:49AM EST,25.0,4.2,5.10,5.8,0.0,-,-,0,56.49,78
12,NLSN200515P00026000,2019-11-08 9:35AM EST,26.0,6.35,5.60,6.6,0.0,-,7,11,67.04,78
13,NLSN200515P00028000,2019-11-06 12:20PM EST,28.0,8.4,6.60,9.3,0.0,-,1,0,50.49,78
14,NLSN200515P00029000,2019-09-24 2:52PM EST,29.0,7.5,8.40,9.5,0.0,-,-,0,54.3,78
15,NLSN200515P00031000,2019-09-26 10:49AM EST,31.0,9.8,10.00,11.6,0.0,-,-,0,90.63,78
0,NLSN200821P00014000,2019-12-31 10:22AM EST,14.0,0.15,0.1,0.25,0.0,-,-,0,42.38,176
1,NLSN200821P00015000,2020-01-27 2:21PM EST,15.0,0.27,0.35,0.5,0.0,-,-,10,45.31,176
2,NLSN200821P00016000,2020-02-13 2:57PM EST,16.0,0.35,0.5,0.7,0.0,-,-,0,44.09,176
3,NLSN200821P00018000,2020-02-26 1:18PM EST,18.0,1.05,0.6,1.2,0.38,+56.72%,11,0,40.48,176
4,NLSN200821P00019000,2020-01-30 10:00AM EST,19.0,0.85,1.35,1.55,0.0,-,1,0,38.99,176
5,NLSN200821P00020000,2020-02-13 2:57PM EST,20.0,1.2,1.8,1.95,0.0,-,1,0,37.23,176
6,NLSN200821P00021000,2020-02-24 9:32AM EST,21.0,1.86,2.3,2.55,0.0,-,3,14,37.79,176
7,NLSN200821P00023000,2020-02-18 12:12AM EST,23.0,2.75,3.5,3.8,0.0,-,-,0,36.11,176
8,NLSN200821P00024000,2020-02-19 11:19AM EST,24.0,3.32,4.3,4.7,0.0,-,-,0,38.92,176
9,NLSN200821P00025000,2019-12-30 12:05AM EST,25.0,5.2,4.7,5.1,0.0,-,17,0,29.49,176
0,NLSN210115P00013000,2020-01-27 2:21PM EST,13.0,0.24,0.35,0.55,0.0,-,1,23,45.9,323
1,NLSN210115P00015000,2020-02-13 12:14PM EST,15.0,0.4,0.65,0.9,0.0,-,1,0,42.38,323
