,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NOC200228C00300000,2020-02-25 12:43PM EST,300.0,49.0,35.0,40.0,0.0,-,2,2,104.69,1
1,NOC200228C00330000,2020-02-25 6:54PM EST,330.0,14.3,8.8,9.5,0.0,-,-,7,31.35,1
2,NOC200228C00335000,2020-02-26 11:49AM EST,335.0,10.6,5.4,6.1,1.6,+17.78%,1,1,33.55,1
3,NOC200228C00340000,2020-02-26 11:36AM EST,340.0,4.58,2.7,3.5,-8.09,-63.85%,8,0,34.13,1
4,NOC200228C00342500,2020-02-25 6:54PM EST,342.5,5.03,6.3,7.0,0.0,-,-,-,68.87,1
5,NOC200228C00345000,2020-02-26 12:33PM EST,345.0,3.2,1.35,1.85,-0.5,-13.51%,11,14,35.06,1
6,NOC200228C00347500,2020-02-26 9:41AM EST,347.5,2.05,0.85,1.2,-0.95,-31.67%,9,0,34.35,1
7,NOC200228C00350000,2020-02-26 1:53PM EST,350.0,0.73,0.5,0.75,-1.43,-66.20%,63,36,33.89,1
8,NOC200228C00352500,2020-02-25 1:42PM EST,352.5,1.49,0.35,0.5,-0.38,-20.32%,1,0,34.47,1
9,NOC200228C00355000,2020-02-26 11:04AM EST,355.0,1.0,0.2,0.35,0.2,+25.00%,3,0,35.6,1
10,NOC200228C00357500,2020-02-26 11:35AM EST,357.5,0.2,0.0,0.15,-0.52,-72.22%,24,56,33.4,1
11,NOC200228C00360000,2020-02-25 12:02PM EST,360.0,0.4,0.1,0.2,-0.42,-51.22%,7,0,38.77,1
12,NOC200228C00362500,2020-02-25 3:23PM EST,362.5,0.1,0.05,0.15,-0.1,-50.00%,3,45,40.23,1
13,NOC200228C00365000,2020-02-25 1:23PM EST,365.0,0.1,0.0,0.15,-0.05,-33.33%,92,0,43.46,1
14,NOC200228C00367500,2020-02-26 9:41AM EST,367.5,0.55,0.0,0.95,0.39,+243.75%,1,0,58.06,1
15,NOC200228C00370000,2020-02-26 12:33PM EST,370.0,0.05,0.0,0.1,-0.09,-64.29%,1,109,46.88,1
16,NOC200228C00372500,2020-02-26 9:30AM EST,372.5,0.1,0.0,0.1,0.0,-,2,0,49.9,1
17,NOC200228C00375000,2020-02-26 10:02AM EST,375.0,0.31,0.0,0.2,0.3,"+3,000.00%",10,284,52.83,1
18,NOC200228C00377500,2020-02-26 10:02AM EST,377.5,0.24,0.05,0.1,-0.06,-20.00%,12,62,53.52,1
19,NOC200228C00380000,2020-02-26 12:18PM EST,380.0,0.05,0.0,0.05,-0.2,-80.00%,1,0,53.52,1
20,NOC200228C00382500,2020-02-24 3:25PM EST,382.5,0.17,0.0,0.85,0.0,-,3,40,77.64,1
21,NOC200228C00385000,2020-02-19 10:11AM EST,385.0,0.3,0.0,3.8,0.0,-,7,15,113.84,1
22,NOC200228C00387500,2020-02-18 9:59AM EST,387.5,0.35,0.0,0.95,0.0,-,10,20,85.94,1
23,NOC200228C00390000,2020-02-20 3:06PM EST,390.0,0.13,0.0,4.0,0.0,-,10,16,123.54,1
24,NOC200228C00395000,2020-02-19 3:57PM EST,395.0,0.12,0.0,4.3,0.0,-,1,19,133.94,1
