,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NOV200228C00013500,2020-02-03 10:11AM EST,13.5,7.45,5.95,6.1,0.0,-,-,0,181.25,1
1,NOV200228C00014000,2020-02-10 12:00AM EST,14.0,6.95,5.4,5.65,0.0,-,-,0,218.75,1
2,NOV200228C00014500,2020-02-03 11:33AM EST,14.5,6.25,4.9,5.1,0.0,-,-,4,150.0,1
3,NOV200228C00015500,2020-02-05 10:23AM EST,15.5,6.9,3.9,4.15,0.0,-,-,4,161.72,1
4,NOV200228C00020000,2020-02-07 11:24AM EST,20.0,4.3,0.18,0.24,0.0,-,1,1,53.13,1
5,NOV200228C00020500,2020-02-19 2:39PM EST,20.5,2.95,0.07,0.13,0.0,-,5,0,55.47,1
6,NOV200228C00021000,2020-02-18 3:06PM EST,21.0,0.45,0.0,0.07,0.0,-,1,11,53.91,1
7,NOV200228C00021500,2020-02-25 3:11PM EST,21.5,0.11,0.0,0.04,0.0,-,15,0,60.16,1
8,NOV200228C00022000,2020-02-24 11:09AM EST,22.0,0.71,0.0,0.06,0.0,-,5,0,77.34,1
9,NOV200228C00022500,2020-02-25 12:01PM EST,22.5,0.07,0.0,0.05,0.0,-,2,0,85.94,1
10,NOV200228C00023000,2020-02-25 12:01PM EST,23.0,0.02,0.0,0.06,0.0,-,3,45,100.0,1
11,NOV200228C00023500,2020-02-21 3:51PM EST,23.5,0.13,0.0,0.05,0.0,-,1,0,107.81,1
12,NOV200228C00024000,2020-02-24 3:51PM EST,24.0,0.03,0.0,0.05,0.0,-,5,75,117.19,1
13,NOV200228C00024500,2020-02-21 3:57PM EST,24.5,0.12,0.0,0.03,0.0,-,2,0,117.19,1
14,NOV200228C00025000,2020-02-18 12:00PM EST,25.0,0.02,0.0,0.01,0.0,-,1,0,109.38,1
15,NOV200228C00025500,2020-02-18 12:00PM EST,25.5,0.01,0.0,0.05,0.0,-,1,3,145.31,1
16,NOV200228C00026000,2020-01-28 10:00AM EST,26.0,0.04,0.0,0.05,0.0,-,8,0,154.69,1
0,NOV200306C00020500,2020-02-06 1:10PM EST,20.5,0.82,0.34,0.4,0.0,-,3,0,55.66,8
1,NOV200306C00021000,2020-02-07 3:23PM EST,21.0,0.75,0.22,0.28,0.0,-,3,0,56.25,8
2,NOV200306C00021500,2020-01-31 11:52AM EST,21.5,0.74,0.13,0.19,0.0,-,12,11,56.25,8
3,NOV200306C00022000,2020-02-25 1:43PM EST,22.0,0.1,0.07,0.11,-0.2,-66.67%,1,33,54.88,8
4,NOV200306C00022500,2020-02-26 9:30AM EST,22.5,0.2,0.04,0.06,0.03,+17.65%,3,22,54.3,8
5,NOV200306C00023000,2020-02-24 2:58PM EST,23.0,0.38,0.01,0.05,0.0,-,10,0,54.69,8
6,NOV200306C00023500,2020-02-19 3:38PM EST,23.5,0.31,0.0,0.05,0.0,-,10,0,58.59,8
7,NOV200306C00024000,2020-02-07 12:01PM EST,24.0,1.16,0.0,0.07,0.0,-,22,22,67.97,8
8,NOV200306C00024500,2020-02-25 11:48AM EST,24.5,0.05,0.0,0.06,0.0,-,18,0,71.88,8
9,NOV200306C00025000,2020-02-18 12:14AM EST,25.0,0.3,0.0,0.06,0.0,-,-,0,76.56,8
10,NOV200306C00026000,2020-02-07 3:59PM EST,26.0,0.33,0.0,0.05,0.0,-,7,7,84.38,8
0,NOV200313C00022500,2020-02-18 12:14AM EST,22.5,0.99,0.08,0.14,0.0,-,-,57,50.39,15
1,NOV200313C00023000,2020-02-24 10:51AM EST,23.0,0.6,0.05,0.1,0.0,-,3,81,50.98,15
2,NOV200313C00023500,2020-02-18 12:14AM EST,23.5,0.65,0.02,0.07,0.0,-,-,196,50.39,15
3,NOV200313C00024000,2020-02-24 10:22AM EST,24.0,0.3,0.0,0.06,0.0,-,10,28,50.78,15
4,NOV200313C00024500,2020-02-12 11:40AM EST,24.5,0.65,0.0,0.06,0.0,-,-,12,55.08,15
