,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NOW200228P00230000,2020-01-30 10:02AM EST,230.0,0.83,0.0,0.65,0.0,-,-,1,197.66,1
1,NOW200228P00235000,2020-01-30 9:33AM EST,235.0,1.11,0.0,0.0,0.0,-,2,0,50.0,1
2,NOW200228P00240000,2020-01-30 9:33AM EST,240.0,1.13,0.0,0.0,0.0,-,2,0,50.0,1
3,NOW200228P00250000,2020-02-24 10:33AM EST,250.0,0.05,0.0,0.3,0.0,-,1,0,142.19,1
4,NOW200228P00255000,2020-02-25 3:37PM EST,255.0,0.05,0.0,0.5,0.0,-,1,3,143.55,1
5,NOW200228P00260000,2020-02-13 11:47AM EST,260.0,0.63,0.0,0.5,0.0,-,1,0,134.57,1
6,NOW200228P00265000,2020-02-25 10:25AM EST,265.0,0.05,0.0,0.5,0.0,-,1,20,125.78,1
7,NOW200228P00270000,2020-02-21 3:01PM EST,270.0,0.05,0.0,0.4,0.0,-,1,36,113.09,1
8,NOW200228P00272500,2020-02-13 10:06AM EST,272.5,1.0,0.0,0.3,0.0,-,1,0,104.49,1
9,NOW200228P00275000,2020-02-24 12:44PM EST,275.0,0.2,0.0,0.3,0.0,-,23,0,100.39,1
10,NOW200228P00277500,2020-01-21 1:06PM EST,277.5,3.2,0.0,0.0,0.0,-,2,0,50.0,1
11,NOW200228P00280000,2020-02-10 1:34PM EST,280.0,0.48,0.0,0.3,0.0,-,1,0,92.38,1
12,NOW200228P00282500,2020-01-30 9:33AM EST,282.5,1.35,0.0,0.0,0.0,-,2,0,50.0,1
13,NOW200228P00285000,2020-01-24 11:59AM EST,285.0,0.38,0.0,0.8,0.0,-,20,0,99.02,1
14,NOW200228P00287500,2020-02-06 1:34PM EST,287.5,0.47,0.0,0.35,0.0,-,2,8,82.23,1
15,NOW200228P00290000,2020-02-20 12:29PM EST,290.0,0.25,0.0,0.15,0.0,-,1,25,69.34,1
16,NOW200228P00295000,2020-02-25 9:48AM EST,295.0,0.2,0.0,0.85,0.0,-,1,39,82.03,1
17,NOW200228P00297500,2020-02-24 2:27PM EST,297.5,0.45,0.0,1.05,0.0,-,14,0,80.96,1
18,NOW200228P00300000,2020-02-25 11:37AM EST,300.0,0.2,0.05,0.35,-0.42,-67.74%,12,0,63.67,1
19,NOW200228P00302500,2020-02-24 2:22PM EST,302.5,0.2,0.2,0.45,-0.27,-57.45%,14,0,65.04,1
20,NOW200228P00305000,2020-02-25 3:42PM EST,305.0,0.3,0.35,0.5,-0.65,-68.42%,1,29,64.06,1
21,NOW200228P00307500,2020-02-25 3:33PM EST,307.5,0.3,0.5,0.65,-0.82,-73.21%,1,40,63.67,1
22,NOW200228P00310000,2020-02-25 2:58PM EST,310.0,0.25,0.65,0.75,-0.9,-78.26%,35,0,61.82,1
23,NOW200228P00312500,2020-02-26 1:05PM EST,312.5,0.47,0.85,0.95,-0.9,-65.69%,2,33,60.84,1
24,NOW200228P00315000,2020-02-26 10:13AM EST,315.0,0.69,1.05,1.2,-1.03,-59.88%,25,0,59.42,1
25,NOW200228P00317500,2020-02-25 9:48AM EST,317.5,0.55,1.35,1.55,-1.77,-76.29%,7,0,58.69,1
26,NOW200228P00320000,2020-02-26 1:18PM EST,320.0,1.23,1.8,2.0,-1.67,-57.59%,28,0,58.55,1
27,NOW200228P00322500,2020-02-26 1:45PM EST,322.5,2.7,2.15,2.4,-0.18,-6.25%,126,76,56.49,1
28,NOW200228P00325000,2020-02-26 12:32PM EST,325.0,1.7,2.85,3.1,-2.9,-63.04%,65,0,56.89,1
29,NOW200228P00327500,2020-02-26 1:45PM EST,327.5,4.2,3.6,3.8,-1.1,-20.75%,35,0,56.27,1
30,NOW200228P00330000,2020-02-26 1:58PM EST,330.0,4.4,4.5,4.8,-2.9,-39.73%,155,1770,56.49,1
31,NOW200228P00332500,2020-02-26 1:39PM EST,332.5,5.8,5.5,5.8,-1.9,-24.68%,115,100,55.93,1
32,NOW200228P00335000,2020-02-26 12:24PM EST,335.0,6.0,6.6,7.0,-4.0,-40.00%,36,0,55.42,1
33,NOW200228P00337500,2020-02-26 12:19PM EST,337.5,6.8,7.9,8.4,-3.7,-35.24%,27,92,55.35,1
34,NOW200228P00340000,2020-02-26 1:42PM EST,340.0,10.6,9.9,10.5,-1.1,-9.40%,129,150,60.02,1
35,NOW200228P00342500,2020-02-25 2:47PM EST,342.5,6.1,11.4,12.0,-9.1,-59.87%,13,0,58.98,1
36,NOW200228P00345000,2020-02-25 3:52PM EST,345.0,10.5,13.5,14.5,-6.2,-37.13%,7,0,64.21,1
37,NOW200228P00347500,2020-02-25 2:33PM EST,347.5,18.6,15.7,16.1,0.0,-,12,50,65.01,1
38,NOW200228P00350000,2020-02-26 1:20PM EST,350.0,18.77,17.9,19.0,-3.23,-14.68%,15,0,71.68,1
39,NOW200228P00352500,2020-02-26 1:22PM EST,352.5,18.12,20.0,20.5,-0.18,-0.98%,4,0,70.04,1
40,NOW200228P00355000,2020-02-26 1:46PM EST,355.0,23.96,22.6,23.6,0.66,+2.83%,8,173,79.52,1
41,NOW200228P00357500,2020-02-26 9:37AM EST,357.5,20.72,23.2,26.2,-3.48,-14.38%,10,87,74.07,1
42,NOW200228P00360000,2020-02-24 3:53PM EST,360.0,20.9,25.6,27.8,-5.7,-21.43%,2,0,72.05,1
43,NOW200228P00362500,2020-02-26 9:37AM EST,362.5,25.52,27.5,30.4,-6.98,-21.48%,10,0,72.71,1
44,NOW200228P00365000,2020-02-21 9:37AM EST,365.0,16.2,30.4,33.8,0.0,-,3,0,87.16,1
45,NOW200228P00367500,2020-02-18 12:00AM EST,367.5,23.4,33.3,36.7,0.0,-,1,0,97.44,1
46,NOW200228P00370000,2020-02-20 1:23PM EST,370.0,19.8,35.4,39.1,0.0,-,1,0,98.49,1
47,NOW200228P00377500,2020-02-20 9:53AM EST,377.5,33.0,43.4,47.5,0.0,-,4,0,121.95,1
48,NOW200228P00405000,2020-02-19 9:46AM EST,405.0,43.8,70.8,74.8,0.0,-,-,0,164.48,1
0,NOW200306P00260000,2020-02-04 12:38PM EST,260.0,0.1,0.0,0.35,0.0,-,20,0,70.02,8
1,NOW200306P00265000,2020-02-04 12:38PM EST,265.0,0.88,0.0,0.75,0.0,-,-,0,73.44,8
2,NOW200306P00270000,2020-02-03 10:59AM EST,270.0,0.3,0.0,1.0,0.0,-,12,0,71.92,8
3,NOW200306P00280000,2020-02-24 10:43AM EST,280.0,0.65,0.1,1.25,0.0,-,2,5,65.28,8
4,NOW200306P00287500,2020-02-24 9:42AM EST,287.5,0.35,0.65,0.8,-0.45,-56.25%,6,13,58.2,8
5,NOW200306P00290000,2020-02-25 2:27PM EST,290.0,0.9,0.75,0.95,0.0,-,10,12,57.52,8
6,NOW200306P00292500,2020-02-24 10:38AM EST,292.5,1.0,0.85,1.05,0.0,-,4,7,56.23,8
7,NOW200306P00300000,2020-02-25 3:28PM EST,300.0,0.92,1.35,1.5,-0.88,-48.89%,4,0,53.27,8
8,NOW200306P00302500,2020-02-26 12:49PM EST,302.5,1.22,1.65,1.85,-0.28,-18.67%,5,31,53.39,8
9,NOW200306P00305000,2020-02-24 9:42AM EST,305.0,1.6,1.9,2.15,-0.25,-13.51%,1,8,52.66,8
10,NOW200306P00307500,2020-02-26 1:44PM EST,307.5,2.45,2.2,2.5,0.6,+32.43%,7,41,52.01,8
11,NOW200306P00310000,2020-02-26 12:22PM EST,310.0,2.15,2.6,2.85,0.0,-,10,11,51.42,8
12,NOW200306P00312500,2020-02-25 2:38PM EST,312.5,2.45,2.85,3.2,-1.45,-37.18%,2,17,51.12,8
13,NOW200306P00315000,2020-02-26 11:08AM EST,315.0,2.9,3.4,3.8,-0.3,-9.37%,7,0,50.0,8
14,NOW200306P00317500,2020-02-24 12:07PM EST,317.5,3.58,3.8,4.2,0.0,-,1,0,49.73,8
15,NOW200306P00320000,2020-02-26 1:42PM EST,320.0,4.9,4.6,4.9,-1.0,-16.95%,45,65,49.61,8
16,NOW200306P00322500,2020-02-25 12:17PM EST,322.5,4.1,5.1,5.6,-1.1,-21.15%,3,0,49.08,8
17,NOW200306P00325000,2020-02-26 11:51AM EST,325.0,5.1,6.1,6.5,-1.7,-25.00%,65,0,49.15,8
18,NOW200306P00327500,2020-02-21 10:07AM EST,327.5,6.0,6.9,7.3,0.2,+3.45%,8,0,48.31,8
19,NOW200306P00330000,2020-02-26 11:49AM EST,330.0,7.97,8.0,8.3,-1.53,-16.11%,29,72,48.02,8
20,NOW200306P00332500,2020-02-26 12:15PM EST,332.5,8.7,9.3,9.7,-1.3,-13.00%,36,0,49.13,8
21,NOW200306P00335000,2020-02-26 9:54AM EST,335.0,8.8,10.5,11.0,-3.6,-29.03%,32,0,49.36,8
22,NOW200306P00337500,2020-02-25 12:23PM EST,337.5,9.3,11.7,12.5,0.0,-,12,31,50.07,8
23,NOW200306P00340000,2020-02-26 9:54AM EST,340.0,10.0,13.0,13.5,-5.75,-36.51%,20,0,48.11,8
24,NOW200306P00342500,2020-02-26 12:15PM EST,342.5,13.03,14.3,15.3,-2.97,-18.56%,30,66,49.39,8
25,NOW200306P00345000,2020-02-26 12:15PM EST,345.0,14.64,15.6,16.6,-0.59,-3.87%,27,0,47.94,8
26,NOW200306P00347500,2020-02-25 10:02AM EST,347.5,18.82,18.4,19.0,5.11,+37.27%,13,0,51.4,8
27,NOW200306P00350000,2020-02-25 10:02AM EST,350.0,15.0,19.7,20.4,-0.41,-2.66%,5,58,49.63,8
28,NOW200306P00352500,2020-02-21 3:54PM EST,352.5,15.2,22.0,23.1,-1.4,-8.43%,5,0,51.32,8
29,NOW200306P00355000,2020-02-26 1:46PM EST,355.0,25.3,24.2,25.2,3.8,+17.67%,6,8,52.78,8
30,NOW200306P00357500,2020-02-25 2:18PM EST,357.5,28.0,24.5,26.9,0.0,-,1,14,54.3,8
31,NOW200306P00360000,2020-02-26 10:33AM EST,360.0,22.62,27.2,29.6,-7.78,-25.59%,2,13,51.34,8
32,NOW200306P00362500,2020-02-19 11:16AM EST,362.5,8.5,29.4,32.2,0.0,-,1,8,53.58,8
33,NOW200306P00365000,2020-02-19 1:47PM EST,365.0,9.7,31.3,33.9,0.0,-,2,1,51.51,8
34,NOW200306P00370000,2020-02-18 3:32PM EST,370.0,15.4,36.2,39.3,0.0,-,1,1,57.8,8
0,NOW200313P00270000,2020-02-10 12:01AM EST,270.0,0.45,0.0,2.1,0.0,-,-,0,63.82,15
1,NOW200313P00280000,2020-02-24 12:01PM EST,280.0,0.9,0.9,1.15,0.0,-,90,91,54.74,15
2,NOW200313P00282500,2020-02-12 11:50AM EST,282.5,0.35,0.95,1.25,0.0,-,1,1,53.42,15
3,NOW200313P00285000,2020-02-03 10:54AM EST,285.0,1.35,1.05,1.4,0.0,-,-,5,52.54,15
4,NOW200313P00290000,2020-02-18 12:00AM EST,290.0,1.1,1.4,1.75,0.0,-,-,0,51.29,15
5,NOW200313P00292500,2020-02-10 12:01AM EST,292.5,1.84,1.6,2.0,0.0,-,-,0,50.82,15
6,NOW200313P00295000,2020-02-21 12:54PM EST,295.0,1.25,1.8,2.2,0.0,-,20,20,51.4,15
7,NOW200313P00300000,2020-02-26 1:37PM EST,300.0,2.45,2.35,2.75,-0.75,-23.44%,2,42,49.99,15
8,NOW200313P00302500,2020-02-10 12:20PM EST,302.5,1.75,2.65,3.1,0.0,-,10,14,49.46,15
9,NOW200313P00305000,2020-02-25 10:43AM EST,305.0,2.5,2.9,3.5,0.0,-,5,165,48.99,15
10,NOW200313P00307500,2020-02-25 11:17AM EST,307.5,3.5,3.3,3.9,0.0,-,6,31,48.3,15
11,NOW200313P00310000,2020-02-24 3:24PM EST,310.0,3.9,3.7,4.4,0.0,-,2,0,47.89,15
12,NOW200313P00312500,2020-02-13 10:22AM EST,312.5,1.79,4.1,4.9,0.0,-,6,0,47.26,15
13,NOW200313P00315000,2020-02-26 11:24AM EST,315.0,2.9,4.6,5.6,-2.4,-45.28%,1,0,47.27,15
14,NOW200313P00317500,2020-02-26 9:39AM EST,317.5,4.1,5.2,6.1,-1.0,-19.61%,5,31,46.19,15
15,NOW200313P00320000,2020-02-25 9:52AM EST,320.0,5.4,6.2,7.0,0.0,-,10,63,46.5,15
16,NOW200313P00322500,2020-02-26 9:39AM EST,322.5,5.1,6.1,7.9,4.0,+363.64%,2,0,46.51,15
17,NOW200313P00325000,2020-02-26 12:30PM EST,325.0,6.7,7.4,8.9,-2.2,-24.72%,1,12,46.63,15
18,NOW200313P00327500,2020-02-25 12:00PM EST,327.5,7.6,9.0,9.7,-1.5,-16.48%,14,0,45.75,15
19,NOW200313P00330000,2020-02-25 2:02PM EST,330.0,8.3,9.9,10.5,-2.0,-19.42%,16,0,44.63,15
20,NOW200313P00332500,2020-02-25 2:24PM EST,332.5,9.6,10.2,12.1,-3.1,-24.41%,12,0,46.08,15
21,NOW200313P00335000,2020-02-26 11:44AM EST,335.0,11.1,12.5,13.2,0.9,+8.82%,14,0,45.5,15
22,NOW200313P00337500,2020-02-24 9:43AM EST,337.5,11.4,12.9,14.8,0.0,-,4,36,46.39,15
23,NOW200313P00340000,2020-02-26 11:44AM EST,340.0,10.42,15.1,16.0,-4.44,-29.88%,3,0,45.64,15
24,NOW200313P00342500,2020-02-21 10:07AM EST,342.5,8.2,15.8,17.6,0.0,-,7,0,46.03,15
25,NOW200313P00345000,2020-02-25 10:14AM EST,345.0,18.1,17.0,19.0,0.0,-,8,38,45.47,15
26,NOW200313P00347500,2020-02-26 1:32PM EST,347.5,18.7,19.2,20.9,0.4,+2.19%,5,6,46.45,15
27,NOW200313P00350000,2020-02-26 1:37PM EST,350.0,22.2,21.6,22.4,2.65,+13.55%,9,0,45.74,15
28,NOW200313P00352500,2020-02-25 10:05AM EST,352.5,19.6,22.1,24.5,0.0,-,5,11,47.06,15
29,NOW200313P00355000,2020-02-19 11:10AM EST,355.0,23.4,24.0,26.6,8.8,+60.27%,5,0,48.22,15
30,NOW200313P00357500,2020-02-24 10:04AM EST,357.5,26.31,25.5,27.5,0.0,-,3,0,44.24,15
