,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NRG200228C00037000,2020-02-25 3:50PM EST,37.0,0.3,0.15,0.25,-0.2,-40.00%,2,32,54.3,1
1,NRG200228C00037500,2020-02-25 10:33AM EST,37.5,0.65,0.10,0.2,0.0,-,4,14,58.4,1
2,NRG200228C00038000,2020-02-12 9:52AM EST,38.0,0.05,0.05,0.15,-0.72,-93.51%,2,0,59.77,1
3,NRG200228C00038500,2020-02-26 1:38PM EST,38.5,0.05,0.00,0.1,-0.15,-75.00%,601,50,57.81,1
4,NRG200228C00039000,2020-02-24 9:39AM EST,39.0,0.05,0.00,0.1,-0.5,-90.91%,1,178,64.84,1
5,NRG200228C00039500,2020-02-25 9:37AM EST,39.5,0.25,0.00,0.05,0.0,-,1,229,62.5,1
6,NRG200228C00040000,2020-02-25 1:00PM EST,40.0,0.05,0.00,0.15,0.0,-,3,16,84.77,1
7,NRG200228C00040500,2020-02-12 1:37PM EST,40.5,0.15,0.05,0.05,0.0,-,6,0,84.38,1
8,NRG200228C00041000,2020-02-12 10:37AM EST,41.0,0.35,0.00,0.05,0.0,-,1,0,80.47,1
9,NRG200228C00042000,2020-02-24 9:38AM EST,42.0,0.1,-,0.05,0.0,-,-,-,102.34,1
10,NRG200228C00042500,2020-02-18 9:30AM EST,42.5,0.05,0.00,0.15,0.0,-,1,6,116.8,1
0,NRG200306C00037000,2020-02-04 2:27PM EST,37.0,0.48,0.3,0.4,-1.22,-71.76%,5,0,40.63,8
1,NRG200306C00037500,2020-02-26 12:26PM EST,37.5,0.3,0.2,0.3,-0.7,-70.00%,4,24,41.41,8
2,NRG200306C00038000,2020-02-26 11:51AM EST,38.0,0.2,0.1,0.25,-0.3,-60.00%,10,8,43.85,8
3,NRG200306C00039000,2020-02-12 10:25AM EST,39.0,1.31,0.0,0.15,0.0,-,1,111,46.19,8
4,NRG200306C00039500,2020-02-25 2:35PM EST,39.5,0.15,0.0,0.1,0.0,-,1,0,45.51,8
5,NRG200306C00040000,2020-02-25 1:00PM EST,40.0,0.15,0.0,0.1,0.0,-,4,4,49.61,8
6,NRG200306C00041000,2020-02-25 3:55PM EST,41.0,0.05,0.0,0.25,0.0,-,1,0,60.16,8
0,NRG200313C00039000,2020-02-24 9:43AM EST,39.0,0.91,0.15,0.3,0.0,-,-,-,44.04,15
1,NRG200313C00040000,2020-02-24 12:14AM EST,40.0,0.65,0.0,0.15,0.0,-,-,0,41.99,15
2,NRG200313C00040500,2020-02-18 12:03AM EST,40.5,0.5,0.0,0.1,0.0,-,3,0,41.02,15
3,NRG200313C00041500,2020-02-21 10:20AM EST,41.5,0.3,0.0,0.1,0.0,-,3,0,46.68,15
0,NRG200320C00030000,2019-07-10 8:58AM EST,30.0,7.4,3.7,8.3,0.0,-,-,2,67.77,22
1,NRG200320C00034000,2020-01-27 12:42PM EST,34.0,3.36,1.95,2.25,0.0,-,4,24,38.57,22
2,NRG200320C00035000,2020-02-18 12:21PM EST,35.0,5.2,1.45,1.6,0.0,-,6,22,37.01,22
3,NRG200320C00036000,2020-02-25 3:43PM EST,36.0,1.35,0.95,1.1,-0.15,-10.00%,13,0,36.52,22
4,NRG200320C00037000,2020-02-25 3:41PM EST,37.0,1.1,0.6,0.7,0.0,-,19,200,35.5,22
5,NRG200320C00037500,2020-02-25 9:48AM EST,37.5,1.5,0.45,0.55,0.0,-,1,1,35.25,22
6,NRG200320C00038000,2020-02-26 10:14AM EST,38.0,0.5,0.3,0.45,-0.1,-16.67%,41,0,35.84,22
7,NRG200320C00038500,2020-02-24 3:27PM EST,38.5,1.35,0.25,0.35,0.0,-,-,20,35.74,22
8,NRG200320C00039000,2020-02-25 2:39PM EST,39.0,0.4,0.15,0.25,-0.04,-9.09%,2,0,34.86,22
9,NRG200320C00039500,2020-02-25 1:24PM EST,39.5,0.43,0.15,0.3,0.0,-,-,-,40.23,22
10,NRG200320C00040000,2020-02-25 3:30PM EST,40.0,0.2,0.05,0.2,-0.05,-20.00%,5,2489,38.28,22
11,NRG200320C00041000,2020-02-21 12:35PM EST,41.0,0.5,0.05,0.15,0.0,-,5,1163,40.53,22
12,NRG200320C00042000,2020-02-21 1:52PM EST,42.0,0.03,0.0,0.1,-0.27,-90.00%,1,167,41.5,22
13,NRG200320C00043000,2020-02-12 3:52PM EST,43.0,0.3,0.0,0.05,0.0,-,1,46,40.23,22
14,NRG200320C00044000,2020-02-11 1:35PM EST,44.0,0.15,0.0,0.1,0.0,-,6,0,50.2,22
15,NRG200320C00045000,2020-02-03 9:59AM EST,45.0,0.1,0.0,0.05,0.0,-,3,0,48.05,22
16,NRG200320C00046000,2020-02-19 3:01PM EST,46.0,0.05,0.0,0.1,0.0,-,-,13,51.56,22
17,NRG200320C00048000,2019-10-28 12:09PM EST,48.0,0.5,0.05,0.2,0.0,-,-,1,68.36,22
18,NRG200320C00050000,2019-11-05 10:17AM EST,50.0,0.24,0.0,0.3,0.0,-,2,0,78.13,22
0,NRG200327C00038000,2020-02-25 2:43PM EST,38.0,0.84,0.6,0.75,0.0,-,-,-,40.23,29
1,NRG200327C00039000,2020-02-24 9:36AM EST,39.0,1.13,0.25,0.35,0.0,-,-,14,34.42,29
2,NRG200327C00039500,2020-02-24 9:30AM EST,39.5,1.09,0.25,0.35,0.0,-,-,-,37.31,29
3,NRG200327C00040000,2020-02-26 11:01AM EST,40.0,0.25,0.1,0.25,-0.55,-68.75%,37,38,35.94,29
4,NRG200327C00041000,2020-02-24 2:45PM EST,41.0,0.5,0.05,0.15,0.0,-,-,18,35.65,29
0,NRG200403C00038000,2020-02-18 2:03PM EST,38.0,2.7,0.45,0.65,0.0,-,1,0,33.84,36
1,NRG200403C00039500,2020-02-13 10:28AM EST,39.5,1.64,0.2,0.45,0.0,-,-,2,36.91,36
2,NRG200403C00040500,2020-02-13 3:50PM EST,40.5,1.16,0.1,0.25,0.0,-,-,1,34.72,36
3,NRG200403C00041500,2020-02-18 12:03AM EST,41.5,0.78,0.05,0.15,0.0,-,-,3,34.18,36
4,NRG200403C00043500,2020-02-19 2:09PM EST,43.5,0.3,0.0,0.25,0.0,-,-,1,47.07,36
0,NRG200417C00034000,2020-02-25 3:42PM EST,34.0,3.27,3.0,3.2,0.0,-,-,-,45.46,50
1,NRG200417C00038000,2020-02-24 2:08PM EST,38.0,2.05,0.65,0.8,0.0,-,-,2,32.13,50
2,NRG200417C00039000,2020-02-25 3:42PM EST,39.0,0.73,0.55,0.7,0.0,-,-,-,35.3,50
0,NRG200619C00032000,2019-12-17 11:47AM EST,32.0,8.44,6.9,7.2,0.0,-,1,0,68.09,113
1,NRG200619C00033000,2020-01-10 10:37AM EST,33.0,5.72,7.3,8.0,0.0,-,4,0,83.2,113
2,NRG200619C00035000,2020-01-30 12:51PM EST,35.0,3.4,2.9,3.1,0.0,-,1,0,36.08,113
3,NRG200619C00036000,2020-02-20 11:50AM EST,36.0,3.7,2.0,2.2,0.0,-,7,27,30.54,113
4,NRG200619C00037000,2020-02-20 3:01PM EST,37.0,3.31,1.6,1.75,0.0,-,2,0,29.93,113
5,NRG200619C00038000,2020-02-18 12:10PM EST,38.0,2.58,1.2,1.4,0.0,-,2,0,29.81,113
6,NRG200619C00039000,2020-02-24 10:11AM EST,39.0,1.98,0.95,1.1,0.0,-,1,35,29.59,113
7,NRG200619C00040000,2020-02-25 12:02PM EST,40.0,1.21,0.65,0.85,0.0,-,5,0,29.35,113
8,NRG200619C00041000,2020-02-21 3:01PM EST,41.0,1.55,0.5,0.65,0.0,-,2,0,29.18,113
9,NRG200619C00042000,2020-02-07 12:18PM EST,42.0,0.81,0.35,0.5,0.0,-,10,0,29.2,113
10,NRG200619C00043000,2020-02-07 12:21PM EST,43.0,0.81,0.1,0.4,0.0,-,1,0,29.59,113
11,NRG200619C00044000,2020-02-11 11:27AM EST,44.0,0.3,0.05,0.3,0.0,-,3,0,29.49,113
12,NRG200619C00045000,2020-02-20 11:31AM EST,45.0,0.35,0.05,0.25,0.0,-,1,28,30.23,113
13,NRG200619C00047000,2020-02-19 9:35AM EST,47.0,0.25,0.0,0.15,0.0,-,1,4,30.57,113
14,NRG200619C00049000,2020-02-18 12:03AM EST,49.0,0.1,0.0,0.1,0.0,-,-,0,31.54,113
15,NRG200619C00050000,2019-12-20 9:33AM EST,50.0,0.05,0.0,0.15,0.0,-,1,7,35.65,113
0,NRG200918C00030000,2020-02-11 9:47AM EST,30.0,9.78,6.3,6.7,0.0,-,2,0,33.08,204
1,NRG200918C00037000,2020-02-25 6:45PM EST,37.0,3.38,2.2,2.45,0.0,-,-,-,28.98,204
2,NRG200918C00038000,2020-02-21 10:55AM EST,38.0,3.4,1.8,2.05,0.0,-,1,4,28.59,204
3,NRG200918C00039000,2020-02-19 3:01PM EST,39.0,3.18,1.45,1.7,0.0,-,1,6,28.25,204
4,NRG200918C00040000,2020-02-18 9:57AM EST,40.0,2.95,1.15,1.4,0.0,-,2,0,27.93,204
5,NRG200918C00041000,2020-02-19 1:43PM EST,41.0,2.31,0.9,1.15,0.0,-,-,2,27.74,204
6,NRG200918C00042000,2020-02-20 12:41PM EST,42.0,1.47,0.7,0.9,0.0,-,-,1,27.1,204
7,NRG200918C00043000,2020-02-18 11:33AM EST,43.0,1.7,0.55,0.75,0.0,-,1,0,27.27,204
