,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NSC200228C00195000,2020-02-26 10:13AM EST,195.0,2.75,0.6,1.05,-1.55,-36.05%,2,1,34.82,1
1,NSC200228C00197500,2020-02-26 11:46AM EST,197.5,0.8,0.2,0.5,-2.3,-74.19%,82,3,34.33,1
2,NSC200228C00200000,2020-02-25 2:56PM EST,200.0,0.95,0.05,0.2,-0.95,-50.00%,179,0,33.59,1
3,NSC200228C00202500,2020-02-25 2:48PM EST,202.5,0.7,0.0,0.15,0.0,-,42,43,38.28,1
4,NSC200228C00205000,2020-02-26 9:30AM EST,205.0,0.28,0.0,0.15,-0.17,-37.78%,2,42,44.73,1
5,NSC200228C00207500,2020-02-24 11:50AM EST,207.5,0.2,0.0,0.25,0.0,-,4,0,56.45,1
6,NSC200228C00210000,2020-02-21 3:56PM EST,210.0,0.25,0.0,0.25,0.0,-,11,0,55.08,1
7,NSC200228C00212500,2020-02-25 1:19PM EST,212.5,0.1,0.0,0.4,0.0,-,1,0,66.21,1
8,NSC200228C00215000,2020-02-21 1:43PM EST,215.0,0.45,0.0,0.45,0.0,-,20,0,73.63,1
9,NSC200228C00217500,2020-02-21 1:43PM EST,217.5,0.75,0.0,0.05,0.0,-,20,0,57.42,1
10,NSC200228C00220000,2020-02-19 10:02AM EST,220.0,0.15,0.0,0.0,0.0,-,11,0,25.0,1
11,NSC200228C00222500,2020-02-20 10:34AM EST,222.5,0.05,0.0,0.4,0.0,-,1,4,88.87,1
12,NSC200228C00225000,2020-02-13 10:53AM EST,225.0,0.1,0.0,0.4,0.0,-,17,0,94.24,1
13,NSC200228C00230000,2020-01-29 1:01PM EST,230.0,0.95,0.0,2.15,0.0,-,-,1,146.97,1
0,NSC200306C00195000,2020-02-26 1:06PM EST,195.0,2.85,2.15,2.65,-2.35,-45.19%,12,0,32.91,8
1,NSC200306C00200000,2020-02-26 1:16PM EST,200.0,1.15,0.80,1.05,-2.15,-65.15%,6,3,30.49,8
2,NSC200306C00202500,2020-02-26 11:35AM EST,202.5,1.1,0.45,0.7,-1.9,-63.33%,26,4,31.03,8
3,NSC200306C00205000,2020-02-26 1:16PM EST,205.0,0.4,0.20,0.4,-1.15,-74.19%,4,0,30.47,8
4,NSC200306C00207500,2020-02-26 11:34AM EST,207.5,0.35,0.05,0.25,-0.55,-61.11%,3,0,30.91,8
5,NSC200306C00210000,2020-02-24 3:53PM EST,210.0,0.5,0.00,0.2,0.0,-,5,0,32.91,8
6,NSC200306C00212500,2020-02-20 10:24AM EST,212.5,2.2,0.10,0.3,0.0,-,3,25,39.26,8
7,NSC200306C00215000,2020-02-21 12:36PM EST,215.0,0.56,0.00,0.5,0.0,-,7,0,47.71,8
8,NSC200306C00217500,2020-02-18 11:33AM EST,217.5,0.49,0.00,0.0,0.0,-,2,0,12.5,8
9,NSC200306C00220000,2020-02-26 12:39PM EST,220.0,0.05,0.00,0.1,0.0,-,2,0,40.82,8
10,NSC200306C00222500,2020-02-18 11:33AM EST,222.5,0.05,0.00,0.25,0.0,-,2,0,50.64,8
11,NSC200306C00225000,2020-02-20 11:17AM EST,225.0,1.14,0.00,0.25,0.0,-,2,0,53.66,8
12,NSC200306C00230000,2020-02-24 12:14AM EST,230.0,1.08,-,0.3,0.0,-,-,0,61.43,8
0,NSC200313C00202500,2020-02-04 1:32PM EST,202.5,10.4,0.9,1.25,0.0,-,10,0,29.1,15
