,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NSC200228P00170000,2020-01-21 1:03PM EST,170.0,0.25,0.0,0.0,0.0,-,-,0,25.0,1
1,NSC200228P00175000,2020-01-21 11:09AM EST,175.0,0.49,0.0,0.0,0.0,-,-,0,25.0,1
2,NSC200228P00180000,2020-02-24 11:10AM EST,180.0,0.2,0.3,0.55,0.0,-,7,20,53.03,1
3,NSC200228P00182500,2020-02-26 11:50AM EST,182.5,0.25,0.45,0.75,-0.65,-72.22%,2,0,52.81,1
4,NSC200228P00185000,2020-01-16 6:38PM EST,185.0,0.8,0.0,0.5,0.0,-,13,12,36.77,1
5,NSC200228P00187500,2020-02-26 12:48PM EST,187.5,0.9,1.4,1.6,-0.17,-15.89%,60,0,46.46,1
6,NSC200228P00190000,2020-02-26 1:54PM EST,190.0,2.15,2.25,2.6,1.78,+481.08%,70,8,47.29,1
7,NSC200228P00192500,2020-02-26 12:43PM EST,192.5,2.45,3.3,3.8,0.6,+32.43%,2,14,46.53,1
8,NSC200228P00195000,2020-02-26 11:26AM EST,195.0,1.99,4.8,5.5,-0.71,-26.30%,151,0,48.88,1
9,NSC200228P00197500,2020-02-26 11:37AM EST,197.5,3.5,6.9,7.5,0.9,+34.62%,17,257,52.49,1
10,NSC200228P00200000,2020-02-26 1:07PM EST,200.0,8.22,9.2,10.0,5.47,+198.91%,2,116,55.08,1
11,NSC200228P00202500,2020-02-24 12:43PM EST,202.5,2.3,10.2,13.1,0.0,-,2,67,53.22,1
12,NSC200228P00205000,2020-02-26 10:53AM EST,205.0,9.4,13.6,15.1,3.4,+56.67%,8,38,66.75,1
13,NSC200228P00207500,2020-02-21 3:54PM EST,207.5,6.41,16.6,17.4,0.0,-,1,0,78.76,1
14,NSC200228P00210000,2020-02-21 9:46AM EST,210.0,7.0,17.8,19.9,0.0,-,2,0,63.87,1
15,NSC200228P00212500,2020-02-05 3:22PM EST,212.5,4.0,20.9,23.5,0.0,-,-,16,99.76,1
16,NSC200228P00215000,2020-02-25 1:47PM EST,215.0,17.0,23.4,26.2,0.0,-,1,0,110.06,1
17,NSC200228P00217500,2020-01-29 10:06AM EST,217.5,6.8,25.1,28.8,0.0,-,10,0,107.03,1
18,NSC200228P00220000,2020-01-31 1:37PM EST,220.0,14.0,28.6,31.6,0.0,-,5,0,132.96,1
0,NSC200306P00170000,2020-02-26 11:06AM EST,170.0,0.45,0.45,0.65,-0.35,-43.75%,37,3,50.98,8
1,NSC200306P00175000,2020-02-25 6:45PM EST,175.0,0.75,0.3,0.75,0.0,-,-,-,44.87,8
2,NSC200306P00177500,2020-02-20 2:17PM EST,177.5,0.1,0.75,1.45,0.0,-,-,0,49.41,8
3,NSC200306P00180000,2020-02-24 11:18AM EST,180.0,0.35,1.25,1.75,0.0,-,4,4,46.85,8
4,NSC200306P00182500,2020-02-26 12:44PM EST,182.5,1.55,1.85,2.15,0.0,-,18,17,44.54,8
5,NSC200306P00187500,2020-02-03 3:45PM EST,187.5,1.1,3.2,3.6,0.0,-,-,0,42.63,8
6,NSC200306P00190000,2020-02-25 10:28AM EST,190.0,1.3,4.1,4.6,0.0,-,3,4,41.93,8
7,NSC200306P00192500,2020-02-25 2:30PM EST,192.5,4.8,4.8,6.0,1.0,+26.32%,10,23,42.94,8
8,NSC200306P00195000,2020-02-21 1:42PM EST,195.0,2.1,6.3,6.9,0.0,-,1,0,38.44,8
9,NSC200306P00197500,2020-02-26 12:15PM EST,197.5,7.8,7.7,9.1,1.25,+19.08%,24,15,43.14,8
10,NSC200306P00200000,2020-02-25 12:42PM EST,200.0,7.9,10.0,10.7,3.6,+83.72%,1,15,41.43,8
11,NSC200306P00205000,2020-02-24 10:14AM EST,205.0,5.71,14.2,15.2,0.0,-,6,0,47.22,8
12,NSC200306P00207500,2020-02-21 3:57PM EST,207.5,3.4,16.2,17.7,0.0,-,58,51,52.15,8
13,NSC200306P00210000,2020-02-19 12:04PM EST,210.0,3.8,18.6,20.6,0.0,-,-,5,61.62,8
14,NSC200306P00212500,2020-02-19 12:04PM EST,212.5,5.2,20.2,23.3,0.0,-,-,1,68.68,8
15,NSC200306P00215000,2020-02-21 3:14PM EST,215.0,7.88,22.9,25.8,0.0,-,6,6,53.03,8
16,NSC200306P00217500,2020-01-30 10:26AM EST,217.5,8.0,25.4,27.9,0.0,-,-,5,52.83,8
