,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NUE200228P00042500,2020-02-25 3:59PM EST,42.5,0.14,0.17,0.22,0.0,-,3,1,50.98,1
1,NUE200228P00043000,2020-02-26 1:32PM EST,43.0,0.2,0.29,0.34,-0.02,-9.09%,4,0,50.78,1
2,NUE200228P00043500,2020-02-26 11:01AM EST,43.5,0.15,0.45,0.5,-0.14,-48.28%,3,3,50.59,1
3,NUE200228P00044000,2020-02-26 1:42PM EST,44.0,0.67,0.65,0.69,0.52,+346.67%,28,0,49.22,1
4,NUE200228P00045000,2020-02-26 1:32PM EST,45.0,1.01,1.22,1.29,0.2,+24.69%,7,87,51.37,1
5,NUE200228P00045500,2020-02-26 10:54AM EST,45.5,0.77,1.6,1.68,-0.12,-13.48%,2,156,51.37,1
6,NUE200228P00046000,2020-02-25 12:29PM EST,46.0,1.82,2.03,2.13,1.06,+139.47%,48,0,55.86,1
7,NUE200228P00047000,2020-02-26 12:38PM EST,47.0,2.25,2.92,3.05,0.24,+11.94%,12,0,62.7,1
8,NUE200228P00047500,2020-02-26 12:21PM EST,47.5,2.47,3.4,3.6,1.57,+174.44%,15,37,71.48,1
9,NUE200228P00048000,2020-02-25 12:50PM EST,48.0,1.98,3.75,4.15,0.0,-,4,42,72.27,1
10,NUE200228P00048500,2020-02-25 3:36PM EST,48.5,3.45,3.7,4.6,0.0,-,40,137,96.48,1
11,NUE200228P00049000,2020-02-20 10:56AM EST,49.0,2.69,4.7,5.45,0.0,-,8,29,100.78,1
12,NUE200228P00049500,2020-02-14 1:09PM EST,49.5,2.48,5.05,5.6,0.0,-,1,0,63.28,1
13,NUE200228P00050000,2020-02-20 12:19PM EST,50.0,2.42,5.9,6.1,0.0,-,15,0,104.3,1
15,NUE200228P00051000,2020-01-29 1:00PM EST,51.0,2.94,6.55,7.35,0.0,-,10,0,108.2,1
17,NUE200228P00052000,2020-02-26 11:17AM EST,52.0,6.92,6.7,9.05,2.87,+70.86%,9,0,103.13,1
18,NUE200228P00052500,2020-02-05 3:31PM EST,52.5,3.15,6.95,9.4,0.0,-,7,0,225.78,1
20,NUE200228P00053500,2020-02-20 2:24PM EST,53.5,5.6,8.05,10.65,0.0,-,1,0,109.38,1
21,NUE200228P00054000,2020-02-13 12:20PM EST,54.0,5.92,7.9,10.65,0.0,-,7,8,224.41,1
22,NUE200228P00054500,2020-02-13 12:42PM EST,54.5,6.49,8.95,11.55,0.0,-,-,4,265.82,1
0,NUE200306P00042000,2020-01-31 11:32AM EST,42.0,0.27,0.41,0.5,0.0,-,1,0,46.34,8
1,NUE200306P00043000,2020-02-24 10:31AM EST,43.0,0.48,0.69,0.78,0.0,-,5,75,44.92,8
2,NUE200306P00043500,2020-02-25 1:28PM EST,43.5,0.68,0.81,0.93,0.0,-,10,0,43.16,8
3,NUE200306P00044000,2020-02-25 2:46PM EST,44.0,0.82,1.12,1.2,0.0,-,52,0,44.58,8
4,NUE200306P00045000,2020-02-26 1:23PM EST,45.0,1.48,1.48,1.74,1.02,+221.74%,1,0,44.19,8
5,NUE200306P00045500,2020-02-18 12:08AM EST,45.5,0.64,1.69,2.12,0.0,-,12,0,46.39,8
6,NUE200306P00046000,2020-02-25 10:54AM EST,46.0,0.98,2.18,2.47,0.0,-,22,110,46.63,8
7,NUE200306P00046500,2020-02-24 12:47PM EST,46.5,0.89,2.51,2.87,0.0,-,6,64,48.0,8
8,NUE200306P00047000,2020-02-26 12:38PM EST,47.0,2.5,3.1,3.3,0.92,+58.23%,1,24,49.95,8
9,NUE200306P00047500,2020-02-24 11:54AM EST,47.5,1.22,3.5,3.75,0.0,-,12,0,52.25,8
10,NUE200306P00048000,2020-02-24 12:37PM EST,48.0,1.61,3.9,4.2,0.0,-,5,0,54.2,8
11,NUE200306P00048500,2020-02-06 2:05PM EST,48.5,1.16,4.25,4.9,0.0,-,17,0,51.37,8
12,NUE200306P00049000,2020-02-11 3:15PM EST,49.0,1.54,4.65,5.35,0.0,-,5,0,50.2,8
13,NUE200306P00049500,2020-02-18 2:34PM EST,49.5,2.22,5.1,5.8,0.0,-,2,10,71.48,8
14,NUE200306P00050000,2020-02-07 2:45PM EST,50.0,2.6,5.6,6.35,0.0,-,2,7,55.08,8
16,NUE200306P00051000,2020-02-10 1:33PM EST,51.0,3.46,6.5,7.25,0.0,-,1,0,51.17,8
17,NUE200306P00051500,2020-02-24 12:35PM EST,51.5,4.38,6.95,7.95,0.0,-,19,3,62.31,8
18,NUE200306P00054500,2020-02-03 9:51AM EST,54.5,6.5,9.0,11.2,0.0,-,4,0,128.91,8
