,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NVDA200228P00170000,2020-02-24 1:52PM EST,170.0,0.01,0.0,0.05,0.0,-,11,21,178.13,1
1,NVDA200228P00175000,2020-02-20 10:43AM EST,175.0,0.01,0.0,0.12,0.0,-,1,0,183.59,1
2,NVDA200228P00180000,2020-02-26 12:47PM EST,180.0,0.01,0.0,0.01,-0.01,-50.00%,3,1038,137.5,1
3,NVDA200228P00185000,2020-02-20 12:03PM EST,185.0,0.01,0.0,0.02,-0.03,-75.00%,4,0,135.94,1
4,NVDA200228P00190000,2020-02-25 3:40PM EST,190.0,0.06,0.0,0.03,0.0,-,52,308,131.25,1
5,NVDA200228P00195000,2020-02-20 2:11PM EST,195.0,0.05,0.0,0.13,0.02,+66.67%,2,84,142.19,1
6,NVDA200228P00200000,2020-02-26 1:01PM EST,200.0,0.03,0.0,0.04,-0.1,-76.92%,24,396,116.41,1
7,NVDA200228P00205000,2020-02-26 12:56PM EST,205.0,0.01,0.0,0.12,-0.17,-94.44%,5,0,121.09,1
8,NVDA200228P00207500,2020-02-25 1:51PM EST,207.5,0.15,0.0,0.1,0.0,-,2,99,113.28,1
9,NVDA200228P00210000,2020-02-26 12:03PM EST,210.0,0.05,0.05,0.13,-0.18,-78.26%,40,617,116.8,1
10,NVDA200228P00212500,2020-02-26 11:56AM EST,212.5,0.06,0.01,0.11,-0.31,-83.78%,2,0,106.25,1
11,NVDA200228P00215000,2020-02-26 12:07PM EST,215.0,0.08,0.02,0.12,-0.19,-70.37%,33,167,103.52,1
12,NVDA200228P00217500,2020-02-26 12:48PM EST,217.5,0.05,0.03,0.11,-0.38,-88.37%,156,305,98.44,1
13,NVDA200228P00220000,2020-02-26 1:53PM EST,220.0,0.13,0.07,0.13,-0.25,-65.79%,91,570,98.44,1
14,NVDA200228P00222500,2020-02-26 12:08PM EST,222.5,0.11,0.06,0.17,-0.34,-75.56%,7,0,95.31,1
15,NVDA200228P00225000,2020-02-26 12:53PM EST,225.0,0.12,0.12,0.19,-0.48,-80.00%,58,0,94.34,1
16,NVDA200228P00227500,2020-02-26 1:53PM EST,227.5,0.14,0.16,0.21,-0.5,-78.12%,12,258,91.6,1
17,NVDA200228P00230000,2020-02-26 1:41PM EST,230.0,0.2,0.21,0.26,-0.61,-75.31%,212,874,89.94,1
18,NVDA200228P00232500,2020-02-26 1:57PM EST,232.5,0.27,0.25,0.31,-0.75,-73.53%,24,415,87.3,1
19,NVDA200228P00235000,2020-02-26 1:44PM EST,235.0,0.37,0.31,0.37,-0.82,-68.91%,239,1329,84.86,1
20,NVDA200228P00237500,2020-02-26 1:56PM EST,237.5,0.44,0.43,0.48,-0.86,-66.15%,95,379,84.03,1
21,NVDA200228P00240000,2020-02-26 1:44PM EST,240.0,0.6,0.52,0.58,-1.0,-62.50%,583,773,81.54,1
22,NVDA200228P00242500,2020-02-26 1:06PM EST,242.5,0.4,0.64,0.7,-1.57,-79.70%,96,512,79.15,1
23,NVDA200228P00245000,2020-02-26 1:56PM EST,245.0,0.78,0.82,0.91,-1.47,-65.33%,397,1165,77.93,1
24,NVDA200228P00247500,2020-02-26 1:41PM EST,247.5,1.12,1.02,1.12,-1.65,-59.57%,393,268,75.88,1
25,NVDA200228P00250000,2020-02-26 1:45PM EST,250.0,1.38,1.25,1.32,-1.82,-56.88%,1057,0,73.14,1
26,NVDA200228P00252500,2020-02-26 1:54PM EST,252.5,1.42,1.53,1.63,-2.48,-63.59%,282,797,70.97,1
27,NVDA200228P00255000,2020-02-26 1:54PM EST,255.0,2.06,2.0,2.11,-2.49,-54.73%,1228,0,70.43,1
28,NVDA200228P00257500,2020-02-26 1:39PM EST,257.5,2.6,2.37,2.59,-2.8,-51.85%,401,467,67.87,1
29,NVDA200228P00260000,2020-02-26 1:59PM EST,260.0,3.25,3.1,3.25,-3.25,-50.00%,3220,0,67.46,1
30,NVDA200228P00262500,2020-02-26 1:42PM EST,262.5,4.3,4.0,4.2,-3.15,-42.28%,918,0,68.09,1
31,NVDA200228P00265000,2020-02-26 1:58PM EST,265.0,5.2,4.8,5.15,-3.6,-40.91%,2149,1373,66.59,1
32,NVDA200228P00267500,2020-02-26 2:00PM EST,267.5,5.85,6.05,6.3,-4.4,-42.93%,1684,787,66.97,1
33,NVDA200228P00270000,2020-02-26 1:58PM EST,270.0,7.6,7.25,7.9,-4.1,-35.04%,2954,1473,67.81,1
34,NVDA200228P00272500,2020-02-26 12:48PM EST,272.5,7.2,8.6,8.85,-7.3,-50.34%,1050,0,64.45,1
35,NVDA200228P00275000,2020-02-26 1:58PM EST,275.0,10.5,10.4,10.75,-4.95,-32.04%,1089,1262,66.97,1
36,NVDA200228P00277500,2020-02-26 1:53PM EST,277.5,12.3,11.95,12.65,-4.7,-27.65%,597,869,66.72,1
37,NVDA200228P00280000,2020-02-26 1:19PM EST,280.0,12.33,14.45,14.95,-6.12,-33.17%,336,0,73.44,1
38,NVDA200228P00282500,2020-02-26 1:58PM EST,282.5,17.05,16.4,17.1,-5.45,-24.22%,99,632,75.0,1
39,NVDA200228P00285000,2020-02-26 1:40PM EST,285.0,20.08,18.5,19.4,-3.42,-14.55%,172,1138,77.71,1
40,NVDA200228P00287500,2020-02-26 12:51PM EST,287.5,18.6,20.85,21.2,-6.65,-26.34%,141,0,77.64,1
41,NVDA200228P00290000,2020-02-26 1:40PM EST,290.0,25.0,22.95,24.15,-2.69,-9.71%,241,1580,84.16,1
42,NVDA200228P00292500,2020-02-26 12:19PM EST,292.5,27.1,25.2,26.65,-4.15,-13.28%,107,821,87.89,1
43,NVDA200228P00295000,2020-02-26 1:49PM EST,295.0,26.73,28.0,29.15,-6.57,-19.73%,180,1394,96.31,1
44,NVDA200228P00297500,2020-02-26 12:42PM EST,297.5,28.51,30.55,31.25,-7.27,-20.32%,97,0,98.68,1
