,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,NWL200320P00008000,2019-08-06 10:05AM EST,8.0,0.15,0.0,0.2,0.0,-,1,11,172.66,22
1,NWL200320P00009000,2019-08-05 1:06PM EST,9.0,0.3,0.0,0.25,0.0,-,6,6,155.47,22
2,NWL200320P00010000,2020-01-17 1:40PM EST,10.0,0.03,0.0,0.05,0.0,-,10,30,98.44,22
3,NWL200320P00011000,2020-01-23 2:14PM EST,11.0,0.03,0.0,0.05,0.0,-,4,10,82.03,22
4,NWL200320P00012000,2019-09-20 2:54PM EST,12.0,0.3,0.1,0.2,0.0,-,50,70,97.27,22
5,NWL200320P00013000,2020-01-17 1:40PM EST,13.0,0.07,0.0,0.05,0.0,-,10,77,53.13,22
6,NWL200320P00014000,2020-02-14 1:18PM EST,14.0,0.01,0.0,0.1,0.0,-,5,138,53.91,22
7,NWL200320P00015000,2020-02-26 12:19PM EST,15.0,0.15,0.15,0.25,0.0,-,649,0,52.15,22
8,NWL200320P00016000,2020-02-26 12:55PM EST,16.0,0.4,0.45,0.5,0.01,+2.56%,28,352,48.24,22
9,NWL200320P00017000,2020-02-26 10:57AM EST,17.0,0.76,0.85,1.0,-0.04,-5.00%,70,0,49.22,22
10,NWL200320P00018000,2020-02-26 12:55PM EST,18.0,1.44,1.65,1.75,0.03,+2.13%,3,2190,51.56,22
11,NWL200320P00019000,2020-02-26 1:07PM EST,19.0,2.38,2.5,2.6,0.33,+16.10%,2,0,56.06,22
12,NWL200320P00020000,2020-02-26 12:21PM EST,20.0,3.25,3.5,3.7,0.6,+22.64%,6,4338,73.24,22
13,NWL200320P00021000,2020-02-26 9:55AM EST,21.0,4.17,4.5,4.7,1.17,+39.00%,13,7064,85.16,22
14,NWL200320P00022000,2020-02-24 12:10PM EST,22.0,4.14,5.4,5.7,0.0,-,7,38,90.82,22
15,NWL200320P00023000,2020-02-07 10:38AM EST,23.0,3.49,6.4,6.6,0.0,-,21,21,94.92,22
16,NWL200320P00024000,2020-02-19 9:51AM EST,24.0,4.0,7.2,8.0,0.0,-,6,0,115.04,22
0,NWL200417P00015000,2020-02-26 12:42PM EST,15.0,0.3,0.3,0.4,0.05,+20.00%,1,40,43.56,50
